OBJECTID,Type,Water,Serial #,Date Deployed,Time Deployed,Date Pulled,Time Pulled,Northings,Eastings,Elevation,Latitude,Longitude,Average Maximum Inundation Depth (m),Maximum Maximum Inundation Depth (m),Average Inundation Duration (min),Maximum Inundation Duration (min),Portion of Time Inundated,Depth*Duration Flood Metric
19,Creek,Salt,20358395,8/18/2022,4:00:00 PM,9/8/2022,4:32 PM,4737474.414,347676.432,-0.97,42.77467401,-70.86199378,2.1513,2.505,778.7878788,2310,0.8636,1.85792
09,Ditch,Salt,21071951,8/18/2022,4:00:00 PM,9/8/2022,1:45 PM,4737028.548,347881.449,0.155,42.77070162,-70.85936886,1.113486486,1.428,16149.72973,30110,1,1.113486486
31,Plat,Salt,21071954,8/18/2022,4:00:00 PM,9/8/2022,3:35 PM,4737219.458,347478.86,1.084,42.77233995,-70.86433879,0.29644,0.653,140.4,270,0.1600790514,0.04745383399
03,Plat,Salt,21384536,8/18/2022,4:00:00 PM,9/8/2022,3:02 PM,4737440.109,347711.901,1.435,42.77437229,-70.86155118,0.171,0.171,180,180,0.01660079051,0.002838735178
29,Plat,Salt,21384576,8/18/2022,4:00:00 PM,9/8/2022,3:32 PM,4737227.709,347479.758,1.512,42.77241439,-70.86433004,0.069,0.102,70,100,0.005533596838,0.0003818181818
14,Plat,Salt,21384591,8/18/2022,4:00:00 PM,9/8/2022,2:14 PM,4737095.445,347983.415,1.303,42.77132396,-70.85814116,0.0869375,0.199,90,190,0.07588932806,0.006597628458
08,Ditch,Salt,21384595,8/18/2022,4:00:00 PM,9/8/2022,1:43 PM,4737052.246,347918.256,0.809,42.77092222,-70.85892558,0.2112236842,0.698,916.7105263,2540,0.3916996047,0.08273623362
04,Plat,Salt,21384618,8/18/2022,4:00:00 PM,9/8/2022,3:03 PM,4737453.218,347687.325,1.451,42.7744854,-70.86185498,0.08966666667,0.151,93.33333333,140,0.01106719368,0.0009923583663
2,Plat,Salt,21384635,8/18/2022,4:00:00 PM,9/8/2022,3:01 PM,4737428.039,347745.118,1.399,42.77427025,-70.8611421,0.09,0.189,150,290,0.03043478261,0.002739130435
21,Plat,Salt,21384636,8/18/2022,4:00:00 PM,9/8/2022,1:58 PM,4736912.161,347756.81,1.468,42.76962931,-70.86086019,0.137,0.137,120,120,0.00790513834,0.001083003953
27,Plat,Salt,21384644,8/18/2022,4:00:00 PM,9/8/2022,1:34 PM,4737118.943,347791.414,1.398,42.77149737,-70.86049317,0.0825,0.156,105,190,0.01660079051,0.001369565217
12,Plat,Salt,21384647,8/18/2022,4:00:00 PM,9/8/2022,2:20 PM,4737056.221,348023.79,1.416,42.77097893,-70.85763734,0.0515,0.164,130.8333333,350,0.04268774704,0.002198418972
40,Plat,Salt,21384654,8/18/2022,4:00:00 PM,9/8/2022,2:41 PM,4737303.043,347618.47,1.434,42.77312004,-70.8626557,0.122,0.15,110,130,0.008695652174,0.001060869565
06,Pond,Salt,21384656,8/18/2022,4:00:00 PM,9/8/2022,1:37 PM,4737186.793,347815.294,1.163,42.7721128,-70.86021971,0.1477320755,0.335,17234.13208,30100,1,0.1477320755
30,Plat,Salt,21384660,8/18/2022,4:00:00 PM,9/8/2022,3:33 PM,4737232.915,347483.126,1.086,42.77246192,-70.8642903,0.3041153846,0.582,144.2307692,260,0.1707509881,0.05192800243
10,Pond,Salt,21384665,8/18/2022,4:00:00 PM,9/8/2022,2:07 PM,4736965.252,347982.458,1.35,42.77015195,-70.85811781,0.04756643357,0.203,4407.342657,9940,0.5363636364,0.02551290528
01,Edge,Salt,21384670,8/18/2022,4:00:00 PM,9/8/2022,2:59 PM,4737424.853,347752.487,2.102,42.77424304,-70.86105121,0,0,0,0,0,0
22,Plat,Salt,21384682,8/18/2022,4:00:00 PM,9/8/2022,1:58 PM,4736918.467,347759.286,1.474,42.76968656,-70.86083164,0.1185,0.148,115,130,0.009090909091,0.001077272727
23,Plat,Salt,21384699,8/18/2022,4:00:00 PM,9/8/2022,1:59 PM,4736929.377,347768.035,1.468,42.7697865,-70.8607277,0.092,0.092,100,100,0.008695652174,0.0008
25,Creek,Salt,21410921,8/18/2022,4:00:00 PM,9/8/2022,4:12 PM,4736955.45,347788.471,-1.011,42.77002523,-70.86048506,2.274774194,2.606,17601.6129,30260,1,2.274774194
32,Creek,Salt,21410924,8/18/2022,4:00:00 PM,9/8/2022,4:54 PM,4737217.269,347470.902,-1.361,42.77231866,-70.86443542,2.655933333,2.85,6109,13950,0.9964426877,2.646485349
15,Creek,Salt,21410927,8/18/2022,4:00:00 PM,9/8/2022,3:58 PM,4737099.098,347973.433,-0.935,42.77135486,-70.85826409,2.177032258,2.46,18010.96774,30240,1,2.177032258
33,Creek,Salt,21410928,8/18/2022,4:00:00 PM,9/8/2022,4:57 PM,4737240.428,347490.145,-1.558,42.77253094,-70.86420658,2.794823529,3.2,17943.82353,30300,1,2.794823529
18,Ditch,Salt,21410929,8/18/2022,4:00:00 PM,9/8/2022,1:54 PM,4736943.684,347875.879,-0.445,42.76993668,-70.85941405,1.730515152,2.041,17800.90909,17800.90909,1,1.730515152
35,Plat,Salt,21410932,8/18/2022,4:00:00 PM,9/8/2022,3:29 PM,4737259.771,347386.78,1.445,42.77268447,-70.86547464,0.10125,0.192,97.5,170,0.01541501976,0.001560770751
37,Plat,Salt,21410933,8/18/2022,4:00:00 PM,9/8/2022,3:27 PM,4737291.969,347339.43,0.824,42.77296484,-70.86606183,0.4882903226,0.822,185.8064516,310,0.2513833992,0.1227480811
34,Plat,Salt,21410972,8/18/2022,4:00:00 PM,9/8/2022,3:30 PM,4737244.131,347437.236,1.478,42.77255374,-70.86485398,0.09933333333,0.171,93.33333333,160,0.01185770751,0.001177865613
13,Plat,Salt,21411051,8/18/2022,4:00:00 PM,9/8/2022,2:21 PM,4737073.502,348005.078,1.377,42.77113076,-70.8578706,0.0674,0.195,81.33333333,220,0.05098814229,0.003436600791
39,Plat,Salt,21411058,8/18/2022,4:00:00 PM,9/8/2022,2:42 PM,4737279.787,347603.371,1.438,42.77290771,-70.86283389,0.085,0.085,90,90,0.009090909091,0.0007727272727
05,Ditch,Salt,21411061,8/18/2022,4:00:00 PM,9/8/2022,3:05 PM,4737435.391,347690.346,0.75,42.77432554,-70.86181326,0.4886,0.791,198,360,0.2648221344,0.1293920949
28,Plat,Salt,21411074,8/18/2022,4:00:00 PM,9/8/2022,3:19 PM,4737197.713,347517.386,1.493,42.77215189,-70.86386224,0.1215,0.152,105,120,0.008300395257,0.001008498024
26,Plat,Salt,21411121,8/18/2022,4:00:00 PM,9/8/2022,1:32 PM,4737064.348,347748.371,1.323,42.77099743,-70.86100431,0.1017857143,0.294,93.57142857,210,0.05889328063,0.005994494636
38,Plat,Salt,21440242,8/18/2022,4:00:00 PM,9/8/2022,2:43 PM,4737253.585,347580.244,1.354,42.77266728,-70.86310937,0.08525,0.257,84.16666667,190,0.04664031621,0.003976086957
36,Plat,Salt,21440243,8/18/2022,4:00:00 PM,9/8/2022,3:22 PM,4737281.236,347349.259,1.373,42.7728702,-70.86593884,0.08222222222,0.253,81.11111111,180,0.03833992095,0.0031523935
41,Plat,Salt,21440244,8/18/2022,4:00:00 PM,9/8/2022,2:41 PM,4737313.224,347624.739,1.123,42.77321292,-70.86258186,0.2422083333,0.475,137.0833333,250,0.1418972332,0.03436869236
11,Pond,Salt,21440245,8/18/2022,4:00:00 PM,9/8/2022,2:18 PM,4737038.058,348039.943,1.288,42.77081865,-70.85743512,0.04847474747,0.129,2784.646465,5080,0.204743083,0.009924869246
07,Pond,Salt,21440246,8/18/2022,4:00:00 PM,9/8/2022,1:40 PM,4737208.433,347887.76,1.235,42.77232196,-70.85934021,0.09119935691,0.271,15063.63344,30100,1,0.09119935691
16,Pond,Salt,21440247,8/18/2022,4:00:00 PM,9/8/2022,2:25 PM,4737095.109,348105.605,1.292,42.77134516,-70.85664827,0.04559869848,0.212,5737.288503,14300,0.8482213439,0.0386777893
20,Edge,Salt,21440248,8/18/2022,4:00:00 PM,9/8/2022,1:57 PM,4736907.544,347754.985,1.596,42.76958739,-70.86088124,0,0,0,0,0,0
17,Ditch,Salt,21440249,8/18/2022,4:00:00 PM,9/8/2022,2:12 PM,4737038.3,347940.447,0.505,42.7708011,-70.85865072,0.4517142857,0.946,372.4489796,730,0.3679841897,0.1662237154
24,Plat,Salt,21440250,8/18/2022,4:00:00 PM,9/8/2022,2:00 PM,4736943.157,347782.856,1.224,42.76991347,-70.86055035,0.1826521739,0.402,118.6956522,250,0.1134387352,0.02071983159
