fid,cat,Field_ID,Type,Water,Serial,Date_Deplo,Time_Deplo,Date_Pulle,Time_Pulle,Northings,Eastings,Elevation,Average_Ma,Maximum_Ma,Average_In,Maximum_In,Portion_of,Depth_Dura,H_OFD_Chan,H_OFD_Out1,EucDisStrm,EucDisOut_,ChaDisDif,OutDisDif
1,"1",21b,Creek,Salt,"20358395",9/15/2022,4:00:00 PM,10/7/2022,1:30 PM,4613715.807000000961125,413682.257999999972526,0.158000000000000,0.333900000000000,0.628000000000000,303.333333299999993,"460",0.171900000000000,0.057390000000000,4.328426837921143,569.967895507812500,3.266841613513457,266.491589886306542,1.0616,303.4763
2,"2","41",Plat,?,"21071951",9/15/2022,4:00:00 PM,10/7/2022,1:30 PM,4613967.220999999903142,413686.907999999995809,0.384000000000000,0.213100000000000,0.346000000000000,281.363636400000019,"430",0.133900000000000,0.028540000000000,72.526939392089844,667.782307434082099,63.224337859489253,514.040070422853432,9.3026,153.7422
3,"3","36",Pond,Salt,"21384536",9/15/2022,4:00:00 PM,10/7/2022,1:30 PM,4613615.567999999970198,413650.662999999942258,0.254000000000000,0.229700000000000,0.502000000000000,257.727272700000015,"430",0.143300000000000,0.032910000000000,51.927684783935547,253.903793334960938,23.622276468186502,161.536489647481659,28.3054,92.3673
4,"4","2",Plat,Salt,"21384576",9/15/2022,4:00:00 PM,10/7/2022,1:30 PM,4613632.416000000201166,413349.214000000036322,0.749000000000000,0.000000000000000,0.000000000000000,0.000000000000000,"0",0.000000000000000,0.000000000000000,109.594963073730469,702.067687988281250,81.121630242675252,315.582878498818729,28.4733,386.4848
5,"5","28",Plat,Salt,"21384591",9/15/2022,4:00:00 PM,10/7/2022,1:30 PM,4613816.162999999709427,413694.162000000011176,0.570000000000000,0.110000000000000,0.199000000000000,164.000000000000000,"230",0.048600000000000,0.005350000000000,41.066772460937507,556.189086914062500,19.940338786742199,366.767136043702067,21.1264,189.4220
6,"6","20",Plat,Salt,"21384595",9/15/2022,4:00:00 PM,10/7/2022,1:30 PM,4613713.497999999672174,413689.564000000013039,0.414000000000000,0.159200000000000,0.305000000000000,192.727272699999986,"300",0.085800000000000,0.013660000000000,11.113962173461914,575.796508789062500,4.364869084979522,266.283070424146388,6.7491,309.5134
7,"7","19",Plat,Salt,"21384618",9/15/2022,4:00:00 PM,10/7/2022,1:30 PM,4613702.622000000439584,413707.797000000020489,0.522000000000000,0.112500000000000,0.199000000000000,160.000000000000000,"230",0.048400000000000,0.005440000000000,32.799003601074219,586.860961914062500,19.146959327837155,261.952479420449890,13.6520,324.9085
8,"8","31",Plat,Salt,"21384635",9/15/2022,4:00:00 PM,10/7/2022,1:30 PM,4613827.644000000320375,413671.684000000008382,0.682000000000000,0.059700000000000,0.082000000000000,86.666666669999998,"130",0.010400000000000,0.000620000000000,62.787353515625000,622.631164550781364,29.660937080846622,373.764037585206893,33.1264,248.8671
9,"9","3",Plat,Salt,"21384636",9/15/2022,4:00:00 PM,10/7/2022,1:30 PM,4613659.604000000283122,413347.099999999976717,0.683000000000000,0.056500000000000,0.065000000000000,95.000000000000000,"100",0.005600000000000,0.000310000000000,73.824134826660156,666.296081542968750,55.711281066364535,333.019790388386184,18.1129,333.2763
10,"10","18",Plat,Salt,"21384644",9/15/2022,4:00:00 PM,10/7/2022,1:30 PM,4613689.953999999910593,413711.381999999983236,0.537000000000000,0.096500000000000,0.190000000000000,140.000000000000000,"220",0.043500000000000,0.004200000000000,95.575950622558594,640.068481445312500,31.942429859212293,251.578947734264773,63.6335,388.4895
