Field1,Type,Water,Calibrated,Serial #,Date Deployed,Time Deployed,Date Pulled,Time Pulled,Northings,Eastings,Elevation,Latitude,Longitude,Average Maximum Inundation Depth (m),Maximum Maximum Inundation Depth (m),Average Inundation Duration (min),Maximum Inundation Duration (min),Portion of Time Inundated,Depth*Duration Flood Metric
43,Plat,Salt,02Feb2023,21071951,21Jul2022,1:00:00 PM,15Aug2022,5:24 PM,4597497.347,328463.012,0.417,41.51074885,-71.05553705,0.1737,0.443,162.3529412,280,0.1651,0.02869
37,Ditch,Salt,02Feb2023,21071954,21Jul2022,1:00:00 PM,15Aug2022,5:22 PM,4597502.814,328497.102,-0.081,41.51080536,-71.05513036,0.5441,0.872,415.6521739,510,0.5511,0.29987
03,Plat,Salt,02Feb2023,21384536,21Jul2022,1:00:00 PM,15Aug2022,4:05 PM,4597305.049,328757.177,0.526,41.50908078,-71.05195955,0.1473,0.376,136.1764706,260,0.0977,0.01439
01,Plat,Salt,02Feb2023,21384571,21Jul2022,1:00:00 PM,15Aug2022,1:41 PM,4597285.678,328753.416,0.614,41.50890561,-71.05199908,0.147,0.244,177.5,260,0.0218,0.0032
16,Plat,Salt,02Feb2023,21384576,21Jul2022,1:00:00 PM,15Aug2022,4:32 PM,4597470.05,328850.958,0.483,41.51058611,-71.05088338,0.1165,0.39,115.6521739,260,0.1153,0.01342
07,Plat,Salt,02Feb2023,21384591,21Jul2022,1:00:00 PM,15Aug2022,4:18 PM,4597407.405,328792.399,0.457,41.51000968,-71.05156685,0.1553,0.431,150,290,0.1572,0.02441
29,Plat,Salt,02Feb2023,21384595,21Jul2022,1:00:00 PM,15Aug2022,5:19 PM,4597539.68,328550.331,0.393,41.51114861,-71.05450341,0.1568,0.454,155.1351351,290,0.1777,0.02787
22,Plat,Salt,02Feb2023,21384618,21Jul2022,1:00:00 PM,15Aug2022,4:37 PM,4597482.625,328807.902,0.446,41.5106901,-71.05140258,0.1607,0.443,162.6923077,300,0.1744,0.02802
02,Plat,Salt,02Feb2023,21384635,21Jul2022,1:00:00 PM,15Aug2022,4:05 PM,4597298.598,328756.038,0.474,41.50902247,-71.05197135,0.1247,0.358,117.5,250,0.0775,0.00967
21,Plat,Salt,02Feb2023,21384636,21Jul2022,1:00:00 PM,15Aug2022,4:36 PM,4597501.77,328814.461,0.498,41.51086384,-71.05132948,0.136,0.398,132.6086957,270,0.1211,0.01647
25,Plat,Salt,02Feb2023,21384644,21Jul2022,1:00:00 PM,15Aug2022,5:15 PM,4597556.939,328590.871,0.465,41.51131264,-71.05402282,0.142,0.427,143.125,270,0.1517,0.02154
14,Edge,Salt,02Feb2023,21384647,21Jul2022,1:00:00 PM,15Aug2022,5:08 PM,4597467.416,328853.184,0.731,41.51056287,-71.05085598,0.1087,0.154,100,130,0.0096,0.00105
04,Plat,Salt,02Feb2023,21384654,21Jul2022,1:00:00 PM,15Aug2022,1:42 PM,4597337.84,328757.015,0.487,41.50937592,-71.05197081,0.1372,0.408,130.8333333,270,0.1337,0.01834
06,Plat,Salt,02Feb2023,21384656,21Jul2022,1:00:00 PM,15Aug2022,4:07 PM,4597367.388,328750.274,0.49,41.50964046,-71.05205994,0.1375,0.423,139.5833333,280,0.153,0.02103
05,Plat,Salt,02Feb2023,21384658,21Jul2022,1:00:00 PM,15Aug2022,1:43 PM,4597359.197,328751.237,0.479,41.50956694,-71.05204608,0.1469,0.41,137.6190476,280,0.1379,0.02025
34,Plat,Salt,02Feb2023,21384660,21Jul2022,1:00:00 PM,15Aug2022,5:27 PM,4597501.306,328515.264,0.479,41.51079567,-71.05491243,0.141,0.424,139,270,0.1459,0.02056
38,Plat,Salt,02Feb2023,21384665,21Jul2022,1:00:00 PM,15Aug2022,5:31 PM,4597470.373,328458.873,0.451,41.51050515,-71.05557894,0.135,0.42,136.7647059,270,0.1454,0.01964
18,Plat,Salt,02Feb2023,21384670,21Jul2022,1:00:00 PM,15Aug2022,4:35 PM,4597466.484,328836.263,0.483,41.51055087,-71.05105835,0.1111,0.377,102.3809524,250,0.0951,0.01057
33,Plat,Salt,02Feb2023,21384682,21Jul2022,1:00:00 PM,15Aug2022,5:21 PM,4597519.659,328507.778,0.436,41.51095928,-71.05500731,0.1286,0.418,130.2857143,270,0.1383,0.01779
12,Plat,Salt,02Feb2023,21384699,21Jul2022,1:00:00 PM,15Aug2022,4:13 PM,4597288.036,328834.879,0.463,41.50894424,-71.0510242,0.1667,0.452,162.962963,310,0.1802,0.03004
40,Creek,Salt,02Feb2023,21410921,21Jul2022,1:00:00 PM,15Aug2022,5:32 PM,4597466.99,328437.183,-0.512,41.51047006,-71.05583772,0.5984,1.328,17990.60241,31110,1,0.5984
35,Creek,Salt,02Feb2023,21410924,21Jul2022,1:00:00 PM,15Aug2022,5:30 PM,4597488.027,328506.636,-0.398,41.51067429,-71.05501197,0.4807,1.233,6184.431818,13930,0.9786,0.47043
23,Creek,Salt,02Feb2023,21410927,21Jul2022,1:00:00 PM,15Aug2022,4:39 PM,4597492.113,328796.558,0.076,41.51077309,-71.05154113,0.3716,0.765,329.3023256,490,0.4702,0.17474
41,Plat,Salt,02Feb2023,21410928,21Jul2022,1:00:00 PM,15Aug2022,5:22 PM,4597507.671,328490.331,0.47,41.51084763,-71.05521283,0.1171,0.403,120.3125,270,0.1262,0.01477
08,Creek,Salt,02Feb2023,21410929,21Jul2022,1:00:00 PM,15Aug2022,5:53 PM,4597415.793,328794.758,-0.557,41.51008569,-71.05154099,0.5344,1.428,17810.13514,31110,1,0.53436
13,Creek,Salt,02Feb2023,21410932,21Jul2022,1:00:00 PM,15Aug2022,4:11 PM,4597270.879,328842.776,-0.398,41.50879149,-71.05092476,0.4687,1.027,525.3333333,600,0.7037,0.3298
26,Creek,Salt,02Feb2023,21410933,21Jul2022,1:00:00 PM,15Aug2022,5:16 PM,4597548.789,328577.52,0.069,41.51123642,-71.05418039,0.4012,0.736,332.6315789,430,0.438,0.1757
20,Pond,Salt,02Feb2023,21410972,21Jul2022,1:00:00 PM,15Aug2022,4:36 PM,4597503.882,328820.997,0.447,41.51088425,-71.0512518,0.0531,0.444,19090.58691,31110,1,0.05307
42,Plat,Salt,02Feb2023,21411051,21Jul2022,1:00:00 PM,15Aug2022,5:23 PM,4597495.028,328476.854,0.405,41.51073094,-71.05537063,0.1743,0.475,170,300,0.1974,0.03441
28,Plat,Salt,02Feb2023,21411058,21Jul2022,1:00:00 PM,15Aug2022,5:17 PM,4597547.471,328566.257,0.482,41.51122215,-71.0543149,0.1303,0.401,131.7857143,270,0.1262,0.01643
09,Plat,Salt,02Feb2023,21411061,21Jul2022,1:00:00 PM,15Aug2022,1:47 PM,4597376.809,328802.539,0.487,41.50973644,-71.05143672,0.1517,0.425,148.8,290,0.1521,0.02308
10,Plat,Salt,02Feb2023,21411074,21Jul2022,1:00:00 PM,15Aug2022,4:16 PM,4597345.512,328814.622,0.499,41.50945729,-71.05128313,0.1325,0.417,132.4,290,0.1454,0.01927
15,Edge,Salt,02Feb2023,21411121,21Jul2022,1:00:00 PM,15Aug2022,5:10 PM,4597478.874,328854.742,0.731,41.51066635,-71.05084057,0.1173,0.166,100,130,0.0096,0.00113
24,Plat,Salt,02Feb2023,21440242,21Jul2022,1:00:00 PM,15Aug2022,4:43 PM,4597491.586,328781.391,0.495,41.5107651,-71.05172262,0.1353,0.405,131.3043478,270,0.01758,0.1299
39,Plat,Salt,02Feb2023,21440243,21Jul2022,1:00:00 PM,15Aug2022,5:31 PM,4597470.089,328445.821,0.271,41.5104998,-71.05573516,0.2494,0.592,220.4444444,350,0.3039,0.07577
30,Plat,Salt,02Feb2023,21440244,21Jul2022,1:00:00 PM,15Aug2022,5:18 PM,4597520.362,328554.322,0.483,41.51097557,-71.05445011,0.1008,0.372,100,250,0.0914,0.00921
36,Plat,Salt,02Feb2023,21440245,21Jul2022,1:00:00 PM,15Aug2022,5:28 PM,4597489.29,328487.295,0.465,41.51068152,-71.05524395,0.1125,0.392,115.625,260,0.1161,0.01306
19,Plat,Salt,02Feb2023,21440246,21Jul2022,1:00:00 PM,15Aug2022,4:35 PM,4597475.7,328831.63,0.497,41.51063284,-71.05111645,0.109,0.33,111.1764706,230,0.0838,0.00914
27,Plat,Salt,02Feb2023,21440247,21Jul2022,1:00:00 PM,15Aug2022,5:15 PM,4597540.141,328583.529,0.459,41.51115986,-71.05410597,0.1279,0.412,127.5,270,0.1358,0.01737
17,Pond,Salt,02Feb2023,21440248,21Jul2022,1:00:00 PM,15Aug2022,4:34 PM,4597476.098,328841.837,0.391,41.5106386,-71.05099433,0.0679,0.454,18778.30544,31110,1,0.06792
32,Plat,Salt,02Feb2023,21440249,21Jul2022,1:00:00 PM,15Aug2022,5:20 PM,4597530.745,328523.966,0.469,41.51106253,-71.0548166,0.1388,0.427,139.7058824,270,0.1509,0.02094
31,Plat,Salt,02Feb2023,21440250,21Jul2022,1:00:00 PM,15Aug2022,5:38 PM,4597538.728,328537.266,0.448,41.51113724,-71.0546596,0.1578,0.442,159.0322581,290,0.1689,0.02666
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
