Field ID,Type,Water,Serial,Date Deployed,Time Deployed,Date Pulled,Time Pulled,Northings,Eastings,Elevation,Average Maximum Inundation Depth (m),Maximum Maximum Inundation Depth (m),Average Inundation Duration (min),Maximum Inundation Duration (min),Portion of Time Inundated,Depth*Duration Flood Metric
21b,Creek,Salt,20358395,9/15/2022,4:00:00 PM,10/7/2022,1:30 PM,4613715.807,413682.258,0.158,0.3339,0.628,303.3333333,460,0.1719,0.05739
41,Plat,?,21071951,9/15/2022,4:00:00 PM,10/7/2022,1:30 PM,4613967.221,413686.908,0.384,0.2131,0.346,281.3636364,430,0.1339,0.02854
36,Pond,Salt,21384536,9/15/2022,4:00:00 PM,10/7/2022,1:30 PM,4613615.568,413650.663,0.254,0.2297,0.502,257.7272727,430,0.1433,0.03291
2,Plat,Salt,21384576,9/15/2022,4:00:00 PM,10/7/2022,1:30 PM,4613632.416,413349.214,0.749,0,0,0,0,0,0
28,Plat,Salt,21384591,9/15/2022,4:00:00 PM,10/7/2022,1:30 PM,4613816.163,413694.162,0.57,0.11,0.199,164,230,0.0486,0.00535
20,Plat,Salt,21384595,9/15/2022,4:00:00 PM,10/7/2022,1:30 PM,4613713.498,413689.564,0.414,0.1592,0.305,192.7272727,300,0.0858,0.01366
19,Plat,Salt,21384618,9/15/2022,4:00:00 PM,10/7/2022,1:30 PM,4613702.622,413707.797,0.522,0.1125,0.199,160,230,0.0484,0.00544
31,Plat,Salt,21384635,9/15/2022,4:00:00 PM,10/7/2022,1:30 PM,4613827.644,413671.684,0.682,0.0597,0.082,86.66666667,130,0.0104,0.00062
3,Plat,Salt,21384636,9/15/2022,4:00:00 PM,10/7/2022,1:30 PM,4613659.604,413347.1,0.683,0.0565,0.065,95,100,0.0056,0.00031
18,Plat,Salt,21384644,9/15/2022,4:00:00 PM,10/7/2022,1:30 PM,4613689.954,413711.382,0.537,0.0965,0.19,140,220,0.0435,0.0042
6,Plat,?,21384647,9/15/2022,4:00:00 PM,10/7/2022,1:30 PM,4613713.162,413345.904,0.486,0.1402,0.233,200,280,0.0668,0.00937
16,Plat,Salt,21384654,9/15/2022,4:00:00 PM,10/7/2022,1:30 PM,4613644.327,413751.235,0.539,0.1284,0.264,161.8181818,250,0.0491,0.0063
22,Pond,Salt,21384656,9/15/2022,4:00:00 PM,10/7/2022,1:30 PM,4613701.398,413713.053,0.446,0.0443,0.319,8463.169811,15380,0.3803,0.01684
32,Plat,Salt,21384660,9/15/2022,4:00:00 PM,10/7/2022,1:30 PM,4613824.007,413666.411,0.666,0.0533,0.079,77.5,130,0.0094,0.0005
25,Plat,Salt,21384665,9/15/2022,4:00:00 PM,10/7/2022,1:30 PM,4613591.215,413750.343,0.274,0.2341,0.48,249.0909091,410,0.1306,0.03058
33,Plat,Salt,21384670,9/15/2022,4:00:00 PM,10/7/2022,1:30 PM,4613829.304,413658.323,0.634,0.0807,0.123,121.6666667,180,0.0218,0.00176
40,Plat,?,21384682,9/15/2022,4:00:00 PM,10/7/2022,1:30 PM,4613965.576,413689.937,0.5,0.1123,0.192,217.2727273,330,0.079,0.00887
1a,Edge,Salt,21384699,9/15/2022,4:00:00 PM,10/7/2022,1:30 PM,4613628.584,413356.378,0.744,0,0,0,0,0,0
