Serial_Number,Proportion_Time_Inundated,Median_Time_Inundated,Median_Inundation_Level,Elevation,Type,Percentile_80_Depth,Percentile_95_Depth,Wet_75_Percentile_Depth,Easting,Northing,Site
20358395,0.4273477157360406,5.166666666666667,0.23750000000000004,0.158,Creek,0.271,0.447,0.378,413682.258,4613715.807,RED
21071951,0.3324873096446701,4.583333333333333,0.15499999999999992,0.384,Plat,0.145,0.277,0.249,413686.908,4613967.221,RED
21384536,0.33280456852791873,4.333333333333333,0.16599999999999998,0.254,Pond,0.15360000000000035,0.325,0.286,413650.663,4613615.568,RED
21384576,0.0015862944162436943,1,0.01200000000000001,0.749,Plat,0,0.005,0.035,413349.214,4613632.416,RED
21384591,0.10279187817258884,3,0.06399999999999995,0.57,Plat,0,0.086,0.136,413694.162,4613816.163,RED
21384595,0.19384517766497467,3.5833333333333335,0.11000000000000004,0.414,Plat,0.013,0.189,0.19,413689.564,4613713.498,RED
21384618,0.10215736040609136,3,0.06149999999999989,0.522,Plat,0,0.083,0.135,413707.797,4613702.622,RED
21384635,0.024111675126903598,1.6666666666666667,0.03600000000000003,0.682,Plat,0,0.001,0.09,413671.684,4613827.644,RED
21384636,0.017449238578680193,1.6666666666666667,0.034499999999999975,0.683,Plat,0.001,0.008,0.0735,413347.1,4613659.604,RED
21384644,0.09232233502538068,2.8333333333333335,0.05999999999999994,0.537,Plat,0.001,0.07644999999999982,0.1295,413711.382,4613689.954,RED
21384647,0.14467005076142136,3.25,0.08499999999999996,0.486,Plat,0,0.129,0.15,413345.904,4613713.162,RED
21384654,0.10374365482233505,2.6666666666666665,0.06799999999999995,0.539,Plat,0.002,0.09144999999999981,0.14100000000000001,413751.235,4613644.327,RED
21384656,0.962246192893401,73.16666666666667,0.014999999999999958,0.446,Pond,0.042800000000000185,0.1494499999999998,0.041,413713.053,4613701.398,RED
21384660,0.022525380710659904,1.5833333333333333,0.03600000000000003,0.666,Plat,0.002,0.009,0.0835,413666.411,4613824.007,RED
21384665,0.31123096446700504,4.5,0.15999999999999998,0.274,Plat,0.131,0.307,0.273,413750.343,4613591.215,RED
21384670,0.04505076142131981,2.0833333333333335,0.04599999999999993,0.634,Plat,0,0.014449999999999817,0.10275000000000001,413658.323,4613829.304,RED
21384682,0.17544416243654826,3.8333333333333335,0.07499999999999996,0.5,Plat,0.008,0.1254499999999998,0.134,413689.937,4613965.576,RED
21384699,0,NA,NA,0.744,Edge,0,0,NA,413356.378,4613628.584,RED
21410921,0.8115482233502538,0.3333333333333333,0.058000000000000024,0.128,Pond,0.2798000000000002,0.45344999999999985,0.27675000000000005,413738.357,4613599.153,RED
21410924,0.1408629441624365,0.5833333333333334,0.027000000000000024,0.704,Plat,0.006,0.05,0.053,413716.277,4613958.274,RED
21410927,0.9390862944162437,0.3333333333333333,0.122,0.002,Creek,0.459,0.6394499999999999,0.414,413346.159,4613717.503,RED
21410928,0.09200507614213194,2.75,0.04999999999999993,0.572,Plat,0.001,0.06644999999999983,0.115,413361.58,4613726.047,RED
21410929,0.5901015228426396,6.333333333333333,0.22899999999999998,0.04,Ditch,0.35,0.526,0.405,413766.418,4613603.504,RED
21410932,0.0038071065989847552,2.1666666666666665,0.014000000000000012,0.716,Plat,0.004,0.007,0.043,413709.266,4613957.857,RED
21410933,0.725253807106599,8.5,0.31400000000000006,-0.157,Creek,0.517,0.693,0.537,413643.528,4613840.687,RED
21410972,0.037753807106599035,2.3333333333333335,0.03700000000000003,0.628,Plat,0,0.007,0.0915,413342.268,4613687.444,RED
21411051,0.2350888324873096,3.8333333333333335,0.14300000000000002,0.4,Plat,0.065,0.241,0.229,413346.092,4613719.022,RED
21411058,0.1798857868020305,3.5,0.09800000000000003,0.442,Plat,0.005,0.169,0.177,413725.865,4613591.113,RED
21411061,0.16180203045685282,3.3333333333333335,0.09399999999999997,0.484,Plat,0.003,0.155,0.16875,413749.148,4613627.056,RED
21411074,0.19796954314720816,3.8333333333333335,0.10599999999999993,0.415,Plat,0.01880000000000018,0.192,0.19225000000000003,413781.797,4613584.734,RED
21411121,0,NA,NA,0.776,Edge,0.001,0.008,NA,413795.965,4613577.421,RED
21440242,0.12182741116751272,3.1666666666666665,0.06599999999999995,0.53,Plat,0.004,0.099,0.13625,413344.567,4613727.777,RED
21440243,0.06789340101522845,2.5,0.041000000000000036,0.596,Plat,0.004800000000000183,0.037,0.099,413344.033,4613670.925,RED
21440244,0.11104060913705582,3.1666666666666665,0.061999999999999944,0.549,Plat,0,0.09044999999999981,0.13275,413344.57,4613732.627,RED
21440245,0.10723350253807107,2.8333333333333335,0.07099999999999995,0.521,Plat,0,0.09544999999999981,0.14675,413729.29,4613659.18,RED
21440246,0.1316624365482234,3,0.07799999999999996,0.507,Plat,0.007,0.11444999999999983,0.148,413648.658,4613832.259,RED
21440247,0.02601522842639592,2.4166666666666665,0.029000000000000026,0.775,Plat,0.002,0.007,0.05675,413698.103,4613959.38,RED
21440248,0.27474619289340096,4,0.16199999999999998,0.267,Plat,0.112,0.28744999999999976,0.26675000000000004,413705.112,4613807.941,RED
21440249,0.019987309644670104,1.5833333333333333,0.03750000000000009,0.671,Plat,0.003,0.008,0.0825,413677.149,4613824.453,RED
21440250,0.035532994923857864,2.1666666666666665,0.04349999999999998,0.63,Plat,0,0.007,0.102,413682.845,4613818.867,RED
20358395,0.8668648827221672,10.333333333333334,1.112,-0.97,Creek,1.88,2.273,1.836,347676.432,4737474.414,OTH
21071951,1,501.6666666666667,0.068,0.155,Ditch,0.8062000000000002,1.21,0.6662500000000001,347881.449,4737028.548,OTH
21071954,0.15028136378682555,2.4166666666666665,0.20599999999999996,1.084,Plat,0,0.293,0.31875000000000003,347478.86,4737219.458,OTH
21384536,0.013916500994035741,1.8333333333333333,0.04600000000000004,1.435,Plat,0,0,0.1115,347711.901,4737440.109,OTH
21384576,0.004634227077126796,1.1666666666666667,0.03699999999999992,1.512,Plat,0,0,0.08700000000000001,347479.758,4737227.709,OTH
21384591,0.06770660471291068,1.6666666666666667,0.05800000000000005,1.303,Plat,0,0.054,0.104,347983.415,4737095.445,OTH
21384595,0.36544850498338866,3.4166666666666665,0.17200000000000004,0.809,Ditch,0.14320000000000027,0.5365499999999997,0.442,347918.256,4737052.246,OTH
21384618,0.009277667329357198,1.8333333333333333,0.05549999999999988,1.451,Plat,0,0,0.104,347687.325,4737453.218,OTH
