Field ID,Type,Water,Calibrated,Serial,Date Deployed,Time Deployed,Date Pulled,Time Pulled,Northings,Eastings,Elevation,Average Maximum Inundation Depth (m),Maximum Maximum Inundation Depth (m),Average Inundation Duration (min),Maximum Inundation Duration (min),Portion of Time Inundated,Depth*Duration Flood Metric
35,Creek,Salt,02Feb2023,20358395,10/19/2022,4:00:00 PM,11/23/2022,1:10 PM,4637428.955,417237.336,0.864,0.4824,1.035,186.969697,270,0.2523,0.1217
29,Creek,Salt,02Feb2023,21410924,10/19/2022,4:00:00 PM,11/23/2022,1:10 PM,4637109.25,417057.001,0.684,0.2087,1.254,802.0819113,2160,0.6047,0.12622
17,Creek,Salt,02Feb2023,21410921,10/19/2022,4:00:00 PM,11/23/2022,1:10 PM,4636955.183,416845.117,0.635,0.1591,1.177,21316.66667,40070,1,0.15906
11,Creek,Salt,02Feb2023,21071951,10/19/2022,4:00:00 PM,11/23/2022,1:10 PM,4637173.636,416696.51,0.415,0.8843,1.468,292,420,0.4002,0.35389
41,Creek,Salt,02Feb2023,21071954,10/19/2022,4:00:00 PM,11/23/2022,1:10 PM,4637422.493,416915.856,0.277,0.9491,1.663,328.6813187,410,0.4586,0.43523
30,Edge,Salt,02Feb2023,21384644,10/19/2022,4:00:00 PM,11/23/2022,1:10 PM,4637448.706,417308.853,1.906,0.0380,0.038,30,30,0.0008,0.00003
20,Edge,Salt,02Feb2023,21384656,10/19/2022,4:00:00 PM,11/23/2022,1:10 PM,4637056.865,417080.843,1.95,0.037,0.037,20,20,0.0005,0.00002
1,Edge,Salt,02Feb2023,21440249,10/19/2022,4:00:00 PM,11/23/2022,1:10 PM,4637125.536,416819.041,1.854,0.0465,0.066,30,50,0.0015,0.00007
31,Plat,Salt,02Feb2023,21440250,10/19/2022,4:00:00 PM,11/23/2022,1:10 PM,4637441.705,417293.324,1.617,0.0959,0.28,63.75,130,0.0294,0.00282
32,Plat,Salt,02Feb2023,21411061,10/19/2022,4:00:00 PM,11/23/2022,1:10 PM,4637438.58,417277.322,1.557,0.1384,0.367,78.8,140,0.0349,0.00482
33,Plat,Salt,02Feb2023,21384654,10/19/2022,4:00:00 PM,11/23/2022,1:10 PM,4637429.344,417254.679,1.21,0.2882,0.689,124.4444444,200,0.1247,0.03594
34,Plat,Salt,02Feb2023,21384595,10/19/2022,4:00:00 PM,11/23/2022,1:10 PM,4637429.654,417243.206,1.401,0.2178,0.558,110.1960784,220,0.0839,0.01828
21,Plat,Salt,02Feb2023,21384665,10/19/2022,4:00:00 PM,11/23/2022,1:10 PM,4637059.362,417080.727,1.804,0.0469,0.159,120.7142857,190,0.015,0.0007
22,Plat,Salt,02Feb2023,21411058,10/19/2022,4:00:00 PM,11/23/2022,1:10 PM,4637063.917,417074.993,1.692,0.149,0.247,81.66666667,120,0.0096,0.00142
24,Plat,Salt,02Feb2023,21384591,10/19/2022,4:00:00 PM,11/23/2022,1:10 PM,4637081.087,417073.374,1.746,0.1493,0.25,90,130,0.0108,0.00162
25,Plat,Salt,02Feb2023,21411051,10/19/2022,4:00:00 PM,11/23/2022,1:10 PM,4637083.822,417065.152,1.716,0.0495,0.24,146.7857143,250,0.0341,0.00169
26,Plat,Salt,02Feb2023,21384636,10/19/2022,4:00:00 PM,11/23/2022,1:10 PM,4637090.901,417064.834,1.712,0.1353,0.252,78.57142857,120,0.0111,0.0015
27,Plat,Salt,02Feb2023,21384576,10/19/2022,4:00:00 PM,11/23/2022,1:10 PM,4637105.215,417059.581,1.529,0.1404,0.386,88.23529412,160,0.03976245804,0.00558
28,Plat,Salt,02Feb2023,21440245,10/19/2022,4:00:00 PM,11/23/2022,1:10 PM,4637107.832,417058.355,1.199,0.2589,0.743,120.3389831,230,0.1487,0.0385
19,Plat,Salt,02Feb2023,21411074,10/19/2022,4:00:00 PM,11/23/2022,1:10 PM,4637053.346,416946.154,1.476,0.1151,0.434,282.5,520,0.1043,0.012
15,Plat,Salt,02Feb2023,21384647,10/19/2022,4:00:00 PM,11/23/2022,1:10 PM,4636996.535,416843.959,1.448,0.1949,0.454,108,200,0.0645,0.01258
16,Plat,Salt,02Feb2023,21384660,10/19/2022,4:00:00 PM,11/23/2022,1:10 PM,4636965.103,416838.478,1.203,0.1957,0.722,152.8571429,330,0.1921,0.03759
12,Plat,Salt,02Feb2023,21384536,10/19/2022,4:00:00 PM,11/23/2022,1:10 PM,4636956.33,416843.375,1.056,0.2971,0.855,169.4805195,350,0.2507100439,0.07449
14,Plat,Salt,02Feb2023,21440243,10/19/2022,4:00:00 PM,11/23/2022,1:10 PM,4637033.955,416855.078,1.444,0.1715,0.39,95.78947368,170,0.0426,0.00731
13,Plat,Salt,02Feb2023,21384670,10/19/2022,4:00:00 PM,11/23/2022,1:10 PM,4637067.658,416864.262,1.586,0.0937,0.291,72.63157895,170,0.0349,0.00327
2,Plat,Salt,02Feb2023,21440242,10/19/2022,4:00:00 PM,11/23/2022,1:10 PM,4637129.05,416808.258,1.64,0.1301,0.245,72.5,120,0.0121,0.00158
3,Plat,Salt,02Feb2023,21384682,10/19/2022,4:00:00 PM,11/23/2022,1:10 PM,4637133.623,416794.528,1.462,0.195,0.457,97.91666667,170,0.0604,0.01178
4,Plat,Salt,02Feb2023,21384635,10/19/2022,4:00:00 PM,11/23/2022,1:10 PM,4637138.3,416780.932,1.35,0.2258,0.556,106.1764706,190,0.0901,0.02035
5,Plat,Salt,02Feb2023,21411121,10/19/2022,4:00:00 PM,11/23/2022,1:10 PM,4637148.875,416775.276,1.297,0.2445,0.626,121.5384615,220,0.1149,0.02809
6,Plat,Salt,02Feb2023,21440248,10/19/2022,4:00:00 PM,11/23/2022,1:10 PM,4637145.49,416756.812,1.173,0.3171,0.747,140.6382979,230,0.1632,0.05174
7,Plat,Salt,02Feb2023,21384618,10/19/2022,4:00:00 PM,11/23/2022,1:10 PM,4637151.983,416739.296,1.14,0.3475,0.788,156.25,250,0.182,0.06326
8,Plat,Salt,02Feb2023,21440244,10/19/2022,4:00:00 PM,11/23/2022,1:10 PM,4637154.37,416722.207,1.396,0.2086,0.543,100.9677419,190,0.086,0.01793
