poly_number,point_number,subclass,northing,easting,elevation,notes,date,type,veg_height_cm,veg_height_m,outside_mask,out_rgb_may,out_lidar_may,out_rgb_aug,out_lidar_aug,site,predicted
NA,1,12,4613719.729,413346.977,0.515,NA,2022-08-06,EVP,270,2.7,NA,NA,NA,NA,NA,rr,0.7253427333461321
NA,2,11,4613999.848,413719.588,0.559,NA,2022-08-10,EVP,129,1.29,NA,NA,NA,NA,NA,rr,0.7741602969694591
NA,3,9,4613675.769,413364.098,0.635,NA,2022-08-06,EVP,85,0.85,NA,NA,NA,NA,NA,rr,0.8066304028749585
NA,4,12,4613750.63,413302.094,0.65,NA,2022-08-06,EVP,235,2.35,NA,NA,NA,NA,NA,rr,0.8950551956601631
NA,7,9,4613607.752,413307.921,0.729,NA,2022-08-06,EVP,61,0.61,NA,NA,NA,NA,NA,rr,0.9694422635679063
NA,8,11,4613774.626,413472.281,0.672,NA,2022-08-10,EVP,178,1.78,NA,NA,NA,NA,NA,rr,0.902885130995814
NA,9,3,4613803.104,413771.556,0.348,NA,2022-08-06,EVP,23,0.23,NA,NA,NA,NA,NA,rr,0.5634955190626337
NA,10,12,4613902.18,413797.335,0.608,NA,2022-08-10,EVP,275,2.75,NA,NA,NA,NA,NA,rr,0.8682079969874733
NA,11,9,4613520.121,413220.163,0.788,NA,2022-08-06,EVP,81,0.81,NA,NA,NA,NA,NA,rr,1.052211808383837
NA,12,11,4613977.298,413709.515,0.595,NA,2022-08-10,EVP,168,1.68,NA,NA,NA,NA,NA,rr,0.9701760101757311
NA,13,11,4613994.122,413722.482,0.586,NA,2022-08-10,EVP,169,1.69,NA,NA,NA,NA,NA,rr,0.897661747814733
NA,14,12,4613878.459,413749.058,0.67,NA,2022-08-10,EVP,202,2.02,NA,NA,NA,NA,NA,rr,0.7906614461816017
NA,15,12,4613734.812,413369.022,0.534,NA,2022-08-06,EVP,304,3.04,NA,NA,NA,NA,NA,rr,0.8380782506547053
NA,16,12,4613596.538,413303.655,0.676,NA,2022-08-06,EVP,202,2.02,NA,NA,NA,NA,NA,rr,0.844080005012527
NA,17,3,4613869.892,413785.685,0.544,NA,2022-08-10,EVP,25,0.25,NA,NA,NA,NA,NA,rr,0.6913424127458081
NA,18,9,4613485.731,413514.924,0.75,NA,2022-08-06,EVP,59,0.59,NA,NA,NA,NA,NA,rr,1.0874047805570601
NA,19,8,4613530.843,413254.286,0.673,NA,2022-08-06,EVP,26,0.26,NA,NA,NA,NA,NA,rr,0.866752960275365
NA,20,12,4613658.762,413343.502,0.698,NA,2022-08-06,EVP,181,1.81,NA,NA,NA,NA,NA,rr,0.8790246361534906
NA,21,1,4613843.445,413794.049,0.462,NA,2022-08-10,EVP,47,0.47,NA,NA,NA,NA,NA,rr,0.7663487843930141
NA,22,11,4613883.634,413719.432,0.649,NA,2022-08-10,EVP,110,1.1,NA,NA,NA,NA,NA,rr,1.042564119491216
NA,23,1,4613726.43,413525.319,0.26,NA,2022-08-10,EVP,92,0.92,NA,NA,NA,NA,NA,rr,0.7208768147408531
NA,24,9,4613583.122,413446.064,0.785,NA,2022-08-06,EVP,80,0.8,NA,NA,NA,NA,NA,rr,0.9679843058760322
NA,25,9,4613727.061,413296.572,0.617,NA,2022-08-06,EVP,87,0.87,NA,NA,NA,NA,NA,rr,0.8241436782975229
NA,26,12,4613654.358,413337.277,0.644,NA,2022-08-06,EVP,207,2.07,NA,NA,NA,NA,NA,rr,0.9876799883858115
NA,28,2,4613893.43,413835.706,0.485,NA,2022-08-10,EVP,58,0.58,NA,NA,NA,NA,NA,rr,0.9540727963647112
NA,29,11,4613936.681,413697.469,0.681,NA,2022-08-10,EVP,167,1.67,NA,NA,NA,NA,NA,rr,0.9740934563956586
NA,30,3,4613681.684,413777.122,0.494,NA,2022-08-06,EVP,21,0.21,NA,NA,NA,NA,NA,rr,0.6153649691613334
NA,31,3,4613726.156,413379.66,0.601,NA,2022-08-06,EVP,44,0.44,NA,NA,NA,NA,NA,rr,0.7507720057075974
NA,32,1,4613707.313,413553.831,0.368,NA,2022-08-10,EVP,89,0.89,NA,NA,NA,NA,NA,rr,0.754202220307697
NA,33,9,4613926.504,413690.34,0.673,NA,2022-08-10,EVP,103,1.03,NA,NA,NA,NA,NA,rr,0.8287272093743127
NA,34,11,4613881.35,413739.4,0.653,NA,2022-08-10,EVP,80,0.8,NA,NA,NA,NA,NA,rr,0.9768000216014682
NA,35,1,4613596.014,413461.886,0.712,NA,2022-08-06,EVP,54,0.54,NA,NA,NA,NA,NA,rr,0.9955153627143882
NA,37,3,4613512.293,413867.037,0.396,NA,2022-08-06,EVP,21,0.21,NA,NA,NA,NA,NA,rr,0.5600000023841858
NA,39,5,4613517.064,413575.712,0.644,NA,2022-08-06,EVP,5,0.05,NA,NA,NA,NA,NA,rr,0.8101417622361402
NA,40,3,4613532.523,413844.818,0.592,NA,2022-08-06,EVP,44,0.44,NA,NA,NA,NA,NA,rr,0.8382297490526025
NA,41,3,4613521.547,413869.65,0.508,NA,2022-08-06,EVP,35,0.35,NA,NA,NA,NA,NA,rr,0.5968800082308054
NA,42,N/A,4613511.533,413881.855,0.609,NA,2022-08-06,EVP,41,0.41,NA,NA,NA,NA,NA,rr,NA
NA,43,9,4613601.031,413468.772,0.804,NA,2022-08-06,EVP,109,1.09,NA,NA,NA,NA,NA,rr,1.0790217854121062
NA,44,6,4613692.257,413354.406,0.639,NA,2022-08-06,EVP,28,0.28,NA,NA,NA,NA,NA,rr,0.7849030382010547
NA,45,3,4613518.435,413874.072,0.545,NA,2022-08-06,EVP,26,0.26,NA,NA,NA,NA,NA,rr,0.6004000092208386
NA,47,3,4613530.698,413849.721,0.582,NA,2022-08-06,EVP,11,0.11,NA,NA,NA,NA,NA,rr,0.7131587128975853
NA,48,7,4613466.026,413345.57,0.565,NA,2022-08-06,EVP,15,0.15,NA,NA,NA,NA,NA,rr,0.7279200210887193
NA,49,5,4613743.808,413535.345,0.503,NA,2022-08-10,EVP,32,0.32,NA,NA,NA,NA,NA,rr,0.6792496097890466
NA,50,7,4613466.36,413349.257,0.634,NA,2022-08-06,EVP,17,0.17,NA,NA,NA,NA,NA,rr,0.7920704159666792
NA,52,9,4613751.782,413464.462,0.642,NA,2022-08-10,EVP,123,1.23,NA,NA,NA,NA,NA,rr,0.874214405997806
NA,53,9,4613584.66,413431.866,0.757,NA,2022-08-06,EVP,57,0.57,NA,NA,NA,NA,NA,rr,1.1897128333908464
NA,54,9,4613917.912,413692.766,0.766,NA,2022-08-10,EVP,116,1.16,NA,NA,NA,NA,NA,rr,0.9989894409067881
NA,55,9,4613726.489,413442.691,0.708,NA,2022-08-10,EVP,126,1.26,NA,NA,NA,NA,NA,rr,1.0088153515846792
NA,56,11,4613777.929,413788.031,0.659,NA,2022-08-06,EVP,120,1.2,NA,NA,NA,NA,NA,rr,0.8639635245727366
NA,57,9,4613918.74,413681.879,0.573,NA,2022-08-10,EVP,100,1,NA,NA,NA,NA,NA,rr,0.814500798100877
NA,58,9,4613715.779,413443.666,0.742,NA,2022-08-10,EVP,132,1.32,NA,NA,NA,NA,NA,rr,0.9825414259350626
NA,59,9,4613473.153,413382.351,0.785,NA,2022-08-06,EVP,58,0.58,NA,NA,NA,NA,NA,rr,1.1170751840830653
NA,60,9,4613514.652,413316.45,0.883,NA,2022-08-06,EVP,97,0.97,NA,NA,NA,NA,NA,rr,1.2349679823840187
NA,62,10,4613526.643,413624.365,0.814,NA,2022-08-06,EVP,18,0.18,NA,NA,NA,NA,NA,rr,0.9075743776887923
NA,63,9,4613714.249,413339.975,0.551,NA,2022-08-06,EVP,104,1.04,NA,NA,NA,NA,NA,rr,0.8601279964610339
NA,64,9,4613581.922,413435.469,0.821,NA,2022-08-06,EVP,71,0.71,NA,NA,NA,NA,NA,rr,1.1526937420211318
NA,66,9,4613784.063,413481.493,0.633,NA,2022-08-10,EVP,101,1.01,NA,NA,NA,NA,NA,rr,0.8258905472290563
NA,67,9,4613739.12,413447.845,0.528,NA,2022-08-10,EVP,3,0.03,NA,NA,NA,NA,NA,rr,0.5874719761855378
NA,68,5,4613789.217,413555.933,0.614,NA,2022-08-10,EVP,31,0.31,NA,NA,NA,NA,NA,rr,0.7911462314477605
NA,69,6,4613797.597,413573.512,0.552,NA,2022-08-10,EVP,26,0.26,NA,NA,NA,NA,NA,rr,0.7624800083790719
NA,70,9,4613786.026,413539.584,1.178,NA,2022-08-10,EVP,85,0.85,NA,NA,NA,NA,NA,rr,1.2369600124801134
NA,71,8,4613541.791,413274.245,0.696,NA,2022-08-06,EVP,38,0.38,NA,NA,NA,NA,NA,rr,0.8654591988949836
NA,72,8,4613547.421,413286.797,0.718,NA,2022-08-06,EVP,34,0.34,NA,NA,NA,NA,NA,rr,0.9030016136000484
NA,73,8,4613497.366,413284.327,0.633,NA,2022-08-06,EVP,29,0.29,NA,NA,NA,NA,NA,rr,0.7977635340517155
NA,74,8,4613516.107,413307.897,0.695,NA,2022-08-06,EVP,25,0.25,NA,NA,NA,NA,NA,rr,0.8961433398181115
NA,75,3,4613633.067,413302.066,0.59,NA,2022-08-06,EVP,45,0.45,NA,NA,NA,NA,NA,rr,0.8005475314006796
NA,76,8,4613546.335,413281.068,0.723,NA,2022-08-06,EVP,29,0.29,NA,NA,NA,NA,NA,rr,0.8657104184012123
NA,77,8,4613504.217,413235.134,0.655,NA,2022-08-06,EVP,35,0.35,NA,NA,NA,NA,NA,rr,0.8277199862898253
NA,78,8,4613614.339,413416.82,0.687,NA,2022-08-06,EVP,28,0.28,NA,NA,NA,NA,NA,rr,0.8608560134863219
NA,79,6,4613693.8,413438.654,0.776,NA,2022-08-06,EVP,25,0.25,NA,NA,NA,NA,NA,rr,0.853536004649654
NA,80,3,4613677.267,413467.197,0.556,NA,2022-08-06,EVP,16,0.16,NA,NA,NA,NA,NA,rr,0.6333766320115973
NA,82,8,4613490.26,413291.557,0.652,NA,2022-08-06,EVP,28,0.28,NA,NA,NA,NA,NA,rr,0.8036271884698369
NA,83,8,4613532.284,413242.54,0.642,NA,2022-08-06,EVP,28,0.28,NA,NA,NA,NA,NA,rr,0.8567903827773228
NA,84,1,4613720.725,413551.803,0.343,NA,2022-08-10,EVP,65,0.65,NA,NA,NA,NA,NA,rr,0.659328009662904
NA,85,5,4613509.987,413240.987,0.614,NA,2022-08-06,EVP,23,0.23,NA,NA,NA,NA,NA,rr,0.7593177511117417
NA,86,5,4613812.89,413555.393,0.714,NA,2022-08-10,EVP,39,0.39,NA,NA,NA,NA,NA,rr,1.0362719620155207
NA,87,8,4613613.043,413411.637,0.72,NA,2022-08-06,EVP,46,0.46,NA,NA,NA,NA,NA,rr,0.886064648860709
NA,88,3,4613488.566,413553.873,0.444,NA,2022-08-06,EVP,53,0.53,NA,NA,NA,NA,NA,rr,0.7631599877684638
NA,89,8,4613627.567,413404.824,0.744,NA,2022-08-06,EVP,32,0.32,NA,NA,NA,NA,NA,rr,0.8389468658060336
NA,90,7,4613657.503,413298.926,0.642,NA,2022-08-06,EVP,32,0.32,NA,NA,NA,NA,NA,rr,0.843266554894303
NA,92,6,4613682.104,413358.297,0.611,NA,2022-08-06,EVP,27,0.27,NA,NA,NA,NA,NA,rr,0.7666262241591033
NA,93,7,4613716.608,413292.017,0.559,NA,2022-08-06,EVP,35,0.35,NA,NA,NA,NA,NA,rr,0.7775350177926255
NA,94,7,4613498.358,413568.227,0.568,NA,2022-08-06,EVP,28,0.28,NA,NA,NA,NA,NA,rr,0.8170502356619728
NA,95,4,4613739.237,413421.28,0.725,NA,2022-08-10,EVP,40,0.4,NA,NA,NA,NA,NA,rr,0.9017728114275873
NA,96,7,4613627.445,413305.7,0.685,NA,2022-08-06,EVP,31,0.31,NA,NA,NA,NA,NA,rr,0.8304399996675365
NA,97,7,4613785.217,413515.11,0.772,NA,2022-08-10,EVP,29,0.29,NA,NA,NA,NA,NA,rr,0.9543632193001792
NA,99,3,4613647.059,413300.101,0.613,NA,2022-08-06,EVP,31,0.31,NA,NA,NA,NA,NA,rr,0.7807199849157631
NA,102,6,4613430.18,413208.756,0.627,NA,2022-08-06,EVP,23,0.23,Yes,NA,NA,NA,NA,rr,0.8459743924619711
NA,104,6,4613654.941,413293.712,0.652,NA,2022-08-06,EVP,30,0.3,NA,NA,NA,NA,NA,rr,0.8480902315242407
NA,105,6,4613961.5,413705.418,0.635,NA,2022-08-10,EVP,20,0.2,NA,NA,NA,NA,NA,rr,0.8632800111768582
NA,106,5,4613777.919,413522.069,0.718,NA,2022-08-10,EVP,37,0.37,NA,NA,NA,NA,NA,rr,0.9046175989820688
NA,107,8,4613673.27,413386.328,0.678,NA,2022-08-06,EVP,24,0.24,NA,NA,NA,NA,NA,rr,0.8545008195608497
