poly_number,point_number,subclass,northing,easting,elevation,notes,date,type,veg_height_cm,veg_height_m,outside_mask,out_rgb_may,out_lidar_may,out_rgb_aug,out_lidar_aug,site,predicted
NA,2,1,4636922.437,416778.071,0.783,NA,2022-08-24,EVP,156,1.56,NA,NA,NA,NA,NA,wel,0.7818219372188044
NA,3,1,4636979.37,416544.445,1.31,NA,2022-08-24,EVP,126,1.26,NA,NA,NA,NA,NA,wel,1.2836935965947294
NA,4,10,4636933.18,416554.77,1.229,NA,2022-08-24,EVP,44,0.44,NA,NA,NA,NA,NA,wel,1.3788929097859928
NA,6,1,4637343.51,417086.239,1.316,NA,2022-08-07,EVP,62,0.62,NA,NA,NA,NA,NA,wel,NA
NA,8,10,4637198.851,417033.29,1.493,NA,2022-08-07,EVP,16,0.16,NA,NA,NA,NA,NA,wel,NA
NA,10,1,4637054.216,416704.921,1.304,NA,2022-08-24,EVP,59,0.59,NA,NA,NA,NA,NA,wel,1.3270460004698792
NA,11,1,4637274.41,416762.536,1.287,NA,2022-08-24,EVP,72,0.72,NA,NA,NA,NA,NA,wel,1.412762109715932
NA,13,1,4636979.35,416552.539,1.209,NA,2022-08-24,EVP,121,1.21,NA,NA,NA,NA,NA,wel,1.2599400996732095
NA,15,1,4637016.153,416725.187,1.416,NA,2022-08-24,EVP,94,0.94,NA,NA,NA,NA,NA,wel,1.486758947181553
NA,16,3,4637121.674,416861.86,1.554,NA,2022-08-24,EVP,12,0.12,NA,NA,NA,NA,NA,wel,1.5550739301796344
NA,18,1,4637053.988,416581.132,1.192,NA,2022-08-24,EVP,174,1.74,NA,NA,NA,NA,NA,wel,1.2343952080767395
NA,19,3,4636980.748,416836.408,1.376,NA,2022-08-24,EVP,24,0.24,NA,NA,NA,NA,NA,wel,1.3921712474149623
NA,20,1,4637425.806,417163.474,0.47,NA,2022-08-07,EVP,132,1.32,NA,NA,NA,NA,NA,wel,NA
NA,21,3,4637100.336,416775.849,1.438,NA,2022-08-24,EVP,37,0.37,NA,NA,NA,NA,NA,wel,1.4694024164672053
NA,22,10,4637140.241,416785.037,1.378,NA,2022-08-24,EVP,15,0.15,NA,NA,NA,NA,NA,wel,1.4103336035819911
NA,23,1,4636995.759,416849.834,1.28,NA,2022-08-24,EVP,117,1.17,NA,NA,NA,NA,NA,wel,1.4350034825261189
NA,24,9,4637297.132,417004.283,1.915,NA,2022-08-07,EVP,79,0.79,NA,NA,NA,NA,NA,wel,NA
NA,26,1,4637107.068,417035.067,1.135,NA,2022-08-07,EVP,54,0.54,NA,NA,NA,NA,NA,wel,NA
NA,27,3,4637067.243,416748.4,1.392,NA,2022-08-24,EVP,23,0.23,NA,NA,NA,NA,NA,wel,1.4355241360411546
NA,28,3,4637278.446,417305.691,1.729,NA,2022-08-07,EVP,27,0.27,NA,NA,NA,NA,NA,wel,NA
NA,29,3,4637248.619,416745.249,1.321,NA,2022-08-24,EVP,37,0.37,NA,NA,NA,NA,NA,wel,1.3650943437234342
NA,30,1,4637206.923,417197.274,0.956,NA,2022-08-07,EVP,73,0.73,NA,NA,NA,NA,NA,wel,NA
NA,31,10,4637362.082,416807.427,1.298,NA,2022-08-24,EVP,35,0.35,Yes,NA,NA,NA,NA,wel,1.3624533046994125
NA,33,1,4636995.337,416853.012,1.063,NA,2022-08-24,EVP,189,1.89,NA,NA,NA,NA,NA,wel,1.1247658456475325
NA,34,1,4637173.937,417097.28,1.21,NA,2022-08-07,EVP,135,1.35,NA,NA,NA,NA,NA,wel,NA
NA,35,10,4636954.597,416871.835,1.586,NA,2022-08-24,EVP,18,0.18,NA,NA,NA,NA,NA,wel,1.6480780815841032
NA,36,3,4637455.196,417267.729,1.408,NA,2022-08-07,EVP,21,0.21,NA,NA,NA,NA,NA,wel,NA
NA,37,4,4637266.38,417163.541,1.505,NA,2022-08-07,EVP,21,0.21,NA,NA,NA,NA,NA,wel,NA
NA,38,3,4637026.411,416752.03,1.213,NA,2022-08-24,EVP,41,0.41,NA,NA,NA,NA,NA,wel,1.404389559896683
NA,39,3,4637409.1,417009.242,1.469,NA,2022-08-07,EVP,29,0.29,NA,NA,NA,NA,NA,wel,NA
NA,41,10,4637359.155,416852.397,1.25,NA,2022-08-24,EVP,32,0.32,NA,NA,NA,NA,NA,wel,1.2589086724451148
NA,43,3,4636900.256,416604.977,1.207,NA,2022-08-24,EVP,38,0.38,NA,NA,NA,NA,NA,wel,1.182489288263041
NA,44,3,4637047.224,416785.323,1.471,NA,2022-08-24,EVP,23,0.23,NA,NA,NA,NA,NA,wel,1.501326215732173
NA,45,3,4637197.318,417158.741,1.517,NA,2022-08-07,EVP,16,0.16,NA,NA,NA,NA,NA,wel,NA
NA,46,3,4637109.688,416892.529,1.49,NA,2022-08-24,EVP,22,0.22,NA,NA,NA,NA,NA,wel,1.5818123670576634
NA,49,1,4636887.761,416737.567,0.969,NA,2022-08-24,EVP,114,1.14,NA,NA,NA,NA,NA,wel,0.9724394601446023
NA,52,3,4637373.833,417045.896,1.462,NA,2022-08-07,EVP,32,0.32,NA,NA,NA,NA,NA,wel,NA
NA,57,3,4637114.804,417170.314,1.703,NA,2022-08-07,EVP,28,0.28,NA,NA,NA,NA,NA,wel,NA
NA,60,4,4637389.765,417132.377,1.453,NA,2022-08-07,EVP,26,0.26,NA,NA,NA,NA,NA,wel,NA
NA,61,4,4637372.795,417118.257,1.443,NA,2022-08-07,EVP,28,0.28,NA,NA,NA,NA,NA,wel,NA
NA,62,5,4637261.341,417010.724,1.544,NA,2022-08-07,EVP,62,0.62,NA,NA,NA,NA,NA,wel,NA
NA,63,8,4637136.711,416976.896,1.645,NA,2022-08-07,EVP,34,0.34,NA,NA,NA,NA,NA,wel,1.693759374458831
NA,64,4,4636923.62,416814.648,1.391,NA,2022-08-24,EVP,37,0.37,NA,NA,NA,NA,NA,wel,1.4245375782985643
NA,65,3,4637377.925,417097.125,1.52,NA,2022-08-07,EVP,20,0.2,NA,NA,NA,NA,NA,wel,NA
NA,67,3,4637179.939,417184.503,1.5,NA,2022-08-07,EVP,30,0.3,NA,NA,NA,NA,NA,wel,NA
NA,68,6,4637057.497,416804.721,1.651,NA,2022-08-24,EVP,10,0.1,NA,NA,NA,NA,NA,wel,1.7514224754700596
NA,69,4,4637156.854,417140.281,1.6,NA,2022-08-07,EVP,23,0.23,NA,NA,NA,NA,NA,wel,NA
NA,70,N/A,4637077.766,417177.158,1.81,NA,2022-08-07,EVP,18,0.18,NA,NA,NA,NA,NA,wel,NA
NA,71,5,4636929.636,416725.158,1.511,NA,2022-08-24,EVP,27,0.27,NA,NA,NA,NA,NA,wel,1.5565029401661012
NA,72,3,4637302.735,417009.044,1.708,NA,2022-08-07,EVP,41,0.41,NA,NA,NA,NA,NA,wel,NA
NA,74,5,4637468.401,416913.504,1.654,NA,2022-08-24,EVP,58,0.58,Yes,NA,NA,NA,NA,wel,1.7048504797921173
NA,75,6,4637187.345,416875.787,1.508,NA,2022-08-24,EVP,15,0.15,NA,NA,NA,NA,NA,wel,1.6098569535795366
NA,77,1,4637194.447,416784.408,1.154,NA,2022-08-24,EVP,63,0.63,NA,NA,NA,NA,NA,wel,1.1548357605706034
NA,78,5,4637231.89,417176.021,1.561,NA,2022-08-07,EVP,25,0.25,NA,NA,NA,NA,NA,wel,NA
NA,80,1,4637211.791,416715.03,1.136,NA,2022-08-24,EVP,147,1.47,NA,NA,NA,NA,NA,wel,1.122747913428919
NA,81,6,4637410.677,417094.938,1.487,NA,2022-08-07,EVP,26,0.26,NA,NA,NA,NA,NA,wel,NA
NA,83,3,4636957.447,416777.56,1.392,NA,2022-08-24,EVP,18,0.18,NA,NA,NA,NA,NA,wel,1.429733034748851
NA,84,6,4637423.397,417056.929,1.502,NA,2022-08-07,EVP,18,0.18,NA,NA,NA,NA,NA,wel,NA
