Site,Day,Month,Year,PolygonNum,PointNum,Sub&Att,Subclass,Attributes,SampFormat,Northing,Easting,Altitude,Notes
OTH,6,Jul,2021,1,1,01ag,01,ag,Line,4736938.122,347707.056,1.05,
OTH,6,Jul,2021,1,2,01ag,01,ag,Line,4736932.572,347710.174,0.889,
OTH,6,Jul,2021,3,4,02a,02,a,Line,4736929.781,347709.035,1.172,
OTH,6,Jul,2021,4,5,04a,04,a,Line,4736928.513,347707.418,1.219,
OTH,6,Jul,2021,4,6,04a,04,a,Line,4736926.536,347704.815,1.344,
OTH,6,Jul,2021,5,7,06a,06,a,Line,4736926.059,347703.911,1.373,
OTH,6,Jul,2021,5,8,06a,06,a,Line,4736912.134,347695.666,1.462,
OTH,6,Jul,2021,6,9,04a,04,a,Line,4736910.071,347695.046,1.438,
OTH,6,Jul,2021,6,10,04a,04,a,Line,4736907.467,347693.791,1.436,
OTH,6,Jul,2021,7,11,06a,06,a,Line,4736905.538,347692.816,1.424,
OTH,6,Jul,2021,7,12,06a,06,a,Line,4736898.978,347689.786,1.42,
OTH,6,Jul,2021,9,14,06a,06,a,Line,4736895.253,347687.834,1.405,
OTH,6,Jul,2021,9,15,06a,06,a,Line,4736890.725,347685.15,1.428,
OTH,6,Jul,2021,11,17,05a,05,a,Line,4736887.243,347682.746,1.437,
OTH,6,Jul,2021,11,18,05a,05,a,Line,4736885.264,347681.473,1.46,
OTH,6,Jul,2021,12,19,04a,04,a,Line,4736883.627,347680.27,1.447,
OTH,6,Jul,2021,12,20,04a,04,a,Line,4736880.108,347677.959,1.446,
OTH,6,Jul,2021,14,22,04a,04,a,Line,4736877.182,347675.467,1.412,
OTH,6,Jul,2021,14,23,04a,04,a,Line,4736874.433,347672.628,1.396,
OTH,6,Jul,2021,15,24,06a,06,a,Line,4736872.781,347671.183,1.325,
OTH,6,Jul,2021,15,25,06a,06,a,Line,4736873.603,347669.602,1.38,
OTH,6,Jul,2021,16,26,09a,09,a,Line,4736874.778,347667.844,1.362,
OTH,6,Jul,2021,16,27,09a,09,a,Line,4736876.113,347666.485,1.437,
OTH,6,Jul,2021,16,28,09a,09,a,Line,4736879.814,347667.715,1.438,
OTH,6,Jul,2021,16,29,09a,09,a,Line,4736880.595,347666.451,1.412,
OTH,6,Jul,2021,17,30,01ag,01,ag,Line,4736881.583,347665.505,0.82,
OTH,6,Jul,2021,17,31,01ag,01,ag,Line,4736899.063,347678.156,1.046,
OTH,6,Jul,2021,19,33,10a,10,a,Line,4736910.91,347755.225,1.399,
OTH,6,Jul,2021,19,34,10a,10,a,Line,4736907.88,347771.066,1.407,
OTH,6,Jul,2021,21,36,11af,11,af,Line,4737259.18,347580.867,1.202,
OTH,6,Jul,2021,21,37,11af,11,af,Line,4737257.124,347583.219,1.182,
OTH,6,Jul,2021,24,40,11a,11,a,Line,4737251.429,347588.107,1.214,
OTH,6,Jul,2021,24,41,11a,11,a,Line,4737247.937,347592.509,1.202,
OTH,6,Jul,2021,26,43,04a,04,a,Line,4737229.586,347611.897,1.318,
OTH,6,Jul,2021,26,44,04a,04,a,Line,4737224.585,347607.669,1.283,
OTH,6,Jul,2021,27,45,05a,05,a,Line,4737223.453,347606.754,1.314,
OTH,6,Jul,2021,27,46,05a,05,a,Line,4737232.169,347595.825,1.363,
OTH,6,Jul,2021,28,47,33,33,,Line,4737233.419,347596.817,1.319,
OTH,6,Jul,2021,28,48,33,33,,Line,4737234.798,347594.624,1.325,
OTH,6,Jul,2021,31,51,06a,06,a,Line,4737273.904,347544.518,1.375,
OTH,6,Jul,2021,31,52,06a,06,a,Line,4737275.677,347545.965,1.372,
OTH,6,Jul,2021,34,55,10a,10,a,Line,4737371.846,347318.864,1.36,
OTH,6,Jul,2021,34,56,10a,10,a,Line,4737369.883,347319.954,1.334,
OTH,6,Jul,2021,35,57,06a,06,a,Line,4737368.441,347320.599,1.314,
OTH,6,Jul,2021,35,58,06a,06,a,Line,4737366.611,347321.357,1.31,
OTH,6,Jul,2021,37,60,06a,06,a,Line,4737363.535,347322.865,1.299,
OTH,6,Jul,2021,37,61,06a,06,a,Line,4737360.341,347324.359,1.316,
OTH,6,Jul,2021,40,64,12a,12,a,Line,4737398.835,347339.87,1.435,
OTH,6,Jul,2021,40,65,12a,12,a,Line,4737400.567,347346.822,1.448,
OTH,6,Jul,2021,40,66,12a,12,a,Line,4737399.806,347356.409,1.414,
OTH,6,Jul,2021,40,67,12a,12,a,Line,4737395.847,347365.864,1.619,
