Site,Day,Month,Year,PolygonNum,PointNum,Sub&Att,Subclass,Attributes,SampFormat,Northing,Easting,Altitude,Notes
OTH,14,Oct,2018,3,9,01ag,1,ag,Line,4737142.99,347669.529,0.817,
OTH,14,Oct,2018,3,10,01ag,1,ag,Line,4737140.927,347668.307,0.82,
OTH,14,Oct,2018,5,12,06a,6,a,Line,4737136.489,347685.489,1.397,
OTH,14,Oct,2018,5,13,06a,6,a,Line,4737142.124,347677.821,1.362,
OTH,14,Oct,2018,6,14,02a,2,a,Line,4737143.087,347676.048,1.318,
OTH,14,Oct,2018,6,15,02a,2,a,Line,4737143.742,347675.104,1.303,
OTH,14,Oct,2018,9,18,01bg,1,bg,Line,4737145.86,347670.816,0.721,
OTH,14,Oct,2018,9,19,01bg,1,bg,Line,4737146.434,347669.849,0.645,
OTH,14,Oct,2018,10,20,22r,22,r,Line,4737146.83,347669.101,0.391,
OTH,14,Oct,2018,10,21,22r,22,r,Line,4737145.685,347668.437,0.408,
OTH,14,Oct,2018,11,22,01g,1,g,Line,4737147.392,347666.902,-0.118,
OTH,14,Oct,2018,11,23,01g,1,g,Line,4737144.912,347666.442,0.085,
OTH,14,Oct,2018,11,24,01g,1,g,Line,4737141.797,347664.707,0.028,
OTH,14,Oct,2018,11,25,01g,1,g,Line,4737140.83,347666.255,0.732,
OTH,14,Oct,2018,11,26,01g,1,g,Line,4737139.932,347667.192,0.929,
OTH,14,Oct,2018,15,30,02a,2,a,Line,4737136.225,347673.093,1.227,
OTH,14,Oct,2018,15,31,02a,2,a,Line,4737135.76,347673.704,1.244,
OTH,14,Oct,2018,16,32,06a,6,a,Line,4737135.144,347675.323,1.387,
OTH,14,Oct,2018,16,33,06a,6,a,Line,4737133.799,347675.426,1.396,
OTH,14,Oct,2018,17,34,05a,5,a,Line,4737126.39,347677.195,1.398,
OTH,14,Oct,2018,17,35,05a,5,a,Line,4737124.727,347677.697,1.412,
OTH,14,Oct,2018,22,52,06a,6,a,Line,4737118.382,347675.723,1.421,
OTH,14,Oct,2018,22,53,06a,6,a,Line,4737113.249,347676.096,1.384,
OTH,14,Oct,2018,24,55,03a,3,a,Line,4737110.378,347677.311,1.333,
OTH,14,Oct,2018,24,56,03a,3,a,Line,4737105.923,347674.303,1.324,
OTH,14,Oct,2018,25,57,04a,4,a,Line,4737104.774,347675.523,1.379,
OTH,14,Oct,2018,25,58,04a,4,a,Line,4737099.427,347671.634,1.373,
OTH,14,Oct,2018,27,60,04a,4,a,Line,4737101.275,347669.601,1.37,
OTH,14,Oct,2018,27,61,04a,4,a,Line,4737102.82,347668.168,1.38,
OTH,14,Oct,2018,28,62,06a,6,a,Line,4737104.078,347666.965,1.402,
OTH,14,Oct,2018,28,63,06a,6,a,Line,4737112.322,347659.816,1.396,
OTH,14,Oct,2018,29,64,01a,1,a,Line,4737113.545,347658.677,1.195,
OTH,14,Oct,2018,29,65,01a,1,a,Line,4737113.912,347658.341,1.171,
OTH,14,Oct,2018,30,66,01ag,1,ag,Line,4737114.576,347657.249,1.043,
OTH,14,Oct,2018,30,67,01ag,1,ag,Line,4737115.152,347656.387,0.754,
OTH,14,Oct,2018,30,68,01ag,1,ag,Line,4737113.681,347655.311,0.869,
OTH,14,Oct,2018,30,69,01ag,1,ag,Line,4737113.909,347654.305,0.437,
OTH,14,Oct,2018,33,72,02a,2,a,Line,4737105.52,347650.344,1.349,
OTH,14,Oct,2018,33,73,02a,2,a,Line,4737100.489,347644.418,1.347,
OTH,14,Oct,2018,34,74,06a,6,a,Line,4737099.211,347644.652,1.363,
OTH,14,Oct,2018,34,75,06a,6,a,Line,4737098.677,347644.656,1.371,
