Site,Day,Month,Year,PolygonNum,PointNum,Sub&Att,Subclass,Attributes,SampFormat,Northing,Easting,Altitude,Notes
PEG,,,,2,3,05a,05,a,Line,4672431.596,357584.401,1.431,
PEG,,,,2,4,05a,05,a,Line,4672427.402,357584.423,1.406,
PEG,,,,3,5,06a,06,a,Line,4672425.442,357584.483,1.399,
PEG,,,,3,6,06a,06,a,Line,4672422.195,357584.801,1.331,
PEG,,,,7,19,01a,01,a,Line,4672415.582,357590.458,0.903,
PEG,,,,7,20,01a,01,a,Line,4672415.222,357585.398,0.932,
PEG,,,,7,21,01a,01,a,Line,4672415.789,357578.877,0.954,
PEG,,,,8,22,13a,13,a,Line,4672411.869,357578.688,1.195,
PEG,,,,8,23,13a,13,a,Line,4672411.501,357585.315,1.182,
PEG,,,,8,24,13a,13,a,Line,4672415.057,357590.246,1.075,
PEG,,,,7,25,06a,06,a,Line,4672411.383,357577.109,1.23,
PEG,,,,7,26,06a,06,a,Line,4672411.671,357550.667,1.302,
PEG,,,,8,27,05a,05,a,Line,4672411.772,357548.631,1.282,
PEG,,,,8,28,05a,05,a,Line,4672411.746,357546.211,1.317,
PEG,,,,9,29,06a,06,a,Line,4672411.682,357544.15,1.306,
PEG,,,,9,30,06a,06,a,Line,4672412.1,357520.721,1.379,
PEG,,,,10,31,12a,12,a,Line,4672412.227,357518.72,1.33,
PEG,,,,10,32,12a,12,a,Line,4672413.256,357505.933,1.616,
PEG,,,,10,33,12a,12,a,Line,4672433.601,357507.082,1.508,
PEG,,,,10,34,12a,12,a,Line,4672434.138,357513.296,1.44,
PEG,,,,11,35,06a,06,a,Line,4672434.035,357515.343,1.424,
PEG,,,,11,36,06a,06,a,Line,4672434.062,357518.895,1.407,
PEG,,,,12,37,13a,13,a,Line,4672434.225,357519.936,1.414,
PEG,,,,12,38,13a,13,a,Line,4672440.934,357517.753,1.402,
PEG,,,,12,39,13a,13,a,Line,4672441.288,357519.244,1.278,
PEG,,,,12,40,13a,13,a,Line,4672434.63,357521.984,1.224,
PEG,,,,12,41,13a,13,a,Line,4672428.714,357524.392,1.176,
PEG,,,,12,42,13a,13,a,Line,4672428.204,357523.572,1.303,
PEG,,,,13,43,01a,01,a,Line,4672428.364,357525.663,1.086,
PEG,,,,13,44,01a,01,a,Line,4672434.776,357523.331,1.145,
PEG,,,,13,45,01a,01,a,Line,4672440.12,357521.079,1.184,
PEG,,,,14,46,05a,05,a,Line,4672434.925,357524.272,1.428,
PEG,,,,15,47,06a,06,a,Line,4672435.16,357526.217,1.408,
PEG,,,,15,48,06a,06,a,Line,4672440.902,357575.954,1.43,
PEG,,,,15,49,06a,06,a,Line,4672442.922,357591.817,1.41,
PEG,,,,15,50,06a,06,a,Line,4672449.684,357591.803,1.431,
PEG,,,,16,51,11a,11,a,Line,4672451.744,357591.811,1.628,
PEG,,,,16,52,11a,11,a,Line,4672454.2,357597.538,1.702,
PEG,,,,17,53,12a,12,a,Line,4672454.951,357599.538,1.79,
PEG,,,,17,54,12a,12,a,Line,4672463.223,357616.045,1.731,
PEG,,,,17,55,12a,12,a,Line,4672462.997,357617.337,1.464,
PEG,,,,18,56,05a,05,a,Line,4672462.289,357618.169,1.32,
PEG,,,,18,57,05a,05,a,Line,4672461.392,357619.175,1.317,
PEG,,,,19,58,04a,04,a,Line,4672460.274,357620.566,1.294,
PEG,,,,19,59,04a,04,a,Line,4672453.367,357628.806,1.234,
PEG,,,,21,66,04a,04,a,Line,4672450.632,357632.046,1.262,
PEG,,,,21,67,04a,04,a,Line,4672449.591,357633.361,1.309,
PEG,,,,22,68,06a,06,a,Line,4672448.492,357634.721,1.302,
PEG,,,,22,69,06a,06,a,Line,4672437.847,357647.78,1.359,
PEG,,,,23,70,03a,03,a,Line,4672436.471,357649.376,1.38,
PEG,,,,23,71,03a,03,a,Line,4672435.338,357650.734,1.369,
PEG,,,,24,72,05a,05,a,Line,4672434.248,357652.025,1.389,
PEG,,,,24,73,05a,05,a,Line,4672433.699,357652.641,1.386,
PEG,,,,25,74,06a,06,a,Line,4672432.611,357653.948,1.364,
PEG,,,,25,75,06a,06,a,Line,4672427.401,357660.51,1.386,
PEG,,,,26,76,11a,11,a,Line,4672426.047,357662.233,1.493,
PEG,,,,26,77,11a,11,a,Line,4672425.52,357663.202,1.54,
PEG,,,,26,78,11a,11,a,Line,4672462.013,357664.268,1.475,
PEG,,,,27,79,06a,06,a,Line,4672464.344,357663.546,1.34,
PEG,,,,27,80,06a,06,a,Line,4672480.264,357663.462,1.342,
PEG,,,,29,85,21jn,21,jn,Line,4672483.115,357664.431,0.555,
PEG,,,,29,86,21jn,21,jn,Line,4672482.956,357651.257,0.829,
PEG,,,,30,87,01a,01,a,Line,4672483.779,357651.37,1.106,
PEG,,,,30,88,01a,01,a,Line,4672484.074,357665.175,0.917,
PEG,,,,31,89,03a,03,a,Line,4672485.391,357663.316,1.186,
PEG,,,,31,90,03a,03,a,Line,4672492.474,357663.786,1.176,
PEG,,,,32,91,06a,06,a,Line,4672494.701,357663.778,1.261,
PEG,,,,32,92,06a,06,a,Line,4672495.455,357663.765,1.218,
PEG,,,,33,93,03a,03,a,Line,4672497.152,357663.848,1.14,
PEG,,,,34,94,10a,10,a,Line,4672499.66,357663.59,1.406,
PEG,,,,34,95,10a,10,a,Line,4672501.205,357663.742,1.398,
PEG,,,,35,96,11a,11,a,Line,4672503.118,357663.517,1.419,
PEG,,,,35,97,11a,11,a,Line,4672503.21,357663.569,1.418,
PEG,,,,35,98,11a,11,a,Line,4672503.1,357665.307,1.413,
PEG,,,,36,99,06a,06,a,Line,4672503.253,357667.321,1.402,
PEG,,,,36,100,06a,06,a,Line,4672503.538,357676.213,1.418,
PEG,,,,37,101,05a,05,a,Line,4672503.786,357678.319,1.403,
PEG,,,,37,102,05a,05,a,Line,4672503.819,357679.523,1.382,
PEG,,,,38,103,03a,03,a,Line,4672504.116,357681.673,1.378,
PEG,,,,38,104,03a,03,a,Line,4672504.041,357706.056,1.357,
PEG,,,,39,105,04a,04,a,Line,4672503.93,357708.206,1.351,
PEG,,,,39,106,04a,04,a,Line,4672504.452,357713.757,1.286,
PEG,,,,40,107,03a,03,a,Line,4672504.522,357716.419,1.234,
PEG,,,,40,108,03a,03,a,Line,4672504.465,357723.078,1.164,
PEG,,,,50,109,06a,06,a,Line,4672502.697,357724.459,1.128,
PEG,,,,50,110,06a,06,a,Line,4672496.474,357728.838,1.274,
PEG,,,,51,111,03a,03,a,Line,4672495.232,357730.003,1.292,
PEG,,,,51,112,03a,03,a,Line,4672493.439,357731.587,1.376,
PEG,,,,52,113,10a,10,a,Line,4672492.258,357732.567,1.571,
PEG,,,,52,114,10a,10,a,Line,4672491.197,357733.71,1.576,
PEG,,,,53,115,03a,03,a,Line,4672489.754,357734.7,1.381,
