Site,Day,Month,Year,PolygonNum,PointNum,Sub&Att,Subclass,Attributes,SampFormat,Northing,Easting,Altitude,Notes
RR,14,Aug,2023,02,2,06a,06,a,Line,4613518.623,413784.098,0.6,
RR,14,Aug,2023,02,3,06a,06,a,Line,4613520.767,413789.297,0.677,
RR,14,Aug,2023,03,4,05a,05,a,Line,4613519.422,413771.076,0.538,
RR,14,Aug,2023,03,5,05a,05,a,Line,4613522.809,413768.644,0.57,
RR,14,Aug,2023,04,6,05a,05,a,Line,4613522.252,413760.908,0.555,
RR,14,Aug,2023,04,7,05a,05,a,Line,4613520.686,413756.538,0.557,
RR,14,Aug,2023,05,8,06a,06,a,Line,4613524.494,413627.731,0.908,
RR,14,Aug,2023,05,9,06a,06,a,Line,4613523.066,413631.798,0.897,
RR,14,Aug,2023,06,10,10a,10,a,Line,4613464.457,413397.218,0.688,Sandy Soil
RR,14,Aug,2023,06,11,10a,10,a,Line,4613465.072,413395.503,0.691,Sandy Soil
RR,14,Aug,2023,07,12,06a,06,a,Line,4613473.461,413370.423,0.631,
RR,14,Aug,2023,07,13,06a,06,a,Line,4613474.929,413375.106,0.645,
RR,14,Aug,2023,08,14,06a,06,a,Line,4613449.839,413305.263,0.558,
RR,14,Aug,2023,08,15,06a,06,a,Line,4613445.691,413305.457,0.556,
RR,14,Aug,2023,09,16,06a,06,a,Line,4613494.777,413302.194,0.608,only D. spicata
RR,14,Aug,2023,09,17,06a,06,a,Line,4613495.897,413296.487,0.621,only D. spicata
RR,14,Aug,2023,10,18,06a,06,a,Line,4613500.382,413286.263,0.549,only D. spicata
RR,14,Aug,2023,10,19,06a,06,a,Line,4613496.724,413284.913,0.569,only D. spicata
RR,14,Aug,2023,11,20,08a,08,a,Line,4613524.387,413281.628,0.652,
RR,14,Aug,2023,11,21,08a,08,a,Line,4613519.02,413279.389,0.624,
RR,14,Aug,2023,13,27,04a,04,a,Line,4613518.757,413256.99,0.618,
RR,14,Aug,2023,13,28,04a,04,a,Line,4613521.477,413255.839,0.592,
RR,14,Aug,2023,14,29,04a,04,a,Line,4613526.17,413253.607,0.651,
RR,14,Aug,2023,14,30,04a,04,a,Line,4613525.994,413251.038,0.642,
RR,14,Aug,2023,16,32,05a,05,a,Line,4613602.224,413442.841,0.625,
RR,14,Aug,2023,16,33,05a,05,a,Line,4613605.239,413437.069,0.599,
RR,14,Aug,2023,17,34,09a,09,a,Line,4613606.013,413456.601,0.746,
RR,14,Aug,2023,17,35,09a,09,a,Line,4613611.862,413439.58,0.719,
RR,14,Aug,2023,18,36,06a,06,a,Line,4613608.092,413434.499,0.617,
RR,14,Aug,2023,18,37,06a,06,a,Line,4613609.836,413430.793,0.584,
RR,14,Aug,2023,19,38,08a,08,a,Line,4613623.107,413411.425,0.696,
RR,14,Aug,2023,19,39,08a,08,a,Line,4613624.363,413401.384,0.678,
RR,14,Aug,2023,20,40,03b,03,b,Line,4613678.962,413417.836,0.587,
RR,14,Aug,2023,20,41,03b,03,b,Line,4613685.023,413417.533,0.565,
RR,14,Aug,2023,21,42,03b,03,b,Line,4613684.797,413425.257,0.549,redo
RR,14,Aug,2023,21,43,03b,03,b,Line,4613688.937,413423.445,0.53,
RR,14,Aug,2023,23,45,06a,06,a,Line,4613678.617,413378.145,0.598,
RR,14,Aug,2023,23,46,06a,06,a,Line,4613681.361,413372.122,0.595,
RR,14,Aug,2023,24,47,12a,12,a,Line,4613658.584,413342.448,0.639,Thin phragmites
RR,14,Aug,2023,24,48,12a,12,a,Line,4613654.001,413337.749,0.655,Thin phragmites
RR,14,Aug,2023,25,49,06a,06,a,Line,4613649.903,413291.669,0.626,
RR,14,Aug,2023,25,50,06a,06,a,Line,4613655.916,413297.089,0.626,
RR,14,Aug,2023,26,51,11a,11,a,Line,4613645.461,413257.115,0.586,
RR,14,Aug,2023,26,52,11a,11,a,Line,4613634.8,413256.71,0.584,
RR,14,Aug,2023,27,53,11a,11,a,Line,4613647.4,413256.518,0.554,
RR,14,Aug,2023,27,54,11a,11,a,Line,4613652.829,413255.905,0.582,
RR,14,Aug,2023,28,55,12a,12,a,Line,4613666.559,413239.137,0.718,
RR,14,Aug,2023,28,56,12a,12,a,Line,4613677.179,413240.194,0.686,
RR,14,Aug,2023,29,57,01b,01,b,Line,4613910.19,413671.474,0.278,Dead s. patens
RR,14,Aug,2023,29,58,01b,01,b,Line,4613914.546,413673.819,0.295,Dead s. patens
RR,14,Aug,2023,30,59,33,33,,Line,4613889.983,413674.044,0.39,
RR,14,Aug,2023,30,60,33,33,,Line,4613891.435,413680.172,0.486,
RR,14,Aug,2023,31,61,33,33,,Line,4613885.019,413690.936,0.424,
RR,14,Aug,2023,31,62,33,33,,Line,4613886.157,413695.421,0.474,
RR,14,Aug,2023,32,63,11a,11,a,Line,4613885.882,413704.541,0.459,Wrack under veg
RR,14,Aug,2023,32,64,11a,11,a,Line,4613882.975,413715.099,0.607,Wrack under veg
RR,14,Aug,2023,33,65,01a,01,a,Line,4613880.883,413708.432,0.591,
RR,14,Aug,2023,33,66,01a,01,a,Line,4613880.869,413714.032,0.572,
RR,14,Aug,2023,34,67,03a,03,a,Line,4613875.401,413797.481,0.525,
RR,14,Aug,2023,34,68,03a,03,a,Line,4613857.696,413802.049,0.474,
RR,14,Aug,2023,35,69,03a,03,a,Line,4613846.516,413727.269,0.5,
RR,14,Aug,2023,35,70,03a,03,a,Line,4613820.008,413707.608,0.38,
RR,14,Aug,2023,36,71,03a,03,a,Line,4613804.868,413692.042,0.497,
RR,14,Aug,2023,36,72,03a,03,a,Line,4613762.02,413676.152,0.434,
