Site,Day,Month,Year,PolygonNum,PointNum,Sub&Att,Subclass,Attributes,SampFormat,Northing,Easting,Altitude,Notes
RR,17,Sep,2020,1,2,01af,01,af,Line,4613710.698,413679.905,0.266,flowering
RR,17,Sep,2020,1,3,01af,01,af,Line,4613716.274,413685.399,0.185,flowering
RR,17,Sep,2020,1,4,01af,01,af,Line,4613714.558,413686.839,0.281,not flowering
RR,17,Sep,2020,2,5,03a,03,a,Line,4613713.336,413688.218,0.386,
RR,17,Sep,2020,2,6,03a,03,a,Line,4613712.419,413689.231,0.361,
RR,17,Sep,2020,3,7,03b,03,b,Line,4613711.591,413690.303,0.367,"thinning, water pooling at low tide"
RR,17,Sep,2020,3,8,03b,03,b,Line,4613710.937,413691.563,0.383,"thinning, water pooling at low tide"
RR,17,Sep,2020,4,9,03a,03,a,Line,4613710.152,413692.775,0.388,water not pooling
RR,17,Sep,2020,4,10,03a,03,a,Line,4613709.494,413693.765,0.409,
RR,17,Sep,2020,5,11,02a,02,a,Line,4613708.983,413695.212,0.359,"flowering, water pooling at low tide"
RR,17,Sep,2020,5,12,02a,02,a,Line,4613710.821,413702.544,0.389,"flowering, water pooling at low tide"
RR,17,Sep,2020,6,13,03a,03,a,Line,4613711.033,413704.123,0.463,
RR,17,Sep,2020,6,14,03a,03,a,Line,4613702.657,413705.849,0.498,
RR,17,Sep,2020,8,16,03a,03,a,Line,4613700.694,413704.447,0.489,water not pooling
RR,17,Sep,2020,8,17,03a,03,a,Line,4613696.542,413705.599,0.531,
RR,17,Sep,2020,9,18,03b,03,b,Line,4613695.773,413706.705,0.49,
RR,17,Sep,2020,9,19,03b,03,b,Line,4613694.446,413706.992,0.502,water pooling at low tide
RR,17,Sep,2020,10,20,03a,03,a,Line,4613692.906,413707.191,0.546,
RR,17,Sep,2020,10,21,03a,03,a,Line,4613691.887,413707.271,0.547,
RR,17,Sep,2020,13,36,01aef,01,aef,Line,4613703.142,413737.424,0.369,flowering
RR,17,Sep,2020,13,37,01aef,01,aef,Line,4613709.559,413734.79,0.255,flowering
RR,17,Sep,2020,14,38,01aef,01,aef,Line,4613609.386,413675.105,0.404,flowering
RR,17,Sep,2020,14,39,01aef,01,aef,Line,4613609.494,413672.565,0.3,flowering
RR,17,Sep,2020,14,40,01aef,01,aef,Line,4613612.059,413671.419,0.305,flowering
RR,17,Sep,2020,14,41,01aef,01,aef,Line,4613615.866,413670.937,0.309,flowering
RR,17,Sep,2020,15,42,10a,10,a,Line,4613517.402,413585.822,0.673,mixed with SP / DS with 10% short form. Sand substrate
RR,17,Sep,2020,15,43,10a,10,a,Line,4613514.174,413582.723,0.57,mixed with SP / DS with 10% short form. Sand substrate
RR,17,Sep,2020,15,44,10a,10,a,Line,4613510.636,413585.369,0.63,mixed with SP / DS with 10% short form. Sand substrate
RR,17,Sep,2020,15,45,10a,10,a,Line,4613510.267,413588.017,0.678,mixed with SP / DS with 10% short form. Sand substrate
RR,17,Sep,2020,17,47,10a,10,a,Line,4613507.477,413587.776,0.836,
RR,17,Sep,2020,17,48,10a,10,a,Line,4613500.966,413586.024,0.821,
RR,17,Sep,2020,17,49,10a,10,a,Line,4613490.579,413579.664,0.649,
RR,17,Sep,2020,18,50,02a,02,a,Line,4613489.373,413578.148,0.666,
RR,17,Sep,2020,18,51,02a,02,a,Line,4613482.426,413575.928,0.617,
RR,17,Sep,2020,19,52,11a,11,a,Line,4613804.215,413523.533,0.771,mixed with flowering goldenrod
RR,17,Sep,2020,19,53,11a,11,a,Line,4613801.635,413526.72,0.758,
RR,17,Sep,2020,20,54,06a,06,a,Line,4613800.006,413527.43,0.754,
RR,17,Sep,2020,20,55,06a,06,a,Line,4613798.573,413528.634,0.694,
RR,17,Sep,2020,21,56,07a,07,a,Line,4613797.699,413529.83,0.758,goldenrod partially flowering
RR,17,Sep,2020,21,57,07a,07,a,Line,4613796.439,413531.883,0.731,
RR,17,Sep,2020,22,58,06a,06,a,Line,4613795.463,413533.305,0.745,
RR,17,Sep,2020,22,59,06a,06,a,Line,4613790.608,413540.821,0.692,
RR,17,Sep,2020,23,60,09i,09,i,Line,4613789.508,413542.355,1.039,bushes ~1m tall
RR,17,Sep,2020,23,61,09i,09,i,Line,4613775.473,413524.405,1.098,
RR,17,Sep,2020,23,62,09i,09,i,Line,4613769.928,413504.155,0.947,poison ivy
RR,17,Sep,2020,23,63,09i,09,i,Line,4613765.819,413490.257,0.683,
RR,17,Sep,2020,25,65,04a,04,a,Line,4613769.323,413489.301,0.562,
RR,17,Sep,2020,25,66,04a,04,a,Line,4613777.652,413487.264,0.588,sp is flowering
RR,17,Sep,2020,25,67,04a,04,a,Line,4613778.247,413490.83,0.621,
RR,17,Sep,2020,26,68,12a,12,a,Line,4613779.837,413490.005,0.579,
RR,17,Sep,2020,26,69,12a,12,a,Line,4613792.079,413483.512,0.605,
RR,17,Sep,2020,26,70,12a,12,a,Line,4613784.771,413500.091,0.644,
RR,17,Sep,2020,28,72,04a,04,a,Line,4613781.835,413501.527,0.697,
RR,17,Sep,2020,28,73,04a,04,a,Line,4613781.966,413506.526,0.725,
RR,17,Sep,2020,29,74,07a,07,a,Line,4613782.444,413507.922,0.734,
RR,17,Sep,2020,29,75,07a,07,a,Line,4613792.644,413524.705,0.71,with myrtly and goldenrod
RR,17,Sep,2020,30,76,06a,06,a,Line,4613793.483,413526.518,0.723,
RR,17,Sep,2020,30,77,06a,06,a,Line,4613793.394,413542.203,0.724,
RR,17,Sep,2020,30,78,06a,06,a,Line,4613809.457,413554.006,0.744,
RR,17,Sep,2020,32,80,06a,06,a,Line,4613811.71,413553.33,0.754,
RR,17,Sep,2020,32,81,06a,06,a,Line,4613813.493,413540.303,0.704,
RR,17,Sep,2020,33,82,11a,11,a,Line,4613814.123,413539.239,0.733,with goldenrod
RR,17,Sep,2020,33,83,11a,11,a,Line,4613809.854,413531.389,0.724,
RR,17,Sep,2020,34,84,04a,04,a,Line,4613755.233,413478.409,0.586,
RR,17,Sep,2020,34,85,04a,04,a,Line,4613748.863,413470.797,0.545,
RR,17,Sep,2020,35,86,01b,01,b,Line,4613747.44,413470.034,0.495,stunted
RR,17,Sep,2020,35,87,01b,01,b,Line,4613740.905,413472.121,0.411,stunted
