Site,Day,Month,Year,PolygonNum,PointNum,Sub&Att,Subclass,Attributes,SampFormat,Northing,Easting,Altitude,Notes
RR,14,Aug,2019,1,1,31isk,31,isk,Line,4613427.522,413588.122,1.19,
RR,14,Aug,2019,1,2,31isk,31,isk,Line,4613460.055,413585.505,0.916,
RR,14,Aug,2019,4,6,09b,09,b,Line,4613460.711,413574.866,1.182,
RR,14,Aug,2019,4,7,09b,09,b,Line,4613461.051,413570.509,0.912,
RR,14,Aug,2019,7,10,03a,03,a,Line,4613458.688,413564.237,0.527,
RR,14,Aug,2019,7,11,03a,03,a,Line,4613450.935,413563.943,0.524,
RR,14,Aug,2019,8,12,04a,04,a,Line,4613448.923,413564.108,0.599,
RR,14,Aug,2019,8,13,04a,04,a,Line,4613441.51,413564.527,0.635,
RR,14,Aug,2019,9,14,06a,06,a,Line,4613439.611,413564.334,0.655,
RR,14,Aug,2019,9,15,06a,06,a,Line,4613432.229,413564.023,0.769,
RR,14,Aug,2019,10,16,09b,09,b,Line,4613430.321,413564.164,0.976,
RR,14,Aug,2019,10,17,09b,09,b,Line,4613430.925,413559.449,0.987,
RR,14,Aug,2019,12,19,06a,06,a,Line,4613435.37,413560.397,0.649,
RR,14,Aug,2019,12,20,06a,06,a,Line,4613437.829,413560.371,0.569,
RR,14,Aug,2019,13,21,04a,04,a,Line,4613439.857,413560.247,0.621,
RR,14,Aug,2019,13,22,04a,04,a,Line,4613440.794,413560.261,0.558,
RR,14,Aug,2019,14,23,03a,03,a,Line,4613442.809,413560.029,0.511,
RR,14,Aug,2019,14,24,03a,03,a,Line,4613444.884,413559.152,0.505,
RR,14,Aug,2019,15,25,04a,04,a,Line,4613446.955,413558.711,0.507,
RR,14,Aug,2019,15,26,04a,04,a,Line,4613447.842,413558.352,0.507,
RR,14,Aug,2019,16,27,03b,03,b,Line,4613449.917,413557.878,0.478,
RR,14,Aug,2019,16,28,03b,03,b,Line,4613455.77,413555.974,0.479,
RR,14,Aug,2019,17,29,03a,03,a,Line,4613459.149,413554.119,0.444,
RR,14,Aug,2019,17,30,03a,03,a,Line,4613479.392,413544.594,0.453,
RR,14,Aug,2019,19,32,9,9,,Line,4613481.856,413543.116,0.574,
RR,14,Aug,2019,19,33,9,9,,Line,4613480.366,413535.939,0.652,
RR,14,Aug,2019,19,34,9,9,,Line,4613473.032,413525.117,0.685,
RR,14,Aug,2019,19,35,9,9,,Line,4613471.967,413520.871,0.624,
RR,14,Aug,2019,19,36,9,9,,Line,4613474.982,413517.602,0.641,
RR,14,Aug,2019,19,37,9,9,,Line,4613482.953,413515.235,0.701,
RR,14,Aug,2019,19,38,9,9,,Line,4613490.489,413512.568,0.785,
RR,14,Aug,2019,19,39,9,9,,Line,4613500.396,413508.613,0.714,
RR,14,Aug,2019,19,40,9,9,,Line,4613510.406,413510.798,0.74,
RR,14,Aug,2019,19,41,9,9,,Line,4613516.958,413516.194,0.732,
RR,14,Aug,2019,19,42,9,9,,Line,4613520.478,413519.856,0.66,
RR,14,Aug,2019,19,43,9,9,,Line,4613523.567,413526.323,0.695,
RR,14,Aug,2019,19,44,9,9,,Line,4613526.895,413534.731,0.632,
RR,14,Aug,2019,19,45,9,9,,Line,4613530.283,413543.808,0.692,
RR,14,Aug,2019,19,46,9,9,,Line,4613531.876,413548.722,0.619,
RR,14,Aug,2019,19,47,9,9,,Line,4613531.02,413553.495,0.656,
RR,14,Aug,2019,19,48,9,9,,Line,4613529.625,413556.87,0.666,
RR,14,Aug,2019,19,49,9,9,,Line,4613527.27,413559.859,0.681,
RR,14,Aug,2019,19,50,9,9,,Line,4613520.742,413563.865,0.658,
RR,14,Aug,2019,19,51,9,9,,Line,4613514.76,413564.806,0.669,
RR,14,Aug,2019,19,52,9,9,,Line,4613505.837,413565.03,0.636,
RR,14,Aug,2019,19,53,9,9,,Line,4613486.942,413549.671,0.648,
RR,14,Aug,2019,19,54,9,9,,Line,4613482.569,413544.558,0.665,
RR,14,Aug,2019,20,55,03a,03,a,Line,4613478.738,413539.889,0.576,
RR,14,Aug,2019,20,56,03a,03,a,Line,4613470.689,413535.195,0.506,
RR,14,Aug,2019,22,58,08b,08,b,Line,4613466.825,413533.492,0.567,
RR,14,Aug,2019,22,59,08b,08,b,Line,4613457.497,413529.825,0.536,
RR,14,Aug,2019,23,60,05a,05,a,Line,4613455.61,413529.906,0.595,
RR,14,Aug,2019,23,61,05a,05,a,Line,4613453.773,413530.042,0.773,
RR,14,Aug,2019,24,62,09a,09,a,Line,4613451.806,413530.435,0.831,
RR,14,Aug,2019,24,63,09a,09,a,Line,4613451.573,413529.582,0.827,
RR,14,Aug,2019,24,64,09a,09,a,Line,4613451.149,413528.122,0.722,
RR,14,Aug,2019,24,65,09a,09,a,Line,4613451.04,413528.075,0.723,
RR,14,Aug,2019,27,68,08b,08,b,Line,4613457.495,413528.824,0.598,
RR,14,Aug,2019,27,69,08b,08,b,Line,4613465.753,413530.319,0.609,
RR,14,Aug,2019,28,70,03a,03,a,Line,4613467.74,413530.594,0.504,
RR,14,Aug,2019,28,71,03a,03,a,Line,4613473.946,413529.973,0.516,
RR,14,Aug,2019,33,91,01ae,01,ae,Line,4613555.502,413579.463,0.424,
RR,14,Aug,2019,33,92,01ae,01,ae,Line,4613554.537,413579.034,0.542,
RR,14,Aug,2019,34,93,01a,01,a,Line,4613554.537,413579.034,0.542,
RR,14,Aug,2019,34,94,01a,01,a,Line,4613547.19,413572.994,0.518,
RR,14,Aug,2019,35,95,03a,03,a,Line,4613545.733,413571.829,0.525,
RR,14,Aug,2019,35,96,03a,03,a,Line,4613531.463,413560.167,0.483,
RR,14,Aug,2019,36,97,01a,01,a,Line,4613529.727,413559.211,0.622,
RR,14,Aug,2019,36,98,01a,01,a,Line,4613531.218,413556.147,0.501,
RR,14,Aug,2019,38,100,03a,03,a,Line,4613534.473,413553.739,0.403,
RR,14,Aug,2019,38,101,03a,03,a,Line,4613541.223,413546.026,0.425,
RR,14,Aug,2019,39,102,01a,01,a,Line,4613542.699,413544.693,0.381,
RR,14,Aug,2019,39,103,01a,01,a,Line,4613543.698,413545.309,0.317,
RR,14,Aug,2019,39,104,01a,01,a,Line,4613544.403,413547.231,0.423,
RR,14,Aug,2019,41,106,01a,01,a,Line,4613546.038,413551.351,0.262,
RR,14,Aug,2019,41,107,01a,01,a,Line,4613553.078,413575.621,0.386,
RR,15,Aug,2019,41,108,01a,01,a,Line,4613877.801,413859.845,0.306,
RR,15,Aug,2019,42,109,03a,03,a,Line,4613876.713,413858.376,0.413,
RR,15,Aug,2019,42,110,03a,03,a,Line,4613863.479,413817.32,0.451,
RR,15,Aug,2019,43,111,02a,02,a,Line,4613862.663,413815.447,0.41,
RR,15,Aug,2019,43,112,02a,02,a,Line,4613893.717,413808.975,0.463,
RR,15,Aug,2019,45,114,04a,04,a,Line,4613893.658,413805.106,0.601,
RR,15,Aug,2019,45,115,04a,04,a,Line,4613891.446,413794.385,0.581,
RR,15,Aug,2019,46,116,03a,03,a,Line,4613890.948,413792.421,0.589,
RR,15,Aug,2019,46,117,03a,03,a,Line,4613890.818,413792.805,0.586,
RR,15,Aug,2019,46,118,03a,03,a,Line,4613897.593,413791.711,0.602,
RR,15,Aug,2019,47,119,11a,11,a,Line,4613898.8,413791.442,0.548,
RR,15,Aug,2019,47,120,11a,11,a,Line,4613902.237,413790.684,0.453,
RR,15,Aug,2019,52,152,11a,11,a,Line,4613888.578,413705.063,0.455,
RR,15,Aug,2019,52,153,11a,11,a,Line,4613883.057,413708.809,0.534,
RR,15,Aug,2019,54,155,32b,32,b,Line,4613880.151,413711.507,0.604,
RR,15,Aug,2019,54,156,32b,32,b,Line,4613878.949,413715.427,0.676,
RR,15,Aug,2019,55,157,03b,03,b,Line,4613878.937,413717.45,0.666,
RR,15,Aug,2019,55,158,03b,03,b,Line,4613878.861,413720.335,0.685,
RR,15,Aug,2019,58,161,03a,03,a,Line,4613875.068,413731.569,0.675,
RR,15,Aug,2019,58,162,03a,03,a,Line,4613838.706,413735.956,0.307,
RR,15,Aug,2019,59,163,01a,01,a,Line,4613836.891,413736.745,0.283,
RR,15,Aug,2019,59,164,01a,01,a,Line,4613835.333,413737.27,0.222,
RR,15,Aug,2019,59,165,01a,01,a,Line,4613827.332,413722.831,0.25,
RR,15,Aug,2019,59,166,01a,01,a,Line,4613829.62,413720.087,0.316,
RR,15,Aug,2019,59,167,01a,01,a,Line,4613813.612,413712.19,0.296,
RR,15,Aug,2019,59,168,01a,01,a,Line,4613814.488,413711.021,0.297,
RR,15,Aug,2019,60,169,03a,03,a,Line,4613815.391,413709.26,0.275,
RR,15,Aug,2019,60,170,03a,03,a,Line,4613826.179,413683.417,0.61,
RR,15,Aug,2019,61,171,04a,04,a,Line,4613827.228,413681.525,0.641,
