Site,Day,Month,Year,PolygonNum,PointNum,Sub&Att,Subclass,Attributes,SampFormat,Northing,Easting,Altitude,Notes
SOR,23,Oct,2019,2,2,08a,8,a,Line,4665574.615,360019.773,1.397,
SOR,23,Oct,2019,2,3,08a,8,a,Line,4665559.332,360015.117,1.437,
SOR,23,Oct,2019,3,4,07a,7,a,Line,4665557.53,360014.358,1.423,
SOR,23,Oct,2019,3,5,07a,7,a,Line,4665555.926,360013.063,1.421,
SOR,23,Oct,2019,5,7,08a,8,a,Line,4665556.372,360008.733,1.461,"added attribute ""a"" during review - reviewer's best guess"
SOR,23,Oct,2019,5,8,08a,8,a,Line,4665556.527,360006.176,1.461,
SOR,23,Oct,2019,6,9,09a,9,a,Line,4665556.577,360004.036,1.445,
SOR,23,Oct,2019,6,10,09a,9,a,Line,4665560.677,359997.531,1.492,
SOR,23,Oct,2019,7,11,11a,11,a,Line,4665562.863,359997.171,1.512,
SOR,23,Oct,2019,7,12,11a,11,a,Line,4665566.777,359995.647,1.628,
SOR,23,Oct,2019,7,13,11a,11,a,Line,4665569.386,359994.875,1.523,
SOR,23,Oct,2019,8,14,12a,12,a,Line,4665572.131,359999.807,1.465,
SOR,23,Oct,2019,8,15,12a,12,a,Line,4665575.701,360007.493,1.534,
SOR,23,Oct,2019,8,16,12a,12,a,Line,4665580.382,360019.598,1.237,
SOR,23,Oct,2019,9,17,11a,11,a,Line,4665580.388,360021.035,1.232,
SOR,23,Oct,2019,9,18,11a,11,a,Line,4665579.414,360023.308,1.278,
SOR,23,Oct,2019,10,19,09a,9,a,Line,4665577.82,360023.93,1.421,
SOR,23,Oct,2019,10,20,09a,9,a,Line,4665579.532,360039.861,1.431,
SOR,23,Oct,2019,11,21,12a,12,a,Line,4665581.03,360040.202,1.283,
SOR,23,Oct,2019,11,22,12a,12,a,Line,4665587.272,360058.103,1.323,
SOR,23,Oct,2019,12,23,09a,9,a,Line,4665588.065,360059.637,1.326,
SOR,23,Oct,2019,12,24,09a,9,a,Line,4665591.581,360063.256,1.498,
SOR,23,Oct,2019,12,25,09ai,9,ai,Line,4665593.541,360067.687,1.501,"added attribute ""i"" during review - reviewer's best guess"
SOR,23,Oct,2019,12,26,09ai,9,ai,Line,4665596.27,360098.65,1.38,
SOR,23,Oct,2019,15,29,09a,9,a,Line,4665593.291,360094.711,1.26,
SOR,23,Oct,2019,15,30,09a,9,a,Line,4665593.024,360091.46,1.253,
SOR,23,Oct,2019,16,31,07a,7,a,Line,4665592.612,360089.445,1.242,
SOR,23,Oct,2019,16,32,07a,7,a,Line,4665590.914,360081.9,1.237,
SOR,23,Oct,2019,18,34,01aj,1,aj,Line,4665587.713,360081.834,0.842,runnel
SOR,23,Oct,2019,18,35,01aj,1,aj,Line,4665590.001,360102.746,0.62,runnel
SOR,23,Oct,2019,18,36,01aj,1,aj,Line,4665591.984,360117.784,0.738,runnel
SOR,23,Oct,2019,21,51,05a,5,a,Line,4665582.577,360152.858,1.154,
SOR,23,Oct,2019,21,52,05a,5,a,Line,4665576.124,360150.445,1.28,
SOR,23,Oct,2019,22,53,06a,6,a,Line,4665574.042,360150.217,1.197,
SOR,23,Oct,2019,22,54,06a,6,a,Line,4665563.277,360150.196,1.201,
SOR,23,Oct,2019,25,78,09a,9,a,Line,4665600.293,360165.071,1.244,
SOR,23,Oct,2019,25,79,09a,9,a,Line,4665603.736,360165.839,1.145,
SOR,23,Oct,2019,27,84,22jg,22,jg,Line,4665613.222,360167.595,0.11,
SOR,23,Oct,2019,27,85,22jg,22,jg,Line,4665608.655,360166.199,0.216,
SOR,23,Oct,2019,27,86,22jg,22,jg,Line,4665601.984,360163.969,0.105,
SOR,23,Oct,2019,27,87,22jg,22,jg,Line,4665598.279,360163.073,0.006,
SOR,23,Oct,2019,28,88,01a,1,a,Line,4665616.322,360168.547,0.143,in channel
SOR,23,Oct,2019,28,89,01a,1,a,Line,4665619.206,360169.285,0.22,in channel
SOR,23,Oct,2019,29,90,09a,9,a,Line,4665612.928,360165.768,1.193,
SOR,23,Oct,2019,29,91,09a,9,a,Line,4665610.637,360165.051,1.237,
SOR,23,Oct,2019,31,93,09a,9,a,Line,4665608.016,360164.188,1.208,
SOR,23,Oct,2019,31,94,09a,9,a,Line,4665602.623,360162.299,1.24,
