Site,Day,Month,Year,PolygonNum,PointNum,Sub&Att,Subclass,Attributes,SampFormat,Northing,Easting,Altitude,Notes
WEL,1,Aug,2023,1,1,32,32,,Line,4637516.061,417270.429,1.753,
WEL,1,Aug,2023,1,2,32,32,,Line,4637524.248,417255.297,1.814,
WEL,1,Aug,2023,2,3,06a,6,a,Line,4636901.781,416803.924,1.52,Used to be salicornia (old ground truthing)
WEL,1,Aug,2023,2,4,06a,6,a,Line,4636904.077,416803.638,1.448,Used to be salicornia (old ground truthing)
WEL,1,Aug,2023,3,5,06a,6,a,Line,4636918.43,416810.499,1.319,
WEL,1,Aug,2023,3,6,06be,6,be,Line,4636917.666,416808.256,1.322,
WEL,1,Aug,2023,5,8,03be,3,be,Line,4636916.455,416803.604,1.311,
WEL,1,Aug,2023,5,9,03be,3,be,Line,4636915.898,416801.859,1.306,
WEL,1,Aug,2023,6,10,33e,33,e,Line,4636914.994,416799.58,1.275,
WEL,1,Aug,2023,6,11,33e,33,e,Line,4636906.135,416788.061,1.263,
WEL,1,Aug,2023,7,12,11a,11,a,Line,4637107.021,416897.209,1.563,
WEL,1,Aug,2023,7,13,11a,11,a,Line,4637112.059,416896.365,1.553,
WEL,1,Aug,2023,8,14,11a,11,a,Line,4637125.711,416893.681,1.571,
WEL,1,Aug,2023,8,15,11a,11,a,Line,4637122.954,416894.107,1.593,
WEL,1,Aug,2023,9,16,08a,8,a,Line,4637135.614,416890.751,1.588,
WEL,1,Aug,2023,9,17,08a,8,a,Line,4637149.23,416889.464,1.597,
WEL,1,Aug,2023,10,18,33e,33,e,Line,4637260.009,416799.843,1.179,
WEL,1,Aug,2023,10,19,33e,33,e,Line,4637267.053,416802.522,1.193,
WEL,1,Aug,2023,11,20,05a,5,a,Line,4637338.138,417016.724,1.488,
WEL,1,Aug,2023,11,21,05a,5,a,Line,4637338.164,417011.369,1.537,
WEL,1,Aug,2023,12,22,05a,5,a,Line,4637190.516,417007.692,1.559,
WEL,1,Aug,2023,12,23,05a,5,a,Line,4637185.976,417004.197,1.551,
WEL,1,Aug,2023,14,25,08a,8,a,Line,4637151.816,416976.631,1.685,
WEL,1,Aug,2023,14,26,08a,8,a,Line,4637131.387,416974.21,1.69,
WEL,1,Aug,2023,15,27,08a,8,a,Line,4637121.682,416972.193,1.711,
WEL,1,Aug,2023,15,28,08a,8,a,Line,4637103.453,416968.264,1.688,
