Site,Day,Month,Year,PolygonNum,PointNum,Sub&Att,Subclass,Attributes,SampFormat,Northing,Easting,Altitude,Notes
WEL,26,Oct,2019,1,1,05a,05,a,Line,4637043.853,416968.677,1.655,line
WEL,26,Oct,2019,1,2,05a,05,a,Line,4637044.067,416980.087,1.63,line
WEL,26,Oct,2019,2,3,04a,04,a,Line,4637045.205,416980.644,1.626,line
WEL,26,Oct,2019,2,4,04a,04,a,Line,4637044.479,416984.455,1.641,line
WEL,26,Oct,2019,3,5,03a,03,a,Line,4637045.664,416984.441,1.649,line
WEL,26,Oct,2019,3,6,03a,03,a,Line,4637049.152,416984.318,1.584,line
WEL,26,Oct,2019,4,7,04a,04,a,Line,4637050.461,416984.247,1.575,line
WEL,26,Oct,2019,4,8,04a,04,a,Line,4637051.537,416992.974,1.601,line
WEL,26,Oct,2019,4,9,04a,04,a,Line,4637053.204,416992.76,1.607,line
WEL,26,Oct,2019,4,10,04a,04,a,Line,4637054.656,416978.452,1.603,line
WEL,26,Oct,2019,6,12,04a,04,a,Line,4637056.344,416977.452,1.563,line
WEL,26,Oct,2019,6,13,04a,04,a,Line,4637055.868,416986.23,1.601,line
WEL,26,Oct,2019,6,14,05a,05,a,Line,4637055.649,416987.539,1.609,line
WEL,26,Oct,2019,6,15,05a,05,a,Line,4637054.295,416990.148,1.613,line
WEL,26,Oct,2019,6,16,05a,05,a,Line,4637054.665,416993.13,1.627,line
WEL,26,Oct,2019,7,17,06a,06,a,Line,4637055.857,416993.324,1.634,line
WEL,26,Oct,2019,7,18,06a,06,a,Line,4637049.871,417001.529,1.665,line
WEL,26,Oct,2019,9,20,4,4,,Line,4637046.918,417002.782,1.585,line
WEL,26,Oct,2019,9,21,4,4,,Line,4637043.873,417003.626,1.717,line
WEL,26,Oct,2019,10,22,07a,07,a,Line,4637042.374,417004.311,1.806,line
WEL,26,Oct,2019,10,23,07a,07,a,Line,4637041.52,417006.953,1.891,line
WEL,26,Oct,2019,11,24,10a,10,a,Line,4637040.344,417007.923,1.981,line
WEL,26,Oct,2019,11,25,10a,10,a,Line,4637039.381,417016.002,1.94,line
WEL,26,Oct,2019,11,26,10a,10,a,Line,4637040.862,417016.699,1.879,line
WEL,26,Oct,2019,12,27,09a,09,a,Line,4637041.104,417018.009,1.883,line
WEL,26,Oct,2019,12,28,09a,09,a,Line,4637041.348,417023.432,1.915,line
WEL,26,Oct,2019,13,29,09a,09,a,Line,4637041.651,417028.736,1.947,line
WEL,26,Oct,2019,13,30,09a,09,a,Line,4637043.961,417032.649,1.892,line
WEL,26,Oct,2019,13,31,09a,09,a,Line,4637045.4,417037.078,1.903,line
WEL,26,Oct,2019,14,32,32,32,,Line,4637045.669,417038.171,1.864,line
WEL,26,Oct,2019,14,33,32,32,,Line,4637046.985,417041.945,1.889,line
WEL,26,Oct,2019,16,35,03a,03,a,Line,4637049.525,417041.606,1.626,line
