Site,Day,Month,Year,PolygonNum,PointNum,Sub&Att,Subclass,Attributes,SampFormat,Northing,Easting,Altitude,Notes
WEL,29,Sept,2019,35,161,32e,32,e,Line,4637418.013,417311.992,1.54,
WEL,29,Sept,2019,35,162,32e,32,e,Line,4637417.37,417309.669,1.42,
WEL,29,Sept,2019,36,163,02aj,2,aj,Line,4637416.853,417307.818,1.349,significant water - reason for J
WEL,29,Sept,2019,36,163,02aj,2,aj,Line,4637416.853,417307.818,1.349,significant water - reason for J
WEL,29,Sept,2019,36,164,02aj,2,aj,Line,4637414.155,417308.65,1.369,
WEL,29,Sept,2019,36,164,02aj,2,aj,Line,4637414.155,417308.65,1.369,"not flowering = B, some wrack"
WEL,29,Sept,2019,37,165,01be,1,be,Line,4637414.541,417310.541,1.425,
WEL,29,Sept,2019,37,166,01be,1,be,Line,4637414.962,417312.697,1.549,
WEL,29,Sept,2019,38,167,12a,12,a,Line,4637415.29,417314.776,1.722,
WEL,29,Sept,2019,38,168,12a,12,a,Line,4637396.196,417318.369,1.769,found burrows under wrack
WEL,29,Sept,2019,38,168,12a,12,a,Line,4637396.196,417318.369,1.769,found burrows under wrack
WEL,29,Sept,2019,39,169,32e,32,e,Line,4637394.105,417318.624,1.75,
WEL,29,Sept,2019,39,170,32e,32,e,Line,4637388.233,417318.328,1.866,
WEL,29,Sept,2019,42,173,11a,11,a,Line,4637372.693,417309.882,1.695,
WEL,29,Sept,2019,42,174,11a,11,a,Line,4637390.893,417314.36,1.661,
WEL,29,Sept,2019,42,174,11a,11,a,Line,4637390.893,417314.36,1.661,
WEL,29,Sept,2019,48,180,32,32,,Line,4637327.103,417298.965,1.662,
WEL,29,Sept,2019,48,181,32,32,,Line,4637315.016,417302.316,1.681,
WEL,29,Sept,2019,50,183,32,32,,Line,4637311.815,417302.975,1.65,"mix w/ssa, water @ low"
WEL,29,Sept,2019,50,184,32,32,,Line,4637311.418,417301.494,1.654,
WEL,29,Sept,2019,54,188,03a,3,a,Line,4637302.179,417297.057,1.631,
WEL,29,Sept,2019,54,189,03a,3,a,Line,4637299.185,417296.887,1.62,
WEL,29,Sept,2019,56,191,10aj,10,aj,Line,4637299.08,417300.993,1.672,
WEL,29,Sept,2019,56,192,10aj,10,aj,Line,4637301.043,417300.997,1.663,
WEL,29,Sept,2019,56,193,10aj,10,aj,Line,4637302.536,417300.812,1.654,
WEL,29,Sept,2019,56,194,10aj,10,aj,Line,4637302.591,417302.79,1.687,
WEL,29,Sept,2019,63,201,06a,6,a,Line,4637228.953,417291.83,1.63,
WEL,29,Sept,2019,63,202,06a,6,a,Line,4637230.991,417288.219,1.561,
WEL,29,Sept,2019,69,208,01aefg,1,aefg,Line,4637238.523,417271.481,1.262,TSA on stream edge
WEL,29,Sept,2019,69,209,01aefg,1,aefg,Line,4637239.917,417269.03,0.908,
WEL,29,Sept,2019,69,210,01aefg,1,aefg,Line,4637247.049,417277.648,0.991,
WEL,29,Sept,2019,69,211,01aefg,1,aefg,Line,4637250.374,417274.724,1.198,
WEL,29,Sept,2019,69,212,01aefg,1,aefg,Line,4637253.25,417274.096,0.922,
