Site,Day,Month,Year,PolygonNum,PointNum,Sub&Att,Subclass,Attributes,SampFormat,Northing,Easting,Altitude,Notes
OTH,14,Oct,2018,4,11,01a,01,a,MU,4737137.883,347667.519,1.026,
OTH,14,Oct,2018,7,16,01a,01,a,MU,4737144.784,347673.312,1.22,
OTH,14,Oct,2018,8,17,27bg,27,bg,MU,4737145.324,347672.212,1.081,
OTH,14,Oct,2018,12,27,01a,01,a,MU,4737139.086,347668.59,1.156,
OTH,14,Oct,2018,13,28,02a,02,a,MU,4737138.305,347670.07,1.212,
OTH,14,Oct,2018,14,29,01a,01,a,MU,4737137.473,347671.346,1.221,
OTH,14,Oct,2018,18,36,03a,03,a,MU,4737123.341,347678.042,1.282,
OTH,14,Oct,2018,20,47,06a,06,a,MU,4737120.446,347677.779,1.394,
OTH,14,Oct,2018,23,54,05a,05,a,MU,4737111.97,347676.923,1.402,
OTH,14,Oct,2018,26,59,03a,03,a,MU,4737100.201,347670.63,1.312,
OTH,14,Oct,2018,31,70,01a,01,a,MU,4737111.83,347654.396,1.037,
OTH,14,Oct,2018,32,71,01ag,01,ag,MU,4737107.637,347650.91,1.03,
OTH,14,Oct,2018,35,76,02a,02,a,MU,4737097.432,347644.919,1.369,
OTH,14,Oct,2018,42,89,03a,03,a,MU,4737076.45,347660.807,1.274,
OTH,14,Oct,2018,49,112,02a,02,a,MU,4737060.079,347676.476,1.156,
OTH,14,Oct,2018,54,131,02a,02,a,MU,4737041.519,347673.474,1.169,
OTH,14,Oct,2018,66,159,13a,13,a,MU,4737179.938,347690.49,1.337,
OTH,14,Oct,2018,69,164,04a,04,a,MU,4737184.785,347692.181,1.245,
OTH,14,Oct,2018,70,165,03a,03,a,MU,4737183.811,347690.927,1.273,
OTH,14,Oct,2018,72,168,06a,06,a,MU,4737183.257,347678.165,1.391,
OTH,14,Oct,2018,73,169,09a,09,a,MU,4737184.481,347678.565,1.447,
OTH,14,Oct,2018,74,170,06a,06,a,MU,4737186.631,347679.651,1.428,
OTH,14,Oct,2018,76,173,06a,06,a,MU,4737190.132,347683.535,1.471,
OTH,14,Oct,2018,77,174,09a,09,a,MU,4737190.947,347685.043,1.415,
OTH,14,Oct,2018,78,175,06a,06,a,MU,4737191.844,347686.784,1.418,
OTH,14,Oct,2018,86,206,09a,09,a,MU,4737233.872,347677.513,1.344,
OTH,14,Oct,2018,89,212,01a,01,a,MU,4737251.786,347675.666,1.194,
OTH,14,Oct,2018,90,213,09a,09,a,MU,4737251.542,347676.879,1.311,
OTH,14,Oct,2018,95,224,09a,09,a,MU,4737304.917,347688.27,1.264,
OTH,14,Oct,2018,96,225,06a,06,a,MU,4737359.92,347406.352,1.267,
OTH,14,Oct,2018,99,242,22r,22,r,MU,4737327.244,347413.119,1.218,
OTH,14,Oct,2018,101,245,22r,22,r,MU,4737324.155,347420.823,1.185,
OTH,14,Oct,2018,102,246,06a,06,a,MU,4737324.875,347421.186,1.281,
OTH,14,Oct,2018,113,268,01b,01,b,MU,4737258.694,347496.923,0.976,
OTH,14,Oct,2018,114,269,22r,22,r,MU,4737259.519,347497.684,1.162,
OTH,14,Oct,2018,115,270,02a,02,a,MU,4737260.238,347498.341,1.233,
OTH,14,Oct,2018,118,275,25jn,25,jn,MU,4737278.625,347516.102,1.338,
OTH,14,Oct,2018,119,276,06a,06,a,MU,4737193.857,347617.351,1.388,
OTH,14,Oct,2018,123,283,06a,06,a,MU,4737194.281,347627.24,1.417,
OTH,14,Oct,2018,125,286,02a,02,a,MU,4737183.491,347637.158,1.402,
OTH,14,Oct,2018,127,289,02a,02,a,MU,4737142.831,347634.704,1.28,
OTH,14,Oct,2018,135,305,01ag,01,ag,MU,4737252.134,347651.159,0.796,
OTH,14,Oct,2018,138,311,06a,06,a,MU,4737256.763,347641.395,1.423,
OTH,14,Oct,2018,139,312,06a,06,a,MU,4737278.301,347618.85,1.487,
OTH,14,Oct,2018,145,322,04a,04,a,MU,4737298.275,347576.077,1.44,
