Site,Day,Month,Year,PolygonNum,PointNum,Sub&Att,Subclass,Attributes,SampFormat,Northing,Easting,Altitude,Notes
OTH,27,Jul,2023,03,5,05,05,,MU,4736906.906,347762.862,1.208,
OTH,27,Jul,2023,04,6,04,04,,MU,4736906.761,347760.73,1.19,
OTH,27,Jul,2023,05,7,10,10,,MU,4736915.495,347724.444,1.411,
OTH,27,Jul,2023,07,10,02,02,,MU,4736942.882,347699.695,1.255,
OTH,27,Jul,2023,08,11,02,02,,MU,4736939.437,347704.104,1.26,
OTH,27,Jul,2023,12,18,04,04,,MU,4736923.08,347773.745,1.439,
OTH,27,Jul,2023,14,21,10,10,,MU,4736911.913,347793.887,1.448,
OTH,27,Jul,2023,24,44,11,11,,MU,4737266.93,347571.848,1.22,
OTH,27,Jul,2023,25,45,11,11,,MU,4737285.881,347544.629,1.277,
OTH,27,Jul,2023,27,48,11,11,,MU,4737309.391,347515.585,1.261,
OTH,27,Jul,2023,32,64,10,10,,MU,4737298.465,347263.769,1.26,
