Site,Day,Month,Year,PolygonNum,PointNum,Sub&Att,Subclass,Attributes,SampFormat,Northing,Easting,Altitude,Notes
PEG,,,,94,380,12a,12,a,MU,4672342.655,357970.728,1.622,
PEG,,,,96,383,01a,01,a,MU,4672343.451,357966.484,1.431,
PEG,,,,97,384,02a,02,a,MU,4672344.474,357965.089,1.401,
PEG,,,,98,385,10a,10,a,MU,4672343.743,357963.743,1.413,
PEG,,,,100,389,10a,10,a,MU,4672340.712,357962.825,1.487,
PEG,,,,102,392,06b,06,b,MU,4672335.722,357956.854,1.721,
PEG,,,,104,395,09s,09,s,MU,4672330.336,357953.565,1.926,
PEG,,,,114,420,10a,10,a,MU,4672355.702,357930.662,1.027,
PEG,,,,115,421,1,1,,MU,4672354.923,357929.944,1.094,
PEG,,,,124,456,31s,31,s,MU,4672311.053,357914.444,1.642,
