Site,Day,Month,Year,PolygonNum,PointNum,Sub&Att,Subclass,Attributes,SampFormat,Northing,Easting,Altitude,Notes
SOR,20,Aug,2019,1,1,03a,3,a,Line,4665189.842,360125.411,1.266,
SOR,20,Aug,2019,1,2,03a,3,a,Line,4665196.224,360140.257,1.212,
SOR,20,Aug,2019,3,4,02a,2,a,Line,4665199.372,360144.728,1.184,
SOR,20,Aug,2019,3,5,02a,2,a,Line,4665202.524,360148.093,1.119,
SOR,20,Aug,2019,5,12,13a,13,a,Line,4665210.219,360156.145,1.113,match with points 9-11
SOR,20,Aug,2019,5,13,13a,13,a,Line,4665204.442,360142.404,1.183,match with points 9-12
SOR,20,Aug,2019,6,14,02a,2,a,Line,4665208.32,360151.261,1.136,some salicornia
SOR,20,Aug,2019,6,15,02a,2,a,Line,4665217.989,360152.967,1.085,
SOR,20,Aug,2019,10,34,06a,6,a,Line,4665226.445,360151.016,1.117,
SOR,20,Aug,2019,10,35,06a,6,a,Line,4665230.531,360151.152,1.177,
SOR,20,Aug,2019,13,38,04a,4,a,Line,4665234.331,360153.59,1.182,
SOR,20,Aug,2019,13,39,04a,4,a,Line,4665235.982,360160.583,1.154,
SOR,20,Aug,2019,14,40,02a,2,a,Line,4665236.664,360162.485,1.152,some salicornia
SOR,20,Aug,2019,14,41,02a,2,a,Line,4665240.172,360174.445,1.119,some salicornia
SOR,20,Aug,2019,15,42,01a,1,a,Line,4665240.917,360176.456,1.09,
SOR,20,Aug,2019,15,43,01a,1,a,Line,4665253.844,360127.574,0.644,
SOR,20,Aug,2019,15,44,01a,1,a,Line,4665253.838,360135.554,0.569,
SOR,20,Aug,2019,17,46,06a,6,a,Line,4665250.816,360133.861,1.161,
SOR,20,Aug,2019,17,47,06a,6,a,Line,4665241.466,360130.842,1.247,
SOR,20,Aug,2019,18,48,04a,4,a,Line,4665239.385,360130.076,1.246,
SOR,20,Aug,2019,18,49,04a,4,a,Line,4665233.411,360129.017,1.242,flowering purple
SOR,20,Aug,2019,19,50,06a,6,a,Line,4665231.302,360128.479,1.195,
SOR,20,Aug,2019,19,51,06a,6,a,Line,4665230.505,360122.5,1.205,
SOR,20,Aug,2019,20,52,02a,2,a,Line,4665230.012,360120.439,1.204,
SOR,20,Aug,2019,20,53,02a,2,a,Line,4665229.614,360117.855,1.107,
SOR,20,Aug,2019,21,54,01a,1,a,Line,4665229.391,360116.431,1.035,not flowering
SOR,20,Aug,2019,21,55,01a,1,a,Line,4665221.416,360115.787,1.027,
SOR,20,Aug,2019,22,56,06a,6,a,Line,4665220.745,360117.71,1.197,
SOR,20,Aug,2019,22,57,06a,6,a,Line,4665216.535,360126.657,1.15,
SOR,20,Aug,2019,23,58,02a,2,a,Line,4665215.4,360128.274,1.086,
SOR,20,Aug,2019,23,59,02a,2,a,Line,4665206.68,360109.663,1.172,
SOR,20,Aug,2019,24,60,06a,6,a,Line,4665206.084,360107.472,1.213,
SOR,20,Aug,2019,24,61,06a,6,a,Line,4665202.493,360099.346,1.305,
SOR,20,Aug,2019,28,65,02a,2,a,Line,4665092.798,360175.701,1.217,"new location transects along ditch, flowering"
SOR,20,Aug,2019,28,66,02a,2,a,Line,4665095.7,360180.815,1.188,"new location transects along ditch, flowering"
SOR,20,Aug,2019,29,67,12a,12,a,Line,4665096.851,360182.612,1.145,
SOR,20,Aug,2019,29,68,12a,12,a,Line,4665101.047,360191.912,0.981,"phrag present, fresh water running through?"
SOR,20,Aug,2019,31,88,01a,1,a,Line,4665103.777,360194.417,0.997,
SOR,20,Aug,2019,31,89,01a,1,a,Line,4665104.928,360197.261,0.978,
SOR,20,Aug,2019,32,90,13a,13,a,Line,4665105.862,360197.651,1.048,
SOR,20,Aug,2019,32,91,13a,13,a,Line,4665114.622,360211.913,0.945,
SOR,20,Aug,2019,32,92,13a,13,a,Line,4665120.504,360222.517,1.132,
SOR,20,Aug,2019,34,100,13a,13,a,Line,4665114.576,360224.867,1.122,
SOR,20,Aug,2019,34,101,13a,13,a,Line,4665108.558,360215.333,1.194,
SOR,20,Aug,2019,34,102,13a,13,a,Line,4665100.25,360200.189,1.228,
SOR,20,Aug,2019,35,103,06a,6,a,Line,4665099.303,360201.69,1.24,
SOR,20,Aug,2019,35,104,06a,6,a,Line,4665099.077,360203.537,1.262,
SOR,20,Aug,2019,37,106,03a,3,a,Line,4665097.217,360208.938,1.292,salicornia and limonium
SOR,20,Aug,2019,37,107,03a,3,a,Line,4665093.237,360221.48,1.26,
SOR,20,Aug,2019,38,108,04a,4,a,Line,4665092.494,360223.515,1.276,
SOR,20,Aug,2019,38,109,04a,4,a,Line,4665091.5,360226.104,1.226,
SOR,20,Aug,2019,39,110,02a,2,a,Line,4665090.645,360227.999,1.167,
SOR,20,Aug,2019,39,111,02a,2,a,Line,4665089.47,360231.151,1.166,
SOR,20,Aug,2019,39,112,02a,2,a,Line,4665088.356,360229.277,1.15,
SOR,20,Aug,2019,39,113,02a,2,a,Line,4665087.436,360227.129,1.178,
SOR,20,Aug,2019,40,114,01b,1,b,Line,4665086.137,360225.223,1.13,"flowering, yellowing"
SOR,20,Aug,2019,40,115,01b,1,b,Line,4665084.574,360222.163,1.172,channel holds water
SOR,20,Aug,2019,41,116,13a,13,a,Line,4665083.984,360220.177,1.22,
SOR,20,Aug,2019,41,117,13a,13,a,Line,4665077.949,360209.785,1.226,
SOR,20,Aug,2019,41,118,13a,13,a,Line,4665072.576,360201.342,1.207,different veg on other side
SOR,20,Aug,2019,43,125,04a,4,a,Line,4665073.275,360207.852,1.221,
SOR,20,Aug,2019,43,126,04a,4,a,Line,4665075.958,360213.408,1.19,
SOR,20,Aug,2019,44,127,13a,13,a,Line,4665077.027,360215.167,1.169,
SOR,20,Aug,2019,44,128,13a,13,a,Line,4665079.954,360223.184,1.188,
SOR,20,Aug,2019,45,129,06a,6,a,Line,4665080.377,360224.14,1.212,
SOR,20,Aug,2019,45,130,06a,6,a,Line,4665085.376,360233.307,1.142,
SOR,20,Aug,2019,46,131,09a,9,a,Line,4665086.348,360234.907,1.15,
SOR,20,Aug,2019,46,132,09a,9,a,Line,4665090.196,360241.281,1.178,
SOR,20,Aug,2019,47,133,06a,6,a,Line,4665091.423,360242.995,1.136,
SOR,20,Aug,2019,47,134,06a,6,a,Line,4665093.938,360248.749,1.202,
SOR,20,Aug,2019,49,136,06a,6,a,Line,4665096.031,360252.643,1.187,
SOR,20,Aug,2019,49,137,06a,6,a,Line,4665096.93,360253.829,1.2,
SOR,20,Aug,2019,51,139,06a,6,a,Line,4665099.029,360257.458,1.167,some dead juncus at 148-149
SOR,20,Aug,2019,51,140,06a,6,a,Line,4665103.641,360265.99,1.137,some dead juncus at 148-149
SOR,20,Aug,2019,52,141,08b,8,b,Line,4665104.513,360268.085,1.135,
SOR,20,Aug,2019,52,142,08b,8,b,Line,4665107.782,360275.058,1.157,
SOR,20,Aug,2019,53,143,07a,7,a,Line,4665108.78,360277.037,1.181,"only distichilis, healthy~60%"
SOR,20,Aug,2019,53,144,07a,7,a,Line,4665110.017,360279.205,1.13,"only distichilis, healthy~60%"
SOR,20,Aug,2019,54,145,06a,6,a,Line,4665110.917,360281.181,1.15,
SOR,20,Aug,2019,54,146,06a,6,a,Line,4665111.654,360283.224,1.147,
SOR,20,Aug,2019,55,147,13a,13,a,Line,4665117.877,360283.006,0.797,~30% flowering
SOR,20,Aug,2019,55,148,13a,13,a,Line,4665113.221,360284.11,1.184,~30% flowering
SOR,20,Aug,2019,55,149,13a,13,a,Line,4665109.704,360284.905,1.175,~30% flowering
SOR,20,Aug,2019,57,156,13a,13,a,Line,4665110.646,360289.15,1.173,~40% flowering
SOR,20,Aug,2019,57,157,13a,13,a,Line,4665115.397,360288.664,1.11,~40% flowering
SOR,20,Aug,2019,57,158,13a,13,a,Line,4665120.203,360287.032,0.587,~40% flowering
SOR,20,Aug,2019,58,159,01a,1,a,Line,4665118.377,360289.117,1.036,
SOR,20,Aug,2019,58,160,01a,1,a,Line,4665129.931,360307.927,1.002,
SOR,20,Aug,2019,58,161,01a,1,a,Line,4665117.624,360312.496,0.969,
SOR,20,Aug,2019,60,163,06a,6,a,Line,4665116.01,360308.674,1.085,
SOR,20,Aug,2019,60,164,06a,6,a,Line,4665101.847,360284.523,1.178,
SOR,20,Aug,2019,61,165,08b,8,b,Line,4665100.987,360282.439,1.194,
SOR,20,Aug,2019,61,166,08b,8,b,Line,4665098.454,360277.178,1.197,
SOR,20,Aug,2019,62,167,08a,8,a,Line,4665097.351,360275.373,1.197,tops are dying. Still upright w/ limonium
SOR,20,Aug,2019,62,168,08a,8,a,Line,4665092.448,360266.841,1.188,
SOR,20,Aug,2019,64,170,08a,8,a,Line,4665090.008,360263.491,1.168,
SOR,20,Aug,2019,64,171,08a,8,a,Line,4665089.005,360262.331,1.165,
SOR,20,Aug,2019,66,173,08b,8,b,Line,4665086.306,360259.105,1.181,
SOR,20,Aug,2019,66,174,08b,8,b,Line,4665085.23,360257.025,1.197,w/ shrub
SOR,20,Aug,2019,67,175,08a,8,a,Line,4665084.285,360255.393,1.227,
SOR,20,Aug,2019,67,176,08a,8,a,Line,4665079.15,360245.943,1.269,small purple flowers between 184 - 185
SOR,20,Aug,2019,68,177,06a,6,a,Line,4665078.369,360243.898,1.204,
SOR,20,Aug,2019,68,178,06a,6,a,Line,4665077.62,360240.724,1.214,
SOR,20,Aug,2019,70,180,07a,7,a,Line,4665076.517,360236.64,1.223,mixed with some juncus  40%
SOR,20,Aug,2019,70,181,07a,7,a,Line,4665075.903,360234.183,1.215,mixed with some juncus  40%
SOR,20,Aug,2019,73,184,04a,4,a,Line,4665072.578,360228.894,1.216,
SOR,20,Aug,2019,73,185,04a,4,a,Line,4665070.318,360225.083,1.241,
SOR,20,Aug,2019,75,187,04a,4,a,Line,4665068.362,360221.369,1.257,
SOR,20,Aug,2019,75,188,04a,4,a,Line,4665067.691,360219.064,1.266,
SOR,20,Aug,2019,76,189,03a,3,a,Line,4665066.954,360217.099,1.28,
SOR,20,Aug,2019,76,190,03a,3,a,Line,4665065.537,360213.764,1.254,
SOR,20,Aug,2019,76,191,03a,3,a,Line,4665064.652,360211.103,1.314,
SOR,20,Aug,2019,81,196,33,33,,Line,4665061.535,360212.296,1.312,
SOR,20,Aug,2019,81,197,33,33,,Line,4665056.575,360211.666,1.293,
SOR,20,Aug,2019,81,198,33,33,,Line,4665059.762,360216.495,1.273,
SOR,20,Aug,2019,82,199,32,32,,Line,4665158.102,360542.981,1.009,TSA underwrack
SOR,20,Aug,2019,82,200,32,32,,Line,4665166.839,360537.689,1.055,TSA underwrack
SOR,20,Aug,2019,83,201,01b,1,b,Line,4665168.859,360537.271,1.044,thinning
SOR,20,Aug,2019,83,202,01b,1,b,Line,4665174.046,360535.268,0.996,
SOR,20,Aug,2019,83,203,01b,1,b,Line,4665172.628,360530.541,0.918,
