Site,Day,Month,Year,PolygonNum,PointNum,Sub&Att,Subclass,Attributes,SampFormat,Northing,Easting,Altitude,Notes
WEL,26,Oct,2019,5,11,03a,03,a,MU,4637054.862,416977.153,1.59,1 mu
WEL,26,Oct,2019,8,19,05a,05,a,MU,4637048.709,417002.367,1.63,1 mu
WEL,26,Oct,2019,15,34,10a,10,a,MU,4637048.337,417041.831,1.804,1 mu
WEL,26,Oct,2019,17,38,10a,10,a,MU,4637052.377,417062.031,1.782,1 mu
WEL,26,Oct,2019,18,39,09a,09,a,MU,4637051.259,417063.306,1.879,1 mu
WEL,26,Oct,2019,21,45,03aj,03,aj,MU,4637081.535,416941.889,1.62,1 mu
WEL,26,Oct,2019,22,46,05a,05,a,MU,4637155.276,416976.085,1.629,1 mu
WEL,26,Oct,2019,23,47,05a,05,a,MU,4637160.001,416979.072,1.615,1 mu
WEL,26,Oct,2019,37,58,01bf,01,bf,MU,4637349.429,417049.242,0.797,1 mu
WEL,26,Oct,2019,38,59,01a,01,a,MU,4637348.409,417048.444,0.948,1 mu
WEL,26,Oct,2019,40,62,06a,06,a,MU,4637343.864,417046.221,1.323,1 mu
WEL,26,Oct,2019,41,63,01aef,01,aef,MU,4637341.899,417050.256,1.255,1 mu
WEL,26,Oct,2019,42,64,01af,01,af,MU,4637340.952,417050.965,1.274,1 mu
WEL,26,Oct,2019,45,69,06a,06,a,MU,4637370.567,417002.909,1.559,1 mu
WEL,26,Oct,2019,47,72,01a,01,a,MU,4637373.22,417007.954,1.285,1 mu
WEL,26,Oct,2019,50,77,01aef,01,aef,MU,4637378.18,417013.41,1.21,1 mu
WEL,26,Oct,2019,51,78,01bcef,01,bcef,MU,4637379.022,417014.49,1.112,1 mu
WEL,26,Oct,2019,53,81,27bcef,27,bcef,MU,4637387.07,416968.089,0.738,1 mu
WEL,26,Oct,2019,59,94,10a,10,a,MU,4637357.213,416905.945,1.368,1 mu
WEL,26,Oct,2019,67,110,10be,10,be,MU,4637405.638,416917.94,1.423,1 mu
WEL,26,Oct,2019,70,118,27eg,27,eg,MU,4637433.459,416914.929,1.266,1 mu
WEL,26,Oct,2019,71,119,33e,33,e,MU,4637434.75,416914.057,1.357,1 mu
WEL,26,Oct,2019,73,133,22gf,22,gf,MU,4637415.713,416929.977,0.296,1 mu
WEL,26,Oct,2019,75,136,22g,22,g,MU,4637415.864,416938.402,0.187,1 mu
WEL,26,Oct,2019,76,137,22g,22,g,MU,4637414.304,416951.68,0.248,1 mu
WEL,26,Oct,2019,77,138,22g,22,g,MU,4637409.547,416959.828,0.238,1 mu
WEL,26,Oct,2019,78,139,22cgf,22,cgf,MU,4637398.377,416954.668,0.723,1 mu
WEL,26,Oct,2019,79,140,22g,22,g,MU,4637401.101,416960.432,0.131,1 mu
WEL,26,Oct,2019,81,147,22g,22,g,MU,4637472.601,416966.45,0.283,1 mu
WEL,26,Oct,2019,83,150,22g,22,g,MU,4637451.655,416971.273,1.012,1 mu
