Site,Day,Month,Year,PolygonNum,PointNum,Sub&Att,Subclass,Attributes,SampFormat,Northing,Easting,Altitude,Notes
WEL,29,Sept,2019,34,160,12a,12,a,MU,4637418.233,417313.743,1.662,
WEL,29,Sept,2019,40,171,09ae,9,ae,MU,4637372.346,417314.08,1.892,1 mu
WEL,29,Sept,2019,41,172,32e,32,e,MU,4637372.72,417312.46,1.773,
WEL,29,Sept,2019,43,175,32e,32,e,MU,4637391.194,417312.881,1.579,
WEL,29,Sept,2019,44,176,11aef,11,aef,MU,4637391.785,417311.177,1.457,
WEL,29,Sept,2019,45,177,11a,11,a,MU,4637353.913,417301.748,1.723,
WEL,29,Sept,2019,46,178,12a,12,a,MU,4637352.081,417301.35,1.663,
WEL,29,Sept,2019,47,179,12a,12,a,MU,4637328.554,417299.935,1.722,1 mu
WEL,29,Sept,2019,49,182,03b,3,b,MU,4637313.638,417302.76,1.701,"25% bare spot, 1 mu"
WEL,29,Sept,2019,51,185,03a,3,a,MU,4637310.843,417299.548,1.634,
WEL,29,Sept,2019,52,186,10a,10,a,MU,4637310.78,417297.466,1.627,
WEL,29,Sept,2019,53,187,10a,10,a,MU,4637304.437,417297.069,1.625,"water present, 1 mu"
WEL,29,Sept,2019,55,190,06a,6,a,MU,4637299.024,417298.856,1.653,
WEL,29,Sept,2019,57,195,32j,32,j,MU,4637302.982,417305.092,1.718,1 mu
WEL,29,Sept,2019,58,196,32j,32,j,MU,4637303.661,417307.903,1.741,1 mu
WEL,29,Sept,2019,59,197,12a,12,a,MU,4637303.902,417309.762,1.728,1 mu
WEL,29,Sept,2019,60,198,33,33,,MU,4637226.26,417297.254,1.707,salicornia present
WEL,29,Sept,2019,61,199,03a,3,a,MU,4637226.833,417295.319,1.676,
WEL,29,Sept,2019,62,200,04a,4,a,MU,4637227.796,417293.619,1.651,
WEL,29,Sept,2019,64,203,01a,1,a,MU,4637231.86,417286.531,1.561,
WEL,29,Sept,2019,65,204,01a,1,a,MU,4637232.247,417285.402,1.523,1 mu
WEL,29,Sept,2019,66,205,03afj,3,afj,MU,4637233.247,417283.331,1.528,flowering
WEL,29,Sept,2019,67,206,03a,3,a,MU,4637236.386,417274.894,1.449,
WEL,29,Sept,2019,68,207,02ae,2,ae,MU,4637237.48,417273.236,1.366,
WEL,29,Sept,2019,70,217,33efg,33,efg,MU,4637270.724,417271.255,1.235,1 mu
WEL,29,Sept,2019,71,218,33efg,33,efg,MU,4637268.126,417269.66,1.264,
WEL,29,Sept,2019,72,219,01befg,1,befg,MU,4637267.472,417267.999,1.371,
WEL,29,Sept,2019,73,220,33efg,33,efg,MU,4637265.562,417268.795,1.326,
WEL,29,Sept,2019,75,223,33efg,33,efg,MU,4637262.387,417267.759,1.224,
WEL,29,Sept,2019,76,224,02a,2,a,MU,4637262.905,417266.002,1.337,
WEL,29,Sept,2019,77,225,33efg,33,efg,MU,4637258.562,417263.744,1.224,
WEL,29,Sept,2019,78,226,02a,2,a,MU,4637259.758,417263.075,1.368,
WEL,29,Sept,2019,79,227,02aef,2,aef,MU,4637263.437,417259.478,1.4,
WEL,29,Sept,2019,80,228,01aef,1,aef,MU,4637262.434,417257.297,1.152,
WEL,29,Sept,2019,83,234,06a,6,a,MU,4637268.481,417254.369,1.432,
WEL,29,Sept,2019,84,235,03a,3,a,MU,4637270.241,417254.649,1.524,
WEL,29,Sept,2019,85,236,03afj,3,afj,MU,4637273.154,417255.887,1.465,
WEL,29,Sept,2019,87,239,03a,3,a,MU,4637287.638,417270.65,1.579,
WEL,29,Sept,2019,92,251,10ae,10,ae,MU,4636902.749,416798.89,1.374,
WEL,29,Sept,2019,93,252,10ae,10,ae,MU,4636905.47,416802.904,1.45,1 mu
WEL,29,Sept,2019,95,255,06be,6,be,MU,4636910.066,416806.79,1.44,
WEL,29,Sept,2019,96,256,06ae,6,ae,MU,4636911.518,416807.52,1.418,
WEL,29,Sept,2019,98,261,10ae,10,ae,MU,4636902.818,416792.732,1.367,m shells throughout
WEL,29,Sept,2019,99,262,07ae,7,ae,MU,4636901.431,416791.826,1.372,m shells throughout
WEL,29,Sept,2019,100,263,10ae,10,ae,MU,4636903.033,416790.577,1.342,m shells throughout
WEL,29,Sept,2019,104,278,03ae,3,ae,MU,4636916.791,416788,1.404,purple marsh crabs in burrows
WEL,29,Sept,2019,105,279,03bc,3,bc,MU,4636915.416,416789.391,1.391,
WEL,29,Sept,2019,106,280,02a,2,a,MU,4636914.159,416790.392,1.359,
WEL,29,Sept,2019,107,281,02ae,2,ae,MU,4636912.169,416792.287,1.292,
