Site,Day,Month,Year,PolygonNum,PointNum,Sub&Att,Subclass,Attributes,SampFormat,Northing,Easting,Altitude,Notes
OTH,27,Jul,2023,22,36,6,6,,Polygon,4737177.497,347638.671,1.428,
OTH,27,Jul,2023,22,37,6,6,,Polygon,4737149.436,347633.575,1.447,
OTH,27,Jul,2023,22,38,6,6,,Polygon,4737147.22,347619.702,1.508,
OTH,27,Jul,2023,22,39,6,6,,Polygon,4737171.632,347616.771,1.5,
OTH,27,Jul,2023,23,40,4,4,,Polygon,4737140.605,347629.197,1.411,
OTH,27,Jul,2023,23,41,4,4,,Polygon,4737132.473,347630.256,1.319,
OTH,27,Jul,2023,23,42,4,4,,Polygon,4737132.16,347619.003,1.228,
OTH,27,Jul,2023,23,43,4,4,,Polygon,4737136.084,347617.798,1.3,
OTH,27,Jul,2023,31,60,11,11,,Polygon,4737418.291,347379.956,1.342,
OTH,27,Jul,2023,31,61,11,11,,Polygon,4737417.011,347380.178,1.331,
OTH,27,Jul,2023,31,62,11,11,,Polygon,4737413.926,347378.94,1.278,
