Site,Day,Month,Year,PolygonNum,PointNum,Sub&Att,Subclass,Attributes,SampFormat,Northing,Easting,Altitude,Notes
OTH,,,2021,19,37,25j,25,j,Poly,4737121.485,347678.364,1.365,
OTH,,,2021,19,38,25j,25,j,Poly,4737121.177,347677.71,1.319,
OTH,,,2021,19,39,25j,25,j,Poly,4737122.054,347677.479,1.344,
OTH,,,2021,19,40,25j,25,j,Poly,4737122.115,347677.891,1.338,
OTH,,,2021,19,41,25j,25,j,Poly,4737122.798,347678.528,1.321,
OTH,,,2021,19,42,25j,25,j,Poly,4737123.38,347679.821,1.213,
OTH,,,2021,19,43,25j,25,j,Poly,4737123.701,347680.104,1.318,
OTH,,,2021,19,44,25j,25,j,Poly,4737123.075,347680.28,1.351,
OTH,,,2021,19,45,25j,25,j,Poly,4737122.402,347678.994,1.35,
OTH,,,2021,19,46,25j,25,j,Poly,4737121.867,347678.607,1.385,
OTH,,,2021,21,48,25j,25,j,Poly,4737119.847,347677.753,1.349,
OTH,,,2021,21,49,25j,25,j,Poly,4737119.801,347678.275,1.365,
OTH,,,2021,21,50,25j,25,j,Poly,4737118.371,347677.062,1.378,
OTH,,,2021,21,51,25j,25,j,Poly,4737118.524,347676.347,1.357,
OTH,,,2021,44,93,21jn,21,jn,Poly,4737058.029,347655.825,1.103,
OTH,,,2021,44,94,21jn,21,jn,Poly,4737063.369,347660.272,1.125,
OTH,,,2021,44,95,21jn,21,jn,Poly,4737068.191,347664.157,1.041,
OTH,,,2021,44,96,21jn,21,jn,Poly,4737067.785,347664.401,1.048,
OTH,,,2021,44,97,21jn,21,jn,Poly,4737062.331,347660.2,1.037,
OTH,,,2021,44,98,21jn,21,jn,Poly,4737057.044,347656.188,1.046,
OTH,,,2021,47,104,23jn,23,jn,Poly,4737072.427,347677.805,1.142,
OTH,,,2021,47,105,23jn,23,jn,Poly,4737072.637,347677.416,1.119,
OTH,,,2021,47,106,23jn,23,jn,Poly,4737067.878,347673.771,1.181,
OTH,,,2021,47,107,23jn,23,jn,Poly,4737063.155,347670.034,1.119,
OTH,,,2021,47,108,23jn,23,jn,Poly,4737062.83,347670.356,1.138,
OTH,,,2021,47,109,23jn,23,jn,Poly,4737067.626,347674.205,1.13,
OTH,,,2021,50,113,23jn,23,jn,Poly,4737059.804,347677.003,1.127,
OTH,,,2021,50,114,23jn,23,jn,Poly,4737054.852,347673.01,1.055,
OTH,,,2021,50,115,23jn,23,jn,Poly,4737056.192,347674.694,1.058,
OTH,,,2021,50,116,23jn,23,jn,Poly,4737061.433,347678.836,1.107,
OTH,,,2021,50,117,23jn,23,jn,Poly,4737066.183,347682.527,1.071,
OTH,,,2021,50,118,23jn,23,jn,Poly,4737066.371,347682.217,1.094,
OTH,,,2021,53,125,23jn,23,jn,Poly,4737042.079,347673.057,1.036,
OTH,,,2021,53,126,23jn,23,jn,Poly,4737037.158,347668.826,1.086,
OTH,,,2021,53,127,23jn,23,jn,Poly,4737042.276,347672.807,1.084,
OTH,,,2021,53,128,23jn,23,jn,Poly,4737037.026,347669.092,0.979,
OTH,,,2021,53,129,23jn,23,jn,Poly,4737046.926,347676.609,1.021,
OTH,,,2021,53,130,23jn,23,jn,Poly,4737046.781,347676.781,1.068,
OTH,,,2021,65,153,21kn,21,kn,Poly,4737180.923,347695.66,1.068,
OTH,,,2021,65,154,21kn,21,kn,Poly,4737184.05,347699.685,0.673,
OTH,,,2021,65,155,21kn,21,kn,Poly,4737188.962,347710.817,1.009,
OTH,,,2021,65,156,21kn,21,kn,Poly,4737189.359,347710.435,0.916,
OTH,,,2021,65,157,21kn,21,kn,Poly,4737187.068,347704.831,1.046,
OTH,,,2021,65,158,21kn,21,kn,Poly,4737178.299,347691.174,1.119,
OTH,,,2021,79,176,23kn,23,kn,Poly,4737189.177,347679.757,1.154,
OTH,,,2021,79,177,23kn,23,kn,Poly,4737192.513,347686.419,1.244,
OTH,,,2021,79,178,23kn,23,kn,Poly,4737196.71,347693.366,1.291,
OTH,,,2021,79,179,23kn,23,kn,Poly,4737197.087,347693.02,0.913,
OTH,,,2021,79,180,23kn,23,kn,Poly,4737192.887,347686.232,1.063,
OTH,,,2021,79,181,23kn,23,kn,Poly,4737189.559,347680.024,1.081,
OTH,,,2021,99,230,06a,06,a,Poly,4737353.381,347421.215,1.273,
OTH,,,2021,99,231,06a,06,a,Poly,4737351.705,347421.585,1.242,
OTH,,,2021,99,232,06a,06,a,Poly,4737350.616,347422.294,1.233,
OTH,,,2021,99,233,06a,06,a,Poly,4737350.717,347420.833,1.24,
OTH,,,2021,99,234,06a,06,a,Poly,4737350.919,347419.549,1.147,
OTH,,,2021,99,235,06a,06,a,Poly,4737350.416,347419.333,1.182,
OTH,,,2021,99,236,06a,06,a,Poly,4737350.611,347418.078,1.273,
OTH,,,2021,99,237,06a,06,a,Poly,4737352.589,347418.9,1.253,
OTH,,,2021,99,238,06a,06,a,Poly,4737354.155,347419.868,1.258,
OTH,,,2021,99,239,06a,06,a,Poly,4737354.032,347420.502,1.262,
