Site,Day,Month,Year,PolygongonNum,PointNum,Sub&Att,Subclass,Attributes,SampFormat,Northing,Easting,Altitude,Notes
PEG,,,,4,7,13a,13,a,Polygon,4672421.277,357584.895,1.311,
PEG,,,,4,8,13a,13,a,Polygon,4672420.354,357578.02,1.335,
PEG,,,,4,9,13a,13,a,Polygon,4672418.19,357578.121,1.152,
PEG,,,,4,10,13a,13,a,Polygon,4672418.32,357585.199,1,
PEG,,,,4,11,13a,13,a,Polygon,4672418.787,357591.32,1.159,
PEG,,,,4,12,13a,13,a,Polygon,4672420.385,357591.352,1.292,
PEG,,,,5,13,01a,01,a,Polygon,4672417.178,357591.303,0.245,
PEG,,,,5,14,01a,01,a,Polygon,4672416.935,357585.685,0.402,
PEG,,,,5,15,01a,01,a,Polygon,4672417.504,357579,0.481,
PEG,,,,5,16,21kn,21,kn,Polygon,4672416.329,357578.48,0.634,
PEG,,,,5,17,21kn,21,kn,Polygon,4672416.457,357585.175,0.558,
PEG,,,,5,18,21kn,21,kn,Polygon,4672416.364,357590.47,0.509,
PEG,,,,20,60,23jn,23,jn,Polygon,4672452.464,357629.781,1.224,
PEG,,,,20,61,23jn,23,jn,Polygon,4672451.539,357623.239,1.212,
PEG,,,,20,62,23jn,23,jn,Polygon,4672450.901,357623.331,1.252,
PEG,,,,20,63,23jn,23,jn,Polygon,4672451.36,357631.239,1.258,
PEG,,,,20,64,23jn,23,jn,Polygon,4672452.042,357639.785,1.313,
PEG,,,,20,65,23jn,23,jn,Polygon,4672453.104,357639.617,1.311,
PEG,,,,28,81,01a,01,a,Polygon,4672481.383,357664.745,1.058,
PEG,,,,28,82,01a,01,a,Polygon,4672481.707,357653.128,1.07,
PEG,,,,28,83,01a,01,a,Polygon,4672482.363,357653.416,0.741,
PEG,,,,28,84,01a,01,a,Polygon,4672482.341,357663.805,0.693,
PEG,,,,54,117,22kn,22,kn,Polygon,4672484.111,357737.279,0.575,
PEG,,,,54,118,22kn,22,kn,Polygon,4672484.217,357741.904,0.238,
PEG,,,,54,119,22kn,22,kn,Polygon,4672484.851,357727.272,0.821,
PEG,,,,54,120,22kn,22,kn,Polygon,4672480.74,357741.879,0.456,
PEG,,,,54,121,22kn,22,kn,Polygon,4672481.402,357736.487,0.626,
PEG,,,,54,122,22kn,22,kn,Polygon,4672482.289,357725.006,0.815,
PEG,,,,56,126,28k,28,k,Polygon,4672479.306,357746.119,0.732,
PEG,,,,56,127,27k,27,k,Polygon,4672478.96,357746.943,0.666,
PEG,,,,56,128,27k,27,k,Polygon,4672479.898,357747.778,0.588,
PEG,,,,56,129,27k,27,k,Polygon,4672480.954,357752.372,0.746,
PEG,,,,56,130,27k,27,k,Polygon,4672482.495,357752.61,0.716,
PEG,,,,56,131,27k,27,k,Polygon,4672483.1,357751.417,0.634,
PEG,,,,56,132,27k,27,k,Polygon,4672482.377,357750.683,0.464,
PEG,,,,56,133,27k,27,k,Polygon,4672484.037,357749.741,0.485,
PEG,,,,56,134,27k,27,k,Polygon,4672483.931,357748.919,0.502,
PEG,,,,56,135,27k,27,k,Polygon,4672482.085,357746.847,0.222,
PEG,,,,58,138,25k,25,k,Polygon,4672474.544,357741.935,0.8,
PEG,,,,58,139,25k,25,k,Polygon,4672475.318,357741.435,0.806,
PEG,,,,58,140,25k,25,k,Polygon,4672474.204,357738.864,0.738,
PEG,,,,58,141,25k,25,k,Polygon,4672474.226,357737.488,0.737,
PEG,,,,58,142,25k,25,k,Polygon,4672473.81,357737.301,0.771,
PEG,,,,58,143,25k,25,k,Polygon,4672471.964,357738.722,0.777,
PEG,,,,58,144,25k,25,k,Polygon,4672469.644,357739.306,0.709,
PEG,,,,58,145,25k,25,k,Polygon,4672469.388,357738.346,0.731,
PEG,,,,58,146,25k,25,k,Polygon,4672471.085,357737.529,0.699,
PEG,,,,58,147,25k,25,k,Polygon,4672470.011,357736.733,0.713,
PEG,,,,58,148,25k,25,k,Polygon,4672469.104,357737.004,0.654,
PEG,,,,58,149,25k,25,k,Polygon,4672468.364,357736.219,0.737,
PEG,,,,58,150,25k,25,k,Polygon,4672468.808,357735.465,0.76,
PEG,,,,58,151,25k,25,k,Polygon,4672467.921,357735.05,0.731,
PEG,,,,58,152,25k,25,k,Polygon,4672467.386,357735.335,0.743,
PEG,,,,58,153,25k,25,k,Polygon,4672466.923,357734.341,0.789,
PEG,,,,58,154,25k,25,k,Polygon,4672465.573,357733.751,0.752,
PEG,,,,58,155,25k,25,k,Polygon,4672465.021,357735.13,0.633,
PEG,,,,58,156,25k,25,k,Polygon,4672466.078,357737.753,0.611,
PEG,,,,58,157,25k,25,k,Polygon,4672468.676,357739.268,0.685,
PEG,,,,58,158,25k,25,k,Polygon,4672470.196,357740.376,0.737,
PEG,,,,58,159,25k,25,k,Polygon,4672472.713,357740.856,0.787,
PEG,,,,58,160,25k,25,k,Polygon,4672473.971,357742.254,0.827,
PEG,,,,61,166,21jn,21,jn,Polygon,4672454.195,357717.591,1.061,
PEG,,,,61,167,21jn,21,jn,Polygon,4672453.915,357722.763,1.102,
PEG,,,,61,168,21jn,21,jn,Polygon,4672454.679,357708.772,0.838,
PEG,,,,61,169,21jn,21,jn,Polygon,4672453.811,357708.505,0.852,
PEG,,,,61,170,21jn,21,jn,Polygon,4672453.295,357716.913,0.903,
PEG,,,,61,171,21jn,21,jn,Polygon,4672453.254,357722.674,0.935,
PEG,,,,66,182,22k,22,k,Polygon,4672434.836,357725.406,0.231,
PEG,,,,66,183,22k,22,k,Polygon,4672435.105,357721.259,0.361,
PEG,,,,66,184,22k,22,k,Polygon,4672435.756,357720.578,0.47,
PEG,,,,66,185,22k,22,k,Polygon,4672437.903,357720.025,0.601,
PEG,,,,66,186,22k,22,k,Polygon,4672439.116,357718.85,0.561,
PEG,,,,66,187,22k,22,k,Polygon,4672438.712,357718.704,0.623,
PEG,,,,66,188,22k,22,k,Polygon,4672437.225,357719.511,0.53,
PEG,,,,66,189,22k,22,k,Polygon,4672437.623,357718.396,0.603,
PEG,,,,66,190,22k,22,k,Polygon,4672435.78,357719.563,0.613,
PEG,,,,66,191,22k,22,k,Polygon,4672435.771,357719.552,0.607,
PEG,,,,66,192,22k,22,k,Polygon,4672434.385,357720.41,0.613,
PEG,,,,66,193,22k,22,k,Polygon,4672432.665,357723.333,0.378,
PEG,,,,67,194,25j,25,j,Polygon,4672438.636,357717.627,0.629,
PEG,,,,67,195,25j,25,j,Polygon,4672439.577,357717.801,0.695,
PEG,,,,67,196,25j,25,j,Polygon,4672439.963,357716.669,0.72,
PEG,,,,67,197,25j,25,j,Polygon,4672439.517,357715.733,0.73,
PEG,,,,67,198,25j,25,j,Polygon,4672438.744,357715.337,0.752,
PEG,,,,67,199,25j,25,j,Polygon,4672437.58,357715.693,0.733,
PEG,,,,67,200,25j,25,j,Polygon,4672436.514,357716.284,0.735,
PEG,,,,67,201,25j,25,j,Polygon,4672438.879,357717.677,0.548,
