Site,Day,Month,Year,PolygonNum,PointNum,Sub&Att,Subclass,Attributes,SampFormat,Northing,Easting,Altitude,Notes
RR,17,Sep,2020,12,23,25j,25,j,Poly,4613699.215,413715.378,0.499,polygon
RR,17,Sep,2020,12,24,25j,25,j,Poly,4613700.332,413716.345,0.49,polygon
RR,17,Sep,2020,12,25,25j,25,j,Poly,4613700.908,413716.584,0.464,polygon
RR,17,Sep,2020,12,26,25j,25,j,Poly,4613702.044,413716.175,0.459,polygon
RR,17,Sep,2020,12,27,25j,25,j,Poly,4613703.425,413716.705,0.435,polygon
RR,17,Sep,2020,12,28,25j,25,j,Poly,4613704.049,413718.33,0.489,polygon
RR,17,Sep,2020,12,29,25j,25,j,Poly,4613704.02,413720.026,0.459,polygon
RR,17,Sep,2020,12,30,25j,25,j,Poly,4613702.235,413722.287,0.447,polygon
RR,17,Sep,2020,12,31,25j,25,j,Poly,4613701.342,413721.109,0.434,polygon
RR,17,Sep,2020,12,32,25j,25,j,Poly,4613701.847,413720.795,0.467,polygon
RR,17,Sep,2020,12,33,25j,25,j,Poly,4613700.054,413717.78,0.447,polygon
RR,17,Sep,2020,12,34,25j,25,j,Poly,4613699.234,413717.846,0.457,polygon
RR,17,Sep,2020,12,35,25j,25,j,Poly,4613699.063,413715.583,0.465,polygon
