Site,Day,Month,Year,PolygonNum,PointNum,Sub&Att,Subclass,Attributes,SampFormat,Northing,Easting,Altitude,Notes
RR,14,Aug,2019,30,73,01a,01,a,Poly,4613480.125,413598.132,0.331,
RR,14,Aug,2019,30,74,01a,01,a,Poly,4613474.465,413595.738,0.406,
RR,14,Aug,2019,30,75,01a,01,a,Poly,4613473.311,413596.422,0.377,
RR,14,Aug,2019,30,76,01a,01,a,Poly,4613472.603,413594.714,0.39,
RR,14,Aug,2019,30,77,01a,01,a,Poly,4613467.086,413593.432,0.336,
RR,14,Aug,2019,30,78,01a,01,a,Poly,4613463.625,413593.322,0.322,
RR,14,Aug,2019,30,79,01a,01,a,Poly,4613459.079,413594.657,0.211,
RR,14,Aug,2019,30,80,01a,01,a,Poly,4613459.323,413597.274,0.218,
RR,14,Aug,2019,30,81,01a,01,a,Poly,4613460.044,413599,0.167,
RR,14,Aug,2019,30,82,01a,01,a,Poly,4613457.143,413602.951,-0.062,
RR,14,Aug,2019,30,83,01a,01,a,Poly,4613479.605,413599.147,0.06,
RR,15,Aug,2019,48,121,12a,12,a,Poly,4613904.011,413790.902,0.517,
RR,15,Aug,2019,48,122,12a,12,a,Poly,4613900.494,413794.866,0.599,
RR,15,Aug,2019,48,123,12a,12,a,Poly,4613902.194,413799.393,0.602,
RR,15,Aug,2019,48,124,12a,12,a,Poly,4613903.5,413802.777,0.605,
RR,15,Aug,2019,48,125,12a,12,a,Poly,4613905.67,413802.505,0.459,
RR,15,Aug,2019,49,126,11a,11,a,Poly,4613904.994,413804.383,0.46,
RR,15,Aug,2019,49,127,11a,11,a,Poly,4613903.311,413804.553,0.532,
RR,15,Aug,2019,49,128,11a,11,a,Poly,4613904.387,413808.347,0.483,
RR,15,Aug,2019,49,129,11a,11,a,Poly,4613905.214,413812.626,0.407,
RR,15,Aug,2019,49,130,11a,11,a,Poly,4613906.364,413813.671,0.368,
RR,15,Aug,2019,50,133,12a,12,a,Poly,4613897.217,413782.603,0.626,
RR,15,Aug,2019,50,134,12a,12,a,Poly,4613893.617,413777.267,0.68,
RR,15,Aug,2019,50,135,12a,12,a,Poly,4613889.959,413775.693,0.634,
RR,15,Aug,2019,50,136,12a,12,a,Poly,4613886.676,413771.377,0.609,
RR,15,Aug,2019,50,137,12a,12,a,Poly,4613883.704,413770.183,0.665,
RR,15,Aug,2019,50,138,12a,12,a,Poly,4613880.26,413764.972,0.619,
RR,15,Aug,2019,50,139,12a,12,a,Poly,4613877.521,413761.16,0.671,
RR,15,Aug,2019,50,140,12a,12,a,Poly,4613875.527,413760.051,0.638,
RR,15,Aug,2019,50,141,12a,12,a,Poly,4613877.837,413757.972,0.651,
RR,15,Aug,2019,50,142,12a,12,a,Poly,4613877.339,413754.672,0.63,
RR,15,Aug,2019,50,143,12a,12,a,Poly,4613875.545,413752.117,0.65,
RR,15,Aug,2019,50,144,12a,12,a,Poly,4613876.923,413751.952,0.618,
RR,15,Aug,2019,50,145,12a,12,a,Poly,4613875.129,413748.155,0.675,
RR,15,Aug,2019,50,146,12a,12,a,Poly,4613873.637,413746.095,0.644,
RR,15,Aug,2019,50,147,12a,12,a,Poly,4613870.599,413744.82,0.635,
RR,15,Aug,2019,50,148,12a,12,a,Poly,4613871.02,413742.975,0.604,
RR,15,Aug,2019,50,149,12a,12,a,Poly,4613878.65,413742.302,0.629,
RR,15,Aug,2019,50,150,12a,12,a,Poly,4613887.786,413744.859,0.726,
RR,15,Aug,2019,91,231,09a,09,a,Poly,4613908.933,413686.9,1.081,
RR,15,Aug,2019,91,232,09a,09,a,Poly,4613903.539,413668.288,0.719,
RR,15,Aug,2019,91,233,09a,09,a,Poly,4613905.273,413668.421,0.29,
RR,15,Aug,2019,91,234,09a,09,a,Poly,4613909.322,413680.347,0.555,
RR,15,Aug,2019,91,235,09a,09,a,Poly,4613921.114,413674.381,0.383,
RR,15,Aug,2019,91,236,09a,09,a,Poly,4613927.679,413676.689,0.492,
RR,15,Aug,2019,91,237,09a,09,a,Poly,4613940.244,413683.028,0.466,
RR,15,Aug,2019,91,238,09a,09,a,Poly,4613937.091,413687.252,0.508,
