Site,Day,Month,Year,PolygonNum,PointNum,Sub&Att,Subclass,Attributes,SampFormat,Northing,Easting,Altitude,Notes
SOR,20,Aug,2019,4,6,21k,21,k,Poly,4665207.1,360158.072,0.803,some salicornia along edges
SOR,20,Aug,2019,4,7,21k,21,k,Poly,4665203.764,360148.531,1.071,some salicornia along edges
SOR,20,Aug,2019,4,8,21k,21,k,Poly,4665203.067,360144.736,0.879,some salicornia along edges
SOR,20,Aug,2019,4,9,21k,21,k,Poly,4665203.947,360145.208,1.023,some salicornia along edges
SOR,20,Aug,2019,4,10,21k,21,k,Poly,4665204.642,360148.512,0.936,some salicornia along edges
SOR,20,Aug,2019,4,11,21k,21,k,Poly,4665208.409,360157.533,1.01,some salicornia along edges
SOR,20,Aug,2019,7,16,13a,13,a,Poly,4665215.556,360144.795,1.077,connect 16-18 with 19-21
SOR,20,Aug,2019,7,17,13a,13,a,Poly,4665219.094,360152.966,1.038,connect 16-18 with 19-21
SOR,20,Aug,2019,7,18,13a,13,a,Poly,4665222.858,360162.512,0.978,connect 16-18 with 19-21
SOR,20,Aug,2019,7,19,13a,13,a,Poly,4665224.836,360161.628,0.655,"fiddlers present, big holes"
SOR,20,Aug,2019,7,20,13a,13,a,Poly,4665221.227,360151.815,0.587,"fiddlers present, big holes"
SOR,20,Aug,2019,7,21,13a,13,a,Poly,4665218.048,360143.1,0.487,"fiddlers present, big holes"
SOR,20,Aug,2019,8,22,21k,21,k,Poly,4665224.836,360161.628,0.655,"fiddlers present, big holes"
SOR,20,Aug,2019,8,23,21k,21,k,Poly,4665221.227,360151.815,0.587,"fiddlers present, big holes"
SOR,20,Aug,2019,8,24,21k,21,k,Poly,4665218.048,360143.1,0.487,"fiddlers present, big holes"
SOR,20,Aug,2019,8,25,21k,21,k,Poly,4665218.912,360142.317,0.732,
SOR,20,Aug,2019,8,26,21k,21,k,Poly,4665223.089,360152.539,0.653,
SOR,20,Aug,2019,8,27,21k,21,k,Poly,4665226.564,360160.675,0.517,
SOR,20,Aug,2019,9,28,13a,13,a,Poly,4665218.912,360142.317,0.732,
SOR,20,Aug,2019,9,29,13a,13,a,Poly,4665223.089,360152.539,0.653,
SOR,20,Aug,2019,9,30,13a,13,a,Poly,4665226.564,360160.675,0.517,
SOR,20,Aug,2019,9,31,13a,13,a,Poly,4665228.562,360160.162,1.026,connect with 22-24 for polygon
SOR,20,Aug,2019,9,32,13a,13,a,Poly,4665224.929,360151.054,1.077,connect with 22-24 for polygon
SOR,20,Aug,2019,9,33,13a,13,a,Poly,4665220.314,360141.635,1.14,connect with 22-24 for polygon
SOR,20,Aug,2019,30,69,23jnr,23,jnr,Poly,4665109.153,360188.942,0.646,
SOR,20,Aug,2019,30,70,23jnr,23,jnr,Poly,4665109.657,360188.735,1.018,
SOR,20,Aug,2019,30,71,23jnr,23,jnr,Poly,4665108.13,360188.586,0.965,
SOR,20,Aug,2019,30,72,23jnr,23,jnr,Poly,4665106.95,360188.97,0.962,
SOR,20,Aug,2019,30,73,23jnr,23,jnr,Poly,4665106.285,360188.743,0.883,
SOR,20,Aug,2019,30,74,23jnr,23,jnr,Poly,4665105.531,360189.565,0.977,
SOR,20,Aug,2019,30,75,23jnr,23,jnr,Poly,4665103.899,360190.446,0.604,
SOR,20,Aug,2019,30,76,23jnr,23,jnr,Poly,4665102.348,360190.952,1.011,
SOR,20,Aug,2019,30,77,23jnr,23,jnr,Poly,4665103.208,360191.466,0.274,
SOR,20,Aug,2019,30,78,23jnr,23,jnr,Poly,4665102.555,360192.122,0.674,
SOR,20,Aug,2019,30,79,23jnr,23,jnr,Poly,4665101.466,360193.172,0.575,
SOR,20,Aug,2019,30,80,23jnr,23,jnr,Poly,4665102.146,360193.032,0.108,
SOR,20,Aug,2019,30,81,23jnr,23,jnr,Poly,4665102.446,360193.706,0.513,
SOR,20,Aug,2019,30,82,23jnr,23,jnr,Poly,4665103.533,360192.442,0.601,
SOR,20,Aug,2019,30,83,23jnr,23,jnr,Poly,4665103.325,360191.605,0.506,
SOR,20,Aug,2019,30,84,23jnr,23,jnr,Poly,4665105.382,360190.408,0.818,
SOR,20,Aug,2019,30,85,23jnr,23,jnr,Poly,4665106.821,360189.582,0.823,
SOR,20,Aug,2019,30,86,23jnr,23,jnr,Poly,4665108.51,360189.089,0.91,
SOR,20,Aug,2019,30,87,23jnr,23,jnr,Poly,4665109.697,360189.205,1.066,
SOR,20,Aug,2019,33,94,21jn,21,jn,Poly,4665118.161,360223.874,0.714,
SOR,20,Aug,2019,33,95,21jn,21,jn,Poly,4665112.647,360214.487,0.548,
SOR,20,Aug,2019,33,96,21jn,21,jn,Poly,4665103.853,360197.889,0.71,
SOR,20,Aug,2019,33,97,21jn,21,jn,Poly,4665102.637,360198.63,0.956,
SOR,20,Aug,2019,33,98,21jn,21,jn,Poly,4665111.276,360213.944,0.6,
SOR,20,Aug,2019,33,99,21jn,21,jn,Poly,4665115.904,360224.012,0.925,
SOR,20,Aug,2019,42,119,21jn,21,jn,Poly,4665073.394,360205.013,1.156,
SOR,20,Aug,2019,42,120,21jn,21,jn,Poly,4665076.979,360211.854,1.145,connect 138-139 to 125-127
SOR,20,Aug,2019,42,121,21jn,21,jn,Poly,4665082.579,360221.134,1.172,
SOR,20,Aug,2019,42,122,21jn,21,jn,Poly,4665081.888,360221.585,1.106,
SOR,20,Aug,2019,42,123,21jn,21,jn,Poly,4665078.003,360214.531,1.114,
SOR,20,Aug,2019,42,124,21jn,21,jn,Poly,4665073.323,360206.737,1.189,
SOR,20,Aug,2019,56,150,21kn,21,kn,Poly,4665110.196,360286.675,1.04,
SOR,20,Aug,2019,56,151,21kn,21,kn,Poly,4665114.958,360285.673,0.831,
SOR,20,Aug,2019,56,152,21kn,21,kn,Poly,4665119.21,360285.086,0.257,
SOR,20,Aug,2019,56,153,21kn,21,kn,Poly,4665119.48,360285.736,0.33,
SOR,20,Aug,2019,56,154,21kn,21,kn,Poly,4665114.869,360286.343,0.761,
SOR,20,Aug,2019,56,155,21kn,21,kn,Poly,4665110.209,360287.121,1.115,
SOR,20,Aug,2019,89,212,21ek,21,ek,Poly,4665186.213,360469.031,0.709,
SOR,20,Aug,2019,89,213,21ek,21,ek,Poly,4665185.812,360469.146,0.992,
SOR,20,Aug,2019,89,214,21ek,21,ek,Poly,4665185.133,360469.597,0.837,
SOR,20,Aug,2019,89,215,21ek,21,ek,Poly,4665183.889,360469.797,0.752,
SOR,20,Aug,2019,89,216,21ek,21,ek,Poly,4665183.578,360469.296,0.926,
SOR,20,Aug,2019,89,217,21ek,21,ek,Poly,4665184.478,360469.074,0.9,
SOR,20,Aug,2019,89,218,21ek,21,ek,Poly,4665185.3,360468.514,1.014,
SOR,20,Aug,2019,89,219,21ek,21,ek,Poly,4665186.003,360468.043,0.773,
SOR,20,Aug,2019,89,220,21ek,21,ek,Poly,4665184.925,360469.229,0.403,depth measurement of ditch
