Site,Day,Month,Year,PolygonNum,PointNum,Sub&Att,Subclass,Attributes,SampFormat,Northing,Easting,Altitude,Notes
SOR,23,Oct,2019,19,37,13a,13,a,Poly,4665593.28,360118.55,1.079,
SOR,23,Oct,2019,19,38,13a,13,a,Poly,4665592.397,360122.145,0.636,
SOR,23,Oct,2019,19,39,13a,13,a,Poly,4665596.443,360147.736,0.792,
SOR,23,Oct,2019,19,40,13a,13,a,Poly,4665598.104,360147.263,1.172,
SOR,23,Oct,2019,19,41,13a,13,a,Poly,4665594.588,360118.52,1.19,
SOR,23,Oct,2019,20,42,21j,21,j,Poly,4665592.811,360119.883,0.609,
SOR,23,Oct,2019,20,43,21j,21,j,Poly,4665592.6,360124.484,0.568,
SOR,23,Oct,2019,20,44,21j,21,j,Poly,4665595.318,360142.8,0.649,
SOR,23,Oct,2019,20,45,21j,21,j,Poly,4665596.21,360147.073,0.755,
SOR,23,Oct,2019,20,48,21j,21,j,Poly,4665595.012,360147.419,0.787,
SOR,23,Oct,2019,20,49,21j,21,j,Poly,4665595.472,360146.531,0.161,
SOR,23,Oct,2019,20,50,21j,21,j,Poly,4665593.771,360136.051,0.005,
SOR,23,Oct,2019,20,47,21j,21,j,Poly,4665592.937,360132.49,0.826,
SOR,23,Oct,2019,20,46,21j,21,j,Poly,4665591.669,360121.081,0.921,
SOR,23,Oct,2019,23,55,13a,13,a,Poly,4665563.468,360152.226,1.048,
SOR,23,Oct,2019,23,56,13a,13,a,Poly,4665560.619,360152.192,1.133,
SOR,23,Oct,2019,23,57,13a,13,a,Poly,4665560.908,360155.644,1.194,
SOR,23,Oct,2019,23,58,13a,13,a,Poly,4665569.643,360154.936,0.832,
SOR,23,Oct,2019,23,59,13a,13,a,Poly,4665570.07,360153,1.113,
SOR,23,Oct,2019,24,60,22gj,22,gj,Poly,4665561.304,360155.75,1.07,
SOR,23,Oct,2019,24,61,22gj,22,gj,Poly,4665567.579,360155.149,0.905,
SOR,23,Oct,2019,24,62,22gj,22,gj,Poly,4665573.01,360154.162,1.013,
SOR,23,Oct,2019,24,63,22gj,22,gj,Poly,4665579.07,360155.535,1.005,
SOR,23,Oct,2019,24,64,22gj,22,gj,Poly,4665588.551,360158.721,0.936,
SOR,23,Oct,2019,24,65,22gj,22,gj,Poly,4665594.66,360160.541,0.897,
SOR,23,Oct,2019,24,66,22gj,22,gj,Poly,4665594.747,360160.965,0.02,
SOR,23,Oct,2019,24,67,22gj,22,gj,Poly,4665599.424,360162.922,-0.056,
SOR,23,Oct,2019,24,68,22gj,22,gj,Poly,4665599.825,360162.432,0.938,
SOR,23,Oct,2019,24,69,22gj,22,gj,Poly,4665604.25,360163.71,1.001,
SOR,23,Oct,2019,24,70,22gj,22,gj,Poly,4665611.202,360165.817,1.127,
SOR,23,Oct,2019,24,71,22gj,22,gj,Poly,4665615.761,360167.308,1.135,
SOR,23,Oct,2019,24,72,22gj,22,gj,Poly,4665613.204,360168.686,1.068,
SOR,23,Oct,2019,24,73,22gj,22,gj,Poly,4665610.135,360167.419,0.675,
SOR,23,Oct,2019,24,74,22gj,22,gj,Poly,4665603.389,360165.335,1.1,
SOR,23,Oct,2019,24,75,22gj,22,gj,Poly,4665598.81,360164.324,1.007,
SOR,23,Oct,2019,24,76,22gj,22,gj,Poly,4665578.69,360157.9,,point added by reviewer to complete polygon
SOR,23,Oct,2019,24,77,22gj,22,gj,Poly,4665574.06,360156.65,,point added by reviewer to complete polygon
SOR,23,Oct,2019,26,80,13a,13,a,Poly,4665604.696,360165.986,1.108,
SOR,23,Oct,2019,26,81,13a,13,a,Poly,4665604.18,360167.344,1.194,
SOR,23,Oct,2019,26,82,13a,13,a,Poly,4665613.347,360171.305,1.225,
SOR,23,Oct,2019,26,83,13a,13,a,Poly,4665613.319,360168.719,1.017,
