Poly Number,Point Number,Subclass,"Subclass + Attribute

",Northing,Easting,Elevation,Notes
01,1,04,04a,4620730.732,385586.698,1.478,Taller veg
01,2,04,04a,4620737.564,385586.275,1.52,Shorter veg
02,3,03,03a,4620740.618,385585.981,1.519,
02,4,03,03a,4620748.475,385584.128,1.546,
03,5,04,04a,4620751.207,385582.477,1.52,
04,6,03,03a,4620755.091,385582.504,1.544,
04,7,03,03a,4620760.388,385581.026,1.545,
05,8,04,04a,4620761.882,385579.203,1.538,
05,9,04,04a,4620770.444,385576.318,1.516,Variation in veg height
06,10,04,04a,4620775.471,385575.773,1.478,
06,11,04,04a,4620779.318,385574.798,1.561,
07,12,03,03a,4620782.358,385574.019,1.525,
07,13,03,03a,4620786.814,385573.328,1.548,
08,14,04,04a,4620788.951,385572.717,1.55,
08,15,04,04a,4620789.008,385572.851,1.529,
09,16,04,04a,4620798.575,385569.227,1.518,
09,17,04,04a,4620817.665,385564.436,1.504,
10,18,05,05a,4620820.615,385563.314,1.456,
11,19,04,04a,4620822.556,385562.441,1.443,
11,20,04,04a,4620824.368,385561.602,1.393,
12,21,01,01a,4620826.603,385560.919,1.104,
12,22,01,01a,4620826.959,385566.518,1.153,
13,23,06,06a,4620720.668,385586.795,1.444,
13,24,06,06a,4620710.143,385584.394,1.514,
14,25,03,03a,4620706.871,385583.847,1.517,
14,26,03,03a,4620705.206,385583.386,1.509,
15,27,04,04a,4620703.299,385582.462,1.504,
15,28,04,04a,4620702.413,385582.215,1.491,
16,29,06,06a,4620699.229,385580.576,1.511,
16,30,06,06a,4620694.896,385577.86,1.505,
17,31,04,04a,4620691.943,385576.662,1.532,
17,32,04,04a,4620689.898,385576.481,1.524,
18,33,09,09a,4620612.485,385609.906,1.751,
18,34,09,09a,4620613.237,385606.661,1.619,
19,35,08,08a,4620606.899,385611.494,1.751,
20,36,09,09a,4620592.037,385612.779,1.8,
21,37,06,06a,4620591.831,385610.06,1.858,senesced veg
21,38,06,06a,4620591.773,385608.89,1.825,
22,39,05,05a,4620591.329,385606.778,1.787,
22,40,05,05a,4620591.277,385606.2,1.758,
23,41,04,04a,4620590.852,385604.093,1.715,
23,42,04,04a,4620588.213,385600.651,1.689,
24,43,03,03a,4620584.187,385594.272,1.687,
24,44,03,03a,4620576.301,385578.032,1.635,
25,45,03,03a,4620573.614,385574.891,1.631,
25,46,03,03a,4620566.402,385568.231,1.661,
26,47,06,06a,4620564.568,385567.153,1.73,
26,48,06,06a,4620558.522,385564.165,1.792,
27,49,09,09a,4620556.231,385563.516,1.876,
27,50,09,09a,4620555.286,385563.014,1.808,
28,51,01,01a,4620553.093,385562.4,1.138,
28,52,01,01a,4620551.958,385558.629,1.046,
29,53,08,08a,4620560.578,385556.337,1.744,
29,54,08,08a,4620559.77,385554.595,1.746,
30,55,08,08a,4620560.546,385548.331,1.733,
31,56,08,08a,4620556.289,385531.512,1.785,
31,57,08,08a,4620555.197,385527.372,1.711,
32,58,06,06a,4620569.091,385499.515,1.533,
32,59,06,06a,4620569.139,385500.072,1.543,
33,60,05,05a,4620568.996,385503.341,1.556,
33,61,05,05a,4620569.025,385516.052,1.629,
34,62,02,02a,4620872.022,385596.477,1.446,
34,63,02,02a,4620879.366,385600.05,1.389,
35,64,06,06a,4620637.746,386192.704,1.637,
35,65,06,06a,4620629.713,386192.437,1.624,
36,66,06,06a,4620625.325,386191.977,1.619,
36,67,06,06a,4620613.263,386190.533,1.643,
37,68,06,06a,4620611.251,386191.071,1.596,
37,69,06,06a,4620601.433,386195.655,1.623,
38,70,01,01a,4620607.283,386199.379,1.458,shorter tall form
38,71,01,01a,4620608.99,386201.859,0.959,taller tall form
39,72,25,25,4620597.805,386194.199,1.634,Polygon
39,73,25,25,4620598.64,386192.043,1.653,Polygon
39,74,25,25,4620597.865,386189.903,1.681,Polygon
39,75,25,25,4620594.614,386190.553,1.661,Polygon
39,76,25,25,4620594.804,386193.639,1.606,Polygon
40,77,03,03a,4620590.527,386185.553,1.678,
40,78,03,03a,4620605.582,386185.851,1.651,
41,79,02,02a,4620594.109,386201.531,1.52,
41,80,02,02a,4620582.068,386214.438,1.581,
42,81,06,06a,4620580.578,386215.91,1.605,
43,82,02,02a,4620573.876,386234.621,1.637,
43,83,02,02a,4620575.781,386242.767,1.623,
44,84,02,02a,4620574.846,386244.207,1.623,
44,85,02,02a,4620574.688,386248.27,1.63,
45,86,06,06a,4620574.213,386250.462,1.666,
45,87,06,06a,4620573.606,386251.444,1.652,
46,88,06,06a,4620573.619,386231.289,1.645,
46,89,06,06a,4620572.31,386223.791,1.645,
47,90,09,09a,4620525.998,386228.834,1.845,
47,91,09,09a,4620524.259,386226.244,1.816,
48,92,06,06a,4620496.016,386199.148,1.663,
48,93,06,06a,4620521.353,386211.56,1.774,
49,94,03,03a,4620780.947,386022.499,1.591,
49,95,03,03a,4620796.32,386022.359,1.574,
