Poly Number,Point Number,Subclass,"Subclass + Attribute

",Northing,Easting,Elevation,Notes
01,1,03,03a,4620795.747,385898.923,1.468,
01,2,03,03a,4620790.154,385895.379,1.493,
02,3,06,06a,4620788.123,385894.579,1.472,
02,4,06,06a,4620776.163,385888.932,1.421,
03,5,05,05a,4620774.185,385888.165,1.443,
04,6,06,06a,4620765.92,385880.6,1.44,
04,7,06,06a,4620764.993,385893.765,1.526,
05,8,05,05a,4620757.922,385894.191,1.54,
06,9,04,04a,4620752.198,385877.634,1.529,
06,10,04,04a,4620752.408,385891.117,1.549,
07,11,05,05a,4620748.479,385888.284,1.542,
08,12,04,04a,4620705.499,385838.107,1.543,
08,13,04,04a,4620704.13,385841.162,1.581,
09,14,03,03a,4620699.21,385848.912,1.617,
09,15,03,03a,4620682.121,385867.916,1.621,
10,16,25,25,4620683.551,385862.54,1.614,Polygon
10,17,25,25,4620684.683,385862.435,1.608,Polygon
10,18,25,25,4620684.928,385861.702,1.583,Polygon
10,19,25,25,4620685.426,385861.133,1.583,Polygon
10,20,25,25,4620686.311,385860.897,1.586,Polygon
10,21,25,25,4620686.778,385860.203,1.578,Polygon
10,22,25,25,4620687.272,385859.876,1.588,Polygon
10,23,25,25,4620688.147,385859.487,1.587,Polygon
10,24,25,25,4620688.053,385858.716,1.58,Polygon
10,25,25,25,4620688.09,385857.906,1.583,Polygon
10,26,25,25,4620687.708,385857.279,1.628,Polygon
10,27,25,25,4620686.817,385857.274,1.631,Polygon
10,28,25,25,4620686.233,385857.508,1.606,Polygon
10,29,25,25,4620685.494,385857.624,1.581,Polygon
10,30,25,25,4620684.805,385857.74,1.6,Polygon
10,31,25,25,4620684.46,385858.169,1.625,Polygon
10,32,25,25,4620683.698,385858.123,1.616,Polygon
10,33,25,25,4620683.912,385858.957,1.594,Polygon
10,34,25,25,4620683.794,385859.589,1.566,Polygon
10,35,25,25,4620682.303,385860.881,1.613,Polygon
10,36,25,25,4620682.648,385861.22,1.609,Polygon
10,37,25,25,4620682.748,385861.964,1.624,Polygon
10,38,25,25,4620683.295,385862.524,1.612,Polygon
10,39,25,25,4620683.86,385862.616,1.613,Polygon
11,40,25,25,4620657.963,385888.712,1.578,Polygon
11,41,25,25,4620657.158,385888.838,1.562,Polygon
11,42,25,25,4620656.705,385889.53,1.565,Polygon
11,43,25,25,4620656.068,385890.181,1.588,Polygon
11,44,25,25,4620655.92,385890.91,1.601,Polygon
11,45,25,25,4620655.959,385892.082,1.598,Polygon
11,46,25,25,4620656.217,385893.071,1.606,Polygon
11,47,25,25,4620656.685,385893.773,1.553,Polygon
11,48,25,25,4620657.065,385894.39,1.538,Polygon
11,49,25,25,4620657.94,385894.623,1.527,Polygon
11,50,25,25,4620659.16,385894.502,1.547,Polygon
11,51,25,25,4620660.1,385894.294,1.601,Polygon
11,52,25,25,4620660.494,385893.69,1.571,Polygon
11,53,25,25,4620660.838,385893.018,1.569,Polygon
11,54,25,25,4620661.281,385891.797,1.553,Polygon
11,55,25,25,4620661.531,385890.821,1.598,Polygon
11,56,25,25,4620660.696,385889.918,1.596,Polygon
11,57,25,25,4620660.656,385888.528,1.621,Polygon
11,58,25,25,4620659.721,385888.144,1.621,Polygon
12,59,03,03a,4620654.072,385888.347,1.587,
12,60,03,03a,4620647.479,385863.291,1.631,
13,61,05,05a,4620641.692,385863.418,1.64,
13,62,05,05a,4620642.232,385855.913,1.644,
14,63,09,09a,4620623.989,385850.529,1.866,
14,64,09,09a,4620617.324,385863.676,1.868,
15,65,01,01a,4620613.18,385861.554,1.394,
15,66,01,01a,4620601.926,385867.852,1.243,
16,67,10,10a,4620600.79,385869.527,1.39,
17,68,10,10a,4620608.245,385867.685,1.752,
18,69,06,06a,4620598.005,385877.367,1.685,
18,70,06,06a,4620588.472,385878.907,1.665,
19,71,04,04a,4620571.064,385875.896,1.69,
19,72,04,04a,4620566.361,385877.758,1.675,
20,73,01,01a,4620567.246,385868.848,0.741,
20,74,01,01a,4620549.821,385870.248,1.071,
21,75,06,06a,4620541.689,385874.666,1.676,
21,76,06,06a,4620534.845,385873.546,1.677,
22,77,05,05a,4620532.84,385872.812,1.682,
22,78,05,05a,4620527.412,385871.542,1.683,
23,79,03,03a,4620509.873,385873.308,1.691,
23,80,03,03a,4620499.627,385886.457,1.693,
24,81,33d,33d,4620489.104,385887.372,1.706,
25,82,33d,33d,4620487.966,385884.605,1.689,
25,83,33d,33d,4620490.655,385883.244,1.709,
27,84,09,09a,4620476.136,385898.534,1.857,
27,85,09,09a,4620473.286,385891.331,1.913,
28,86,32,32,4620477.034,385888.107,1.793,
28,87,32,32,4620475.06,385880.111,1.797,
29,88,09,09a,4620466.05,385845.558,1.89,
29,89,09,09a,4620458.017,385843.591,1.729,
30,90,10,10a,4620442.656,385837.042,1.68,
31,91,25,25,4620466.467,385861.717,1.724,Polygon
31,92,25,25,4620465.608,385861.259,1.704,Polygon
31,93,25,25,4620464.371,385861.395,1.678,Polygon
31,94,25,25,4620463.635,385861.844,1.654,Polygon
31,95,25,25,4620463.175,385862.641,1.672,Polygon
31,96,25,25,4620463.238,385863.424,1.751,Polygon
31,97,25,25,4620463.788,385864.091,1.746,Polygon
31,98,25,25,4620464.583,385864.309,1.739,Polygon
31,99,25,25,4620465.441,385864.145,1.647,Polygon
31,100,25,25,4620465.994,385863.497,1.669,Polygon
31,101,25,25,4620466.275,385862.795,1.676,Polygon
31,102,25,25,4620466.663,385862.038,1.674,Polygon
32,103,33d,33d,4620517.51,385968.262,1.742,
32,104,33d,33d,4620521.104,385957.581,1.749,
33,105,15,15,4620531.044,385961.184,1.624,
33,106,15,15,4620529.337,385957.437,1.6,
34,107,15,15,4620527.845,385966.644,1.695,
35,108,10,10a,4620630.812,386060.036,1.705,
36,109,04,04a,4620667.846,386028.093,1.572,
36,110,04,04a,4620667.738,386031.649,1.584,
37,111,05,05a,4620697.181,385982.336,1.481,
37,112,05,05a,4620699.401,385976.576,1.424,
38,113,06,06a,4620718.28,385942.599,1.551,
38,114,06,06a,4620719.35,385942.427,1.548,
39,115,03,03a,4620721.296,385941.343,1.589,
39,116,03,03a,4620734.185,385934.313,1.546,
40,117,15,15,4620738.255,385934.17,1.57,
41,118,15,15,4620763.838,385947.071,1.56,
41,119,15,15,4620765.156,385943.468,1.58,
