PolygonNum,Point Number,Subclass,Northing,Easting,Altitude,Notes
,RTCM0043,,42.58923911N,70.78731949W,-6.303,
1,1,03a,42.65441654N,70.77448195W,-25.444,
1,2,03a,42.65442074N,70.77446093W,-25.43,
2,3,34b,42.65442757N,70.77443782W,-25.435,
3,4,03a,42.65443483N,70.77441469W,-25.429,
4,5,34bs,42.65443949N,70.77438948W,-25.452,
4,6,34bs,42.65444761N,70.77435162W,-25.455,
5,7,31bs,42.65445135N,70.77432574W,-25.478,
5,8,31bs,42.65446742N,70.77424036W,-25.475,
6,9,07b,42.65447839N,70.77419036W,-25.487,
6,10,07b,42.65448712N,70.77414709W,-25.494,
7,11,03a,42.65449955N,70.77410345W,-25.478,
7,12,03a,42.65450686N,70.77403515W,-25.45,
7,13,03a,42.65452922N,70.77402033W,-25.423,
7,14,03a,42.65458837N,70.77410227W,-25.438,
8,15,05a,42.65460903N,70.77411195W,-25.467,
8,16,05a,42.65467148N,70.77400471W,-25.445,
9,17,06a,42.65469724N,70.77401162W,-25.462,
9,18,06a,42.65472446N,70.77404068W,-25.486,
10,19,02a,42.65473860N,70.77407114W,-25.599,
10,20,02a,42.65465143N,70.77420268W,-25.607,
,21,21kn,42.65466703N,70.77421141W,-26.135,Ditch
,22,21kn,42.65461203N,70.77429403W,-26.01,Ditch
,23,21kn,42.65474633N,70.77409275W,-26.156,Ditch
,24,21kn,42.65463656N,70.77430782W,-26.069,Ditch
,25,21kn,42.65467943N,70.77422653W,-26.073,Ditch
,26,21kn,42.65473612N,70.77413374W,-25.845,Ditch
11,27,02a,42.65469224N,70.77422771W,-25.651,
11,28,02a,42.65485998N,70.77396221W,-25.695,
12,29,06a,42.65487967N,70.77395727W,-25.575,
12,30,06a,42.65493128N,70.77388360W,-25.6,
13,31,01a,42.65494896N,70.77384701W,-25.699,
13,32,01a,42.65495418N,70.77383616W,-25.777,
,33,22j,42.65496720N,70.77383883W,-26.161,Creek
,34,22j,42.65502068N,70.77388711W,-26.183,Creek
,35,22j,42.65491923N,70.77374074W,-26.226,Creek
,36,22j,42.65493435N,70.77372363W,-26.164,Creek
,37,22j,42.65497691N,70.77381568W,-26.156,Creek
,38,22j,42.65503980N,70.77387251W,-26.345,Creek
14,39,01a,42.65498429N,70.77380676W,-25.989,
14,40,01a,42.65499315N,70.77377854W,-25.698,
15,41,06a,42.65501920N,70.77372709W,-25.542,
15,42,06a,42.65499735N,70.77371144W,-25.589,
16,43,01a,42.65495443N,70.77366631W,-25.692,
16,44,01a,42.65501156N,70.77356876W,-25.709,
17,45,02b,42.65503480N,70.77352936W,-25.58,
18,46,34bs,42.65504858N,70.77350452W,-25.531,
19,47,04bs,42.65506083N,70.77348367W,-25.526,
19,48,04bs,42.65506724N,70.77347115W,-25.498,
20,49,34bs,42.65507729N,70.77345479W,-25.485,
21,50,04as,42.65508848N,70.77343476W,-25.51,
21,51,04as,42.65512926N,70.77336516W,-25.497,
22,52,01a,42.65515853N,70.77336620W,-25.982,
22,53,01a,42.65515122N,70.77340326W,-25.819,
23,54,02a,42.65513981N,70.77343232W,-25.607,
23,55,02a,42.65510694N,70.77351305W,-25.508,
23,56,02a,42.65514173N,70.77356391W,-25.54,
24,57,01a,42.65515746N,70.77357677W,-25.638,
24,58,01a,42.65517672N,70.77358741W,-25.994,
25,59,02a,42.65515450N,70.77362661W,-25.581,
25,60,02a,42.65510897N,70.77374877W,-25.546,
26,61,06a,42.65509813N,70.77376958W,-25.54,
26,62,06a,42.65508397N,70.77379300W,-25.498,
27,63,01a,42.65505790N,70.77384685W,-25.757,
27,64,01a,42.65505025N,70.77386088W,-25.845,
,65,22j,42.65504557N,70.77387130W,-26.176,Creek
,66,22j,42.65509999N,70.77394213W,-26.268,Creek
,67,22j,42.65498579N,70.77382759W,-26.194,Creek
,68,22j,42.65496851N,70.77384380W,-26.002,Creek
,69,22j,42.65502424N,70.77389681W,-26.051,Creek
,70,22j,42.65507880N,70.77396322W,-26.139,Creek
28,71,06a,42.65499833N,70.77394521W,-25.55,
28,72,06a,42.65496499N,70.77400765W,-25.527,
