PolygonNum,Point Number,Class,Lat,Long,Altitude,Notes (Revised),Field Notes
29,73,34bs,42.6549485,-70.77402744,-25.504,,
29,74,34bs,42.65491803,-70.77408522,-25.538,,
30,75,04bs,42.65490601,-70.7741091,-25.554,,
30,76,04as,42.65489473,-70.77413425,-25.506,,
30,77,04as,42.65490212,-70.77414057,-25.54,,
30,78,04as,42.65493067,-70.77415496,-25.562,,water present at low tide
31,79,07bs,42.65494875,-70.77416412,-25.549,,
31,80,07a,42.65498119,-70.77418091,-25.539,,
32,81,03a,42.65501127,-70.77419692,-25.505,,
32,82,03a,42.65511706,-70.77424911,-25.499,,
33,83,04a,42.65513543,-70.77425685,-25.483,,
33,84,04a,42.65517164,-70.77427407,-25.505,,
34,85,03a,42.65518717,-70.77428381,-25.509,,
34,86,03a,42.65520437,-70.77429306,-25.508,,
35,87,06a,42.65522151,-70.77430289,-25.511,,
35,88,06a,42.65528313,-70.77434217,-25.541,,small peat lump towards end of transect
35,89,06a,42.65532416,-70.77437913,-25.588,,
36,90,06a,42.65492414,-70.77457781,-25.664,Does not connect to 89 - 1mu,can see following ditch in photo
,91,21j,42.65491327,-70.77458572,-25.809,Ditch,vegetation is covering part of ditch
,92,21j,42.654864,-70.7745325,-25.817,Ditch,vegetation is covering part of ditch
,93,21j,42.65498258,-70.77465619,-26.049,Ditch,vegetation is covering part of ditch
,94,21j,42.65491122,-70.77458883,-25.77,Ditch,vegetation is covering part of ditch
,95,21j,42.6549758,-70.77466356,-25.787,Ditch,vegetation is covering part of ditch
,96,21j,42.6548563,-70.77454204,-25.857,Ditch,vegetation is covering part of ditch
37,97,06a,42.65489737,-70.77459246,-25.653,,
37,98,06a,42.65485432,-70.7746246,-25.576,,
38,99,04a,42.65483731,-70.77463497,-25.574,,
38,100,04a,42.6548216,-70.77464284,-25.59,,
39,101,06a,42.65480527,-70.77465441,-25.593,,two small peat blocks in mapping unit
39,102,06a,42.65474949,-70.77468985,-25.677,,
39,103,06a,42.65474135,-70.77468193,-25.695,,
39,104,06a,42.65472541,-70.77465947,-25.718,,done at area right before ditch
,105,21kn,42.65474847,-70.77458499,-26.068,Ditch,outlined other ditch because vegetation is covering ditch in area we were supposed to sample
,106,21kn,42.65473132,-70.77462159,-25.937,Ditch,
,107,21kn,42.65477226,-70.77453379,-25.889,Ditch,
,108,21kn,42.65473953,-70.77457986,-25.893,Ditch,
,109,21kn,42.65472653,-70.7746166,-25.81,Ditch,
,110,21kn,42.65476086,-70.77453213,-25.912,Ditch,
40,111,06a,42.6546946,-70.77462348,-25.657,,
40,112,06a,42.65476112,-70.77447833,-25.667,,
40,113,06b,42.65475253,-70.77447194,-25.65,,
40,114,06b,42.65473194,-70.77445647,-25.627,,
40,115,06a,42.65471484,-70.77444237,-25.614,,
40,116,06a,42.65468284,-70.77441478,-25.616,,
40,117,06b,42.65466766,-70.77440131,-25.609,,
40,118,06b,42.65465547,-70.77439176,-25.633,,
40,119,06a,42.65463871,-70.77437752,-25.62,,
40,120,06a,42.65462116,-70.77436041,-25.631,,
41,121,34bs,42.65459429,-70.77438457,-25.607,,
41,122,34bs,42.6545696,-70.7744414,-25.576,,
42,123,03a,42.6545612,-70.77446614,-25.532,,
42,124,03a,42.6545376,-70.77451223,-25.51,,
43,125,04a,42.65452951,-70.77453294,-25.497,,
43,126,04a,42.65445871,-70.77467562,-25.521,,
44,127,03a,42.65444867,-70.77469542,-25.523,,
44,128,03a,42.65441704,-70.77476254,-25.532,,
45,129,06a,42.65439476,-70.77480591,-25.535,,
45,130,06a,42.65428603,-70.77503804,-25.402,,
46,131,07a,42.65427631,-70.77505973,-25.381,,"phragmites is present, but not enough"
46,132,07a,42.6542577,-70.77510864,-25.31,,"phragmites is present, but not enough"
47,133,12a,42.65425462,-70.77512085,-25.378,,
47,134,12a,42.65424591,-70.7751365,-25.355,,
48,135,10a,42.65423798,-70.77516031,-25.324,,
48,136,10a,42.65423282,-70.77518986,-25.281,,
49,137,12a,42.65422291,-70.77521048,-25.292,,
49,138,12a,42.65415712,-70.77551845,-25.05,,
49,139,12a,42.65423772,-70.77526244,-25.277,,
50,140,10a,42.65425157,-70.77516879,-25.332,,some high marsh (sp) mixed in
50,141,10a,42.654308,-70.77514577,-25.363,,some high marsh (sp) mixed in
51,142,12a,42.65432044,-70.77514235,-25.408,,
51,143,12a,42.65432819,-70.77513994,-25.38,,
52,144,06a,42.65434578,-70.77513238,-25.401,,
52,145,06a,42.65448923,-70.7750876,-25.537,,
53,146,31bs,42.65450569,-70.77508374,-25.37,,
53,147,31bs,42.65451597,-70.77507969,-25.411,,
54,148,21kn,42.65452548,-70.77507714,-26.178,,1 mapping unit
55,149,06a,42.65454042,-70.77507216,-25.62,,
55,150,06a,42.65467238,-70.7750344,-25.671,,ends before crossing veg. ditch
,151,21akn,42.65468997,-70.7750306,-25.715,Ditch,vegetated ditch
