Poly Number,Point Number,Subclass,"Subclass + Attribute

",Northing,Easting,Elevation,Notes
01,1,08,08a,4670516.594,357466.494,1.531,
01,2,08,08a,4670511.334,357462.599,1.522,
02,3,08,08a,4670538.433,357469.168,1.476,
04,4,06,06a,4670562.868,357472.411,1.338,
04,5,06,06a,4670535.699,357496.923,1.333,
05,6,05,05a,4670533.003,357502.715,1.3,
05,7,05,05a,4670525.736,357505.971,1.269,
06,8,04,04a,4670522.075,357508.002,1.264,
06,9,04,04a,4670521.338,357511.841,1.267,
07,10,03,03a,4670521.551,357517.041,1.232,
07,11,03,03a,4670510.292,357523.617,1.257,
08,12,02,02a,4670499.012,357532.349,1.152,
08,13,02f,02f,4670499.458,357524.122,1.298,
09,14,02,02a,4670479.205,357513.684,1.199,
09,15,02,02a,4670479.597,357516.152,1.252,
10,16,03,03a,4670474.773,357519.738,1.287,
10,17,03,03a,4670463.936,357525.354,1.272,
11,18,03,03a,4670454.213,357528.547,1.233,
11,19,03,03a,4670441.476,357526.978,1.191,
12,20,01,01a,4670396.232,357530.612,1.027,
12,21,01,01a,4670383.131,357535.998,0.928,
13,22,01,01a,4670379.563,357536.229,0.846,
13,23,01,01a,4670376.101,357536.979,0.826,
14,24,01,01a,4670380.251,357522.599,0.982,
14,25,01,01a,4670366.066,357535.804,0.841,
15,26,01,01a,4670402.845,357513.321,1.017,
15,27,01,01a,4670412.814,357508.418,0.99,
16,28,05,05a,4670450.209,357487.807,1.227,
16,29,05,05a,4670458.179,357488.952,1.304,
17,30,01,01a,4670424.73,357489.864,0.965,
17,31,01,01a,4670437.179,357494.565,1.057,
18,32,05,05a,4670447.233,357482.133,1.213,
18,33,05,05a,4670448.426,357479.182,1.234,
19,34,04,04a,4670415.072,357468.372,1.205,
19,35,04,04a,4670419.731,357465.863,1.23,
20,36,05,05a,4670419.49,357451.46,1.245,
20,37,05,05a,4670410.737,357449.736,1.196,
21,38,09,09a,4670441.271,357427.375,1.697,
21,39,09,09a,4670437.912,357432.393,1.624,
21,40,09,09a,4670448.105,357436.541,1.638,
21,41,09,09a,4670451.055,357428.734,1.767,
22,42,09,09a,4670469.294,357472.56,1.86,
22,43,09,09a,4670474.81,357473.824,1.615,
23,44,10,10a,4670476.649,357469.915,1.471,
23,45,10,10a,4670472.38,357469.323,1.444,
24,46,12,12a,4670583.982,357461.045,1.336,
24,47,12,12a,4670587.207,357457.027,1.326,
25,48,05,05a,4670360.717,357402.092,1.235,
25,49,05,05a,4670362.43,357407.537,1.282,
26,50,03,03a,4670336.941,357443.219,1.014,
26,51,03,03a,4670328.937,357443.327,1.131,
27,52,03,03a,4670320.317,357448.518,1.173,
27,53,03,03a,4670304.197,357472.861,1.103,
28,54,01,01a,4670295.059,357486.918,0.9,
28,55,01,01a,4670302.365,357481.466,1.041,
29,56,01,01a,4670343.835,357457.545,0.705,Polygon
29,57,01,01a,4670352.914,357453.365,0.65,Polygon
29,58,01,01a,4670349.393,357449.794,0.576,Polygon
29,59,01,01a,4670345.936,357452.149,0.642,Polygon
29,60,01,01a,4670346.638,357454.701,0.698,Polygon
20,61,01,01a,4670302.231,357488.937,0.82,
20,62,01,01a,4670300.441,357493.183,0.709,
31,63,01,01a,4670311.34,357512.016,0.979,
31,64,01,01a,4670315.542,357512.4,1.197,
32,65,25,25,4670317.687,357443.306,1.151,
32,66,25,25,4670317.313,357443.339,1.11,
32,67,25,25,4670316.698,357443.56,1.084,
32,68,25,25,4670315.943,357443.604,1.129,
32,69,25,25,4670315.25,357443.897,1.124,
32,70,25,25,4670314.668,357444.312,1.135,
32,71,25,25,4670314.671,357444.962,1.15,
32,72,25,25,4670315.263,357445.237,1.14,
32,73,25,25,4670315.876,357445.447,1.139,
32,74,25,25,4670316.683,357445.629,1.14,
32,75,25,25,4670317.197,357445.758,1.088,
32,76,25,25,4670317.828,357445.565,1.076,
32,77,25,25,4670318.49,357445.12,1.098,
32,78,25,25,4670319.235,357445.144,1.105,
32,79,25,25,4670319.484,357445.004,1.105,
32,80,25,25,4670319.021,357444.729,1.13,
32,81,25,25,4670318.816,357444.316,1.094,
32,82,25,25,4670318.498,357444.1,1.116,
32,83,25,25,4670317.838,357443.289,1.136,
