Poly Number,Point Number,Subclass,"Subclass + Attribute

",Northing,Easting,Elevation,Notes
01,1,03,03a,4670115.634,358146.358,1.32,
02,2,06,06a,4670114.173,358144.767,1.382,Arrowgrass present
02,3,06,06a,4670110.83,358141.57,1.433,
03,4,Arrowgrass,Arrowgrass,4670109.642,358139.019,1.451,Triglochin maritima (arrowgrass)
04,5,09,09a,4670106.632,358140.108,1.592,
05,6,06,06a,4670106.238,358137.688,1.404,Arrowgrass present
06,7,09,09a,4670104.712,358136.092,1.481,Arrowgrass present
06,8,09,09a,4670102.519,358132.885,1.499,
07,9,06,06a,4670101.588,358131.075,1.348,
07,10,06,06a,4670100.263,358128.115,1.269,
08,11,05,05a,4670099.112,358126.431,1.254,
08,12,05,05a,4670094.594,358118.699,1.298,
09,13,03,03a,4670095.181,358113.665,1.231,
09,14,03,03a,4670096.935,358095.169,1.255,
10,15,25,25,4670088.533,358103.245,1.266,Polygon
10,16,25,25,4670087.516,358103.222,1.265,Polygon
10,17,25,25,4670086.385,358104.713,1.265,Polygon
10,18,25,25,4670086.498,358107.142,1.283,Polygon
10,19,25,25,4670087.751,358108.492,1.252,Polygon
10,20,25,25,4670088.728,358108.543,1.263,Polygon
10,21,25,25,4670089.513,358106.939,1.198,Polygon
10,22,25,25,4670089.268,358106.084,1.279,Polygon
10,23,25,25,4670088.697,358103.594,1.225,Polygon
11,24,03,03a,4670084.091,358098.538,1.265,
12,25,05,05a,4670082.997,358100.422,1.301,
12,26,05,05a,4670081.983,358108.549,1.306,
13,27,04,04a,4670081.827,358110.738,1.244,
13,28,04,04a,4670081.636,358111.814,1.242,
14,29,03,03a,4670081.729,358114.046,1.236,
14,30,03,03a,4670081.201,358116.034,1.195,
15,31,04,04a,4670081.126,358118.271,1.284,
15,32,04,04a,4670082.033,358121.271,1.285,
16,33,05,05a,4670082.776,358123.238,1.318,
16,34,05,05a,4670084.158,358127.465,1.281,
17,35,06,06a,4670085.008,358129.397,1.355,
18,36,06,06a,4670093.153,358146.675,1.439,
18,37,06,06a,4670091.577,358152.954,1.354,
19,38,01,01a,4670090.814,358155.317,0.942,
19,39,01,01a,4670090.458,358156.158,1.074,
20,40,06,06a,4670089.757,358158.155,1.335,
20,41,06,06a,4670081.149,358175.659,1.45,
21,42,09,09a,4670080.538,358178.408,1.572,
21,43,09,09a,4670079.717,358179.857,1.521,
22,44,09,09a,4670076.779,358182.093,1.445,
22,45,09,09a,4670063.795,358196.975,1.48,
23,46,05,05a,4670061.333,358197.91,1.356,
23,47,05,05a,4670059.362,358198.813,1.365,
24,48,03,03a,4670056.921,358199.24,1.184,
24,49,03,03a,4670054.242,358200.604,1.105,
25,50,01,01a,4670052.266,358201.367,0.987,
25,51,01,01a,4670053.261,358205.558,1.126,
26,52,10,10a,4670055.547,358206.478,1.212,
26,53,10,10a,4670057.043,358212.216,1.388,
27,54,32,32,4670035.061,358196.92,1.471,
28,55,10,10a,4670034.269,358194.864,1.394,
28,56,10,10a,4670033.563,358191.156,1.338,
29,57,06,06a,4670033.472,358189.016,1.367,
29,58,06,06a,4670033.069,358183.785,1.312,
30,59,05,05a,4670032.95,358181.656,1.276,
30,60,05,05a,4670032.75,358179.167,1.259,
31,61,04,04a,4670032.09,358177.18,1.271,
31,62,04,04a,4670031.055,358174.323,1.257,
32,63,03,03a,4670030.322,358172.328,1.259,
32,64,03,03a,4670030.004,358171.32,1.254,
33,65,04,04a,4670029.37,358169.324,1.285,
33,66,04,04a,4670027.892,358165.074,1.254,
34,67,03,03a,4670027.37,358163.11,1.227,
34,68,03,03a,4670027.217,358161.937,1.019,
35,69,01,01a,4670060.674,358141.894,0.571,
35,70,01,01a,4670069.594,358149.162,0.759,
36,71,10,10a,4670069.948,358151.812,1.158,
36,72,10,10a,4670071.124,358154.904,1.239,
37,73,06,06a,4670072.844,358157.657,1.298,
37,74,06,06a,4670077.636,358172.717,1.354,
38,75,08,08a,4670097.923,358187.052,1.497,
38,76,08,08a,4670096.271,358189.419,1.458,
39,77,08,08a,4670125.67,358182.592,1.394,
39,78,08,08a,4670130.849,358187.053,1.388,
40,79,08,08a,4670131.621,358191.519,1.445,
41,80,08,08a,4670128.719,358195.105,1.52,
41,81,08,08a,4670132.284,358198.588,1.444,
42,82,08,08a,4670133.97,358197.598,1.427,
43,83,09,09a,4670139.452,358204.632,1.62,Polygon
43,84,09,09a,4670141.593,358206.681,1.663,Polygon
43,85,09,09a,4670138.948,358208.902,1.671,Polygon
43,86,09,09a,4670137.045,358207.308,1.618,Polygon
43,87,09,09a,4670135.296,358209.065,1.632,Polygon
43,88,09,09a,4670134.164,358205.908,1.554,Polygon
43,89,09,09a,4670137.886,358195.424,1.496,Polygon
43,90,09,09a,4670139.839,358195.366,1.534,Polygon
43,91,09,09a,4670142.017,358203.149,1.533,Polygon
43,92,09,09a,4670143.805,358205.196,1.478,Polygon
43,93,09,09a,4670141.025,358203.733,1.663,Polygon
44,94,04,04a,4670137.994,358185.863,1.387,
44,95,04,04a,4670137.95,358184.951,1.376,
45,96,03,03a,4670137.581,358182.982,1.406,
45,97,03,03a,4670137.418,358180.258,1.404,
46,98,04,04a,4670138.401,358179.232,1.394,
46,99,04,04a,4670138.596,358176.989,1.395,
47,100,06,06a,4670141.489,358174.924,1.364,
47,101,06,06a,4670140.146,358149.272,1.355,
