,NAD 83 UTM 19N (EPSG Code: 26919),,,,,
,Units: meters,,,,,
TRANSECT,POINT #,SUBCLASS,NORTHING,EASTING,ELEVATION,NOTES
,RTCM0052,,4644294.626,362797.687,40.041,pathway
1,1,31,4670394.505,357429.934,1.173,flowering - open
1,2,06ac,4670396.306,357431.119,1.195,flowering - open
1,3,06a,4670398.116,357432.198,1.234,flowering - open
1,4,06a,4670401.102,357434.414,1.272,flowering - tight
1,5,06a,4670402.771,357435.806,1.258,flowering - tight
1,6,06a,4670414.733,357448.67,1.23,flowering - tight
1,7,02a,4670416.382,357450.088,1.246,
"1 , 2",8,02a,4670417.781,357451.801,1.224,
2,9,02a,4670419.324,357450.56,1.279,
2,10,06a,4670420.875,357449.396,1.304,flowering - tight
2,11,06a,4670425.729,357444.434,1.37,
2,12,08a,4670427.059,357442.725,1.353,
2,13,08a,4670432.188,357436.442,1.499,
2,14,09ac,4670433.883,357435.106,1.539,5 stocks of phrag with shrub
"2,3",15,32,4670435.535,357434.043,1.572,
"3,4",16,32,4670433.425,357431.096,1.579,some salicornia
4,17,09a,4670434.772,357429.425,1.637,with phrag
4,18,12a,4670436.042,357428.045,1.642,"with shrubs, triangulate 18-20 "
"4,5",19,12a,4670441.533,357416.764,1.796,
5,20,12a,4670453.397,357428.285,1.813,
6,21,12a,4670437.824,357433.991,1.624,
6,22,32,4670436.34,357434.971,1.606,2 MU
6,23,32,4670434.657,357436.169,1.55,2 MU
6,24,08a,4670433.062,357437.454,1.497,1 MU
"6,7",25,14a,4670431.687,357439.072,1.488,"mixed with juncus, bees present"
7,26,14a,4670431.202,357442.066,1.484,
7,27,08a,4670431.188,357444.143,1.462,
7,28,08a,4670430.979,357447.434,1.42,
7,29,06a,4670430.864,357449.461,1.392,flowering - tight
7,30,06a,4670431.982,357456.732,1.256,
7,31,02a,4670432.523,357458.719,1.278,some flowering (20% TSA)
7,32,02a,4670433.504,357460.903,1.274,
7,33,06a,4670433.833,357461.905,1.294,flowering - tight
"7,8",34,06a,4670435.58,357466.1,1.268,flowering - tight
