PolygonNum,PointNum,Subclass,Northing,Easting,Altitude,Notes
1,1,03a,4597262.105,328900.607,0.383,line
1,2,03a,4597265.869,328889.47,0.329,line
2,3,01a,4597266.585,328887.993,0.198,line
2,4,01a,4597273.817,328885.539,0.131,line
3,5,03a,4597275.081,328885.812,0.266,line
3,6,03a,4597284.214,328884.543,0.354,line
4,7,10a,4597285.441,328884.626,0.365,line
4,8,10a,4597288.136,328884.132,0.356,line
5,9,33,4597288.903,328884.151,0.355,line
5,10,33,4597290.008,328883.891,0.364,line
6,11,03a,4597291.233,328883.381,0.38,1mu
7,12,03a,4597304.251,328876.81,0.363,1mu
8,13,33,4597305.438,328876.295,0.354,1mu
9,14,03a,4597307.42,328875.457,0.387,1mu
10,15,03a,4597329.34,328862.807,0.403,1mu
11,16,33,4597330.585,328862.229,0.391,line
11,17,33,4597342.428,328855.282,0.395,line
12,18,10a,4597342.468,328854.181,0.392,line
12,19,10a,4597345.807,328846.644,0.345,line
13,20,03a,4597346.402,328844.957,0.369,line
13,21,03a,4597351.868,328828.69,0.298,line
14,22,01a,4597352.086,328827.729,0.36,line
14,23,01a,4597352.228,328825.331,0.259,line
14,24,01a,4597352.117,328825.179,0.267,line
14,25,01a,4597353.919,328824.328,0.246,line
15,26,22,4597354.327,328822.682,0.031,"edge,R"
15,27,22,4597353.284,328823.238,0.013,"edge,R"
15,28,22,4597350.074,328825.31,0.109,"edge,R"
15,29,22,4597344.816,328827.682,-0.132,"edge,R"
15,30,22,4597339.917,328828.914,0.055,"edge,R"
15,31,22,4597336.236,328831.508,0.19,"edge,R"
15,32,22,4597333.839,328832.065,0.165,"edge,R"
15,33,22,4597330.514,328833.664,0.135,"edge,R"
15,34,22,4597327.688,328835.005,0.094,"edge,R"
16,35,9,4597345.114,328856.645,0.593,line
16,36,9,4597331.251,328863.868,0.572,line
16,37,9,4597332.27,328865.583,0.765,line
16,38,9,4597352.414,328854.64,0.823,line
17,39,03a,4597357.93,328843.581,0.38,line
17,40,03a,4597381.09,328814.897,0.291,line
17,41,03a,4597382.79,328815.165,0.208,line
17,42,03a,4597380.019,328823.909,0.286,line
18,43,13,4597380.519,328824.276,0.226,poly
18,44,13,4597381.725,328824.696,-0.027,poly
18,45,13,4597378.88,328833.015,0.314,poly
18,46,13,4597380.126,328832.251,0.139,poly
19,47,33,4597380.159,328841.876,0.382,line
19,48,33,4597400.579,328843.764,0.37,line
20,49,10a,4597400.533,328843.808,0.344,line
20,50,10a,4597405.332,328843.554,0.378,line
21,51,03a,4597450.275,328837.692,0.416,line
21,52,03a,4597482.376,328829.094,0.345,line
22,53,03a,4597537.565,328827.055,0.351,1mu
23,54,03a,4597589.066,328794.627,0.255,1mu
24,55,01b,4597590.086,328793.948,0.179,line
24,56,01b,4597588.752,328787.666,0.153,line
24,57,01b,4597604.2,328785.661,0.148,line
25,58,03b,4597605.863,328785.21,0.27,line
25,59,03b,4597610.171,328784.933,0.334,line
26,60,03a,4597611.79,328785.096,0.303,line
26,61,03a,4597626.245,328783.719,0.35,line
26,62,03a,4597631.32,328772.065,0.362,line
26,63,03a,4597629.065,328773.212,0.36,line
27,64,03b,4597627.832,328773.704,0.313,line
27,65,03b,4597621.871,328775.844,0.271,line
28,66,03a,4597619.158,328777.114,0.28,line
28,67,03a,4597609.726,328795.424,0.307,line
29,68,13b,4597608.782,328796.964,0.275,line
29,69,13b,4597607.11,328801.905,0.226,line
30,70,01b,4597606.644,328802.889,0.206,line
30,71,01b,4597606.151,328804.248,0.17,line
31,72,03a,4597579.344,328833.339,0.418,line
31,73,03a,4597611.086,328848.301,0.341,line
32,74,03b,4597611.587,328847.18,0.188,line
32,75,03b,4597615.511,328839.869,0.144,line
32,76,03b,4597607.898,328837.619,0.2,line
32,77,03b,4597613.768,328847.175,0.191,line
33,78,03a,4597657.067,328842.365,0.328,1mu
34,79,03a,4597681.064,328892.598,0.406,1mu
35,80,07a,4597681.725,328891.759,0.453,line
35,81,07a,4597684.498,328890.57,0.571,line
36,82,09a,4597685.425,328890.319,0.609,line
36,83,09a,4597693.4,328891.568,0.547,line
37,84,03a,4597722.585,328891.459,0.315,line
37,85,03a,4597749.685,328879.675,0.346,line
38,86,03b,4597750.625,328879.038,0.284,line
38,87,03b,4597754.831,328877.599,0.319,line
39,88,03a,4597756.042,328877.421,0.354,line
39,89,03a,4597760.359,328865.352,0.307,line
40,90,03b,4597760.657,328864.723,0.272,line
40,91,03b,4597761.864,328864.055,0.212,line
41,92,03a,4597762.858,328864.212,0.319,line
41,93,03a,4597766.624,328865.383,0.336,line
41,94,03a,4597767.104,328862.243,0.315,line
