PolygonNum,PointNum,Subclass,Northing,Easting,Altitude,Notes,Field Notes
42,95,22,4597637.945,328700.867,0.187,"edge,R",
42,96,22,4597639.048,328700.28,0.153,"edge,R",
42,97,22,4597640.313,328699.135,0.314,"edge,R",
42,98,22,4597641.218,328697.762,0.297,"edge,R",
42,99,22,4597641.598,328696.998,0.284,"edge,R",
42,100,22,4597642.204,328696.227,0.232,"edge,R",
42,101,22,4597642.791,328695.208,0.281,"edge,R",
42,102,22,4597643.448,328693.868,0.1,"edge,R",
42,103,22,4597643.566,328692.071,0.185,"edge,R",
42,104,22,4597643.044,328689.577,0.183,"edge,R",
42,105,22,4597642.621,328687.992,0.232,"edge,R",
42,106,22,4597641.576,328685.463,0.188,"edge,R",
42,107,22,4597641.976,328684.792,0.111,"edge,R",
42,108,22,4597641.815,328683.282,0.102,"edge,R",
42,109,22,4597640.897,328680.277,0.214,"edge,R",
42,110,22,4597641.086,328678.083,0.179,"edge,R",
42,111,22,4597641.324,328675.991,0.045,"edge,R",
42,112,22,4597641.656,328674.481,-0.094,"edge,R",
43,113,22,4597641.665,328670.567,0.085,"edge,R",
43,114,22,4597641.902,328668.833,0.119,"edge,R",
43,115,22,4597641.987,328666.799,0.052,"edge,R",
43,116,22,4597641.599,328664.74,0.08,"edge,R",
43,117,22,4597641.124,328664.085,-0.003,"edge,R",
43,118,22,4597641.203,328661.712,0.232,"edge,R",
43,119,22,4597641.52,328657.176,0.108,"edge,R",
43,120,22,4597641.691,328652.97,0.203,"edge,R",
43,121,22,4597642.019,328650.727,0.103,"edge,R",
43,122,22,4597642.079,328648.164,0.073,"edge,R",
43,123,22,4597642.099,328645.756,0.243,"edge,R",
43,124,22,4597642.522,328643.604,0.079,"edge,R",
43,125,22,4597642.645,328642.338,-0.112,"edge,R",
44,126,22,4597642.713,328638.882,-0.013,"edge,R",
44,127,22,4597643.268,328636.335,0.035,"edge,R",
44,128,22,4597643.089,328633.06,-0.028,"edge,R",
44,129,22,4597642.7,328630.791,0.033,"edge,R",
44,130,22,4597642.276,328627.197,0.152,"edge,R",
44,131,22,4597642.498,328625.896,0.024,"edge,R",
44,132,22,4597642.407,328621.156,0.094,"edge,R",
44,133,22,4597643.145,328619.717,-0.11,"edge,R",
44,134,22,4597643.78,328615.782,0.072,"edge,R",
44,135,22,4597644.462,328609.817,0.133,"edge,R",
44,136,22,4597645.121,328608.322,-0.061,"edge,R",
44,137,22,4597644.542,328606.496,-0.058,"edge,R",
45,138,22,4597644.465,328602.972,0.144,"edge,R",
45,139,22,4597644.768,328599.946,0.094,"edge,R",
45,140,22,4597645.188,328597.925,-0.05,"edge,R",
45,141,22,4597645.146,328595.747,0.02,"edge,R",
45,142,22,4597644.434,328594.929,0.204,"edge,R",
45,143,22,4597644.263,328593.635,0.063,"edge,R",
45,144,22,4597644.367,328590.287,0.133,"edge,R",
45,145,22,4597644.583,328587.152,0.1,"edge,R",
45,146,22,4597645.063,328582.898,0.177,"edge,R",
45,147,22,4597646.284,328579.129,0.004,"edge,R",
45,148,22,4597646.742,328575.839,0.053,"edge,R",
45,149,22,4597647.183,328573.791,-0.099,"edge,R",
45,150,22,4597647.174,328571.883,-0.154,"edge,R",
45,151,22,4597646.782,328569.864,-0.197,"edge,R",
46,152,03a,4597630.67,328586.242,0.345,line,
46,153,03a,4597635.96,328580.339,0.333,line,
47,154,02b,4597637.149,328579.28,0.309,line,stunt ta
47,155,02b ,4597638.066,328578.542,0.284,line,stunt ta
48,156,03a,4597639.171,328577.301,0.309,line,
48,157,03a,4597643.529,328573.131,0.306,line,
49,158,01a,4597644.186,328572.357,0.262,line,
49,159,01a,4597645.821,328571.235,0.141,line,
50,160,01b ,4597645.6,328572.307,0.131,line,thin
